"geo","time","colonandrectum_cancer_number_of_new_female_cases"
"bdi",1990,120.1
"bdi",1991,122.25
"bdi",1992,124.51
"bdi",1993,126.73
"bdi",1994,128.95
"bdi",1995,131.21
"bdi",1996,131.2
"bdi",1997,131.06
"bdi",1998,131.12
"bdi",1999,131.47
"bdi",2000,132.24
"bdi",2001,130.95
"bdi",2002,130.39
"bdi",2003,130.57
"bdi",2004,131.17
"bdi",2005,132.08
"bdi",2006,133.76
"bdi",2007,135.65
"bdi",2008,137.67
"bdi",2009,139.87
"bdi",2010,142.33
"bdi",2011,146.66
"bdi",2012,151.38
"bdi",2013,156.15
"bdi",2014,161.28
"bdi",2015,166.79
"bdi",2016,172.87
"cod",1990,541.38
"cod",1991,557.27
"cod",1992,575.35
"cod",1993,594.84
"cod",1994,614.49
"cod",1995,634.06
"cod",1996,643.34
"cod",1997,651.74
"cod",1998,659.89
"cod",1999,669.13
"cod",2000,680.31
"cod",2001,691.19
"cod",2002,704.03
"cod",2003,719.25
"cod",2004,735.9
"cod",2005,754.07
"cod",2006,773.25
"cod",2007,793.88
"cod",2008,817.22
"cod",2009,842.1
"cod",2010,868.81
"cod",2011,890.71
"cod",2012,914.29
"cod",2013,939.12
"cod",2014,965.74
"cod",2015,994.29
"cod",2016,1024.33
"ken",1990,280.98
"ken",1991,291.68
"ken",1992,303.76
"ken",1993,317.17
"ken",1994,331.49
"ken",1995,346.71
"ken",1996,358.84
"ken",1997,371.15
"ken",1998,384.12
"ken",1999,397.97
"ken",2000,412.8
"ken",2001,408.75
"ken",2002,406.34
"ken",2003,405.83
"ken",2004,406.52
"ken",2005,408.5
"ken",2006,416.64
"ken",2007,425.47
"ken",2008,436.28
"ken",2009,447.89
"ken",2010,460.08
"ken",2011,475.32
"ken",2012,491.9
"ken",2013,509.41
"ken",2014,528.47
"ken",2015,549.16
"ken",2016,571.92
"rwa",1990,111.06
"rwa",1991,109.47
"rwa",1992,106.57
"rwa",1993,103.48
"rwa",1994,101.97
"rwa",1995,102.93
"rwa",1996,106.44
"rwa",1997,112.15
"rwa",1998,121.53
"rwa",1999,129.74
"rwa",2000,135.82
"rwa",2001,133.82
"rwa",2002,131.01
"rwa",2003,126.32
"rwa",2004,122.82
"rwa",2005,120.85
"rwa",2006,124.89
"rwa",2007,129.54
"rwa",2008,134.3
"rwa",2009,138.71
"rwa",2010,142.85
"rwa",2011,147.9
"rwa",2012,153.18
"rwa",2013,159.88
"rwa",2014,167.49
"rwa",2015,176.16
"rwa",2016,184.68
"ssd",1990,84.47
"ssd",1991,84.43
"ssd",1992,83.93
"ssd",1993,83.44
"ssd",1994,83.49
"ssd",1995,84.47
"ssd",1996,86.45
"ssd",1997,89.86
"ssd",1998,94.54
"ssd",1999,99.61
"ssd",2000,104.78
"ssd",2001,108.4
"ssd",2002,112.11
"ssd",2003,116.23
"ssd",2004,120.73
"ssd",2005,125.76
"ssd",2006,130.88
"ssd",2007,136.42
"ssd",2008,142.89
"ssd",2009,149.92
"ssd",2010,157.55
"ssd",2011,165.65
"ssd",2012,174.47
"ssd",2013,183.82
"ssd",2014,193.39
"ssd",2015,203.03
"ssd",2016,212
"tza",1990,312.88
"tza",1991,325.93
"tza",1992,340.05
"tza",1993,355.4
"tza",1994,371.24
"tza",1995,387.54
"tza",1996,397.28
"tza",1997,407
"tza",1998,417.64
"tza",1999,428.63
"tza",2000,440.13
"tza",2001,443.96
"tza",2002,447.53
"tza",2003,450.93
"tza",2004,455.32
"tza",2005,461.66
"tza",2006,477.31
"tza",2007,494.22
"tza",2008,514.26
"tza",2009,533.42
"tza",2010,551.8
"tza",2011,573.88
"tza",2012,597.14
"tza",2013,622.5
"tza",2014,649.42
"tza",2015,677.9
"tza",2016,709.09
"uga",1990,258.89
"uga",1991,273.87
"uga",1992,289.68
"uga",1993,306.51
"uga",1994,324.47
"uga",1995,343.79
"uga",1996,361.1
"uga",1997,379.75
"uga",1998,399.99
"uga",1999,421.48
"uga",2000,444.29
"uga",2001,456.85
"uga",2002,470.12
"uga",2003,484.47
"uga",2004,499.65
"uga",2005,515.78
"uga",2006,522.4
"uga",2007,529.8
"uga",2008,538.5
"uga",2009,547.85
"uga",2010,557.95
"uga",2011,572.71
"uga",2012,588.75
"uga",2013,605.61
"uga",2014,624.21
"uga",2015,644.66
"uga",2016,665.05
