"geo","time","colonandrectum_cancer_number_of_new_male_cases"
"bdi",1990,98.88
"bdi",1991,100.57
"bdi",1992,102.22
"bdi",1993,103.73
"bdi",1994,105.23
"bdi",1995,106.75
"bdi",1996,105.46
"bdi",1997,104.25
"bdi",1998,103.43
"bdi",1999,102.94
"bdi",2000,102.86
"bdi",2001,103.26
"bdi",2002,104.16
"bdi",2003,105.85
"bdi",2004,107.82
"bdi",2005,109.99
"bdi",2006,113.18
"bdi",2007,116.54
"bdi",2008,120.14
"bdi",2009,123.95
"bdi",2010,128.02
"bdi",2011,132.97
"bdi",2012,138.32
"bdi",2013,143.48
"bdi",2014,149.05
"bdi",2015,155.06
"bdi",2016,161.78
"cod",1990,465.98
"cod",1991,481.51
"cod",1992,498.99
"cod",1993,517.7
"cod",1994,536.58
"cod",1995,555.47
"cod",1996,564.85
"cod",1997,573.37
"cod",1998,581.65
"cod",1999,590.78
"cod",2000,601.5
"cod",2001,608.32
"cod",2002,616.59
"cod",2003,626.66
"cod",2004,637.73
"cod",2005,649.93
"cod",2006,669.36
"cod",2007,690.08
"cod",2008,713.21
"cod",2009,737.68
"cod",2010,763.71
"cod",2011,793.85
"cod",2012,825.9
"cod",2013,859.59
"cod",2014,895.47
"cod",2015,933.76
"cod",2016,974.21
"ken",1990,183.73
"ken",1991,192.63
"ken",1992,202.5
"ken",1993,213.12
"ken",1994,224.39
"ken",1995,236.35
"ken",1996,247.05
"ken",1997,257.94
"ken",1998,269.27
"ken",1999,281.44
"ken",2000,294.36
"ken",2001,304.51
"ken",2002,316.13
"ken",2003,329.42
"ken",2004,344.05
"ken",2005,360.15
"ken",2006,372.47
"ken",2007,385.61
"ken",2008,400.34
"ken",2009,416.04
"ken",2010,433.81
"ken",2011,451.73
"ken",2012,471.2
"ken",2013,491.59
"ken",2014,513.82
"ken",2015,538.03
"ken",2016,565.24
"rwa",1990,90.74
"rwa",1991,92.4
"rwa",1992,92.47
"rwa",1993,91.97
"rwa",1994,92.44
"rwa",1995,94.78
"rwa",1996,96.09
"rwa",1997,99.52
"rwa",1998,106.76
"rwa",1999,112.74
"rwa",2000,116.44
"rwa",2001,114.72
"rwa",2002,112.19
"rwa",2003,107.39
"rwa",2004,103.7
"rwa",2005,101.47
"rwa",2006,104.99
"rwa",2007,109.11
"rwa",2008,112.87
"rwa",2009,116.17
"rwa",2010,119.03
"rwa",2011,122.94
"rwa",2012,127
"rwa",2013,132.57
"rwa",2014,139.22
"rwa",2015,147.13
"rwa",2016,155.64
"ssd",1990,68.17
"ssd",1991,67.94
"ssd",1992,67.31
"ssd",1993,66.68
"ssd",1994,66.46
"ssd",1995,66.96
"ssd",1996,68.64
"ssd",1997,71.49
"ssd",1998,75.4
"ssd",1999,79.62
"ssd",2000,83.91
"ssd",2001,87.59
"ssd",2002,91.39
"ssd",2003,95.54
"ssd",2004,100.07
"ssd",2005,105.12
"ssd",2006,110.11
"ssd",2007,115.46
"ssd",2008,121.65
"ssd",2009,128.37
"ssd",2010,135.73
"ssd",2011,143.24
"ssd",2012,151.46
"ssd",2013,160.15
"ssd",2014,169.07
"ssd",2015,178.1
"ssd",2016,186.95
"tza",1990,305.37
"tza",1991,317.4
"tza",1992,330.33
"tza",1993,344.36
"tza",1994,358.82
"tza",1995,373.73
"tza",1996,385.72
"tza",1997,397.81
"tza",1998,410.46
"tza",1999,423.46
"tza",2000,436.94
"tza",2001,453.81
"tza",2002,471.95
"tza",2003,495.92
"tza",2004,520.6
"tza",2005,545.21
"tza",2006,567.17
"tza",2007,589.19
"tza",2008,614.97
"tza",2009,642.88
"tza",2010,673.63
"tza",2011,707.73
"tza",2012,745
"tza",2013,778.32
"tza",2014,813.19
"tza",2015,849.54
"tza",2016,892.65
"uga",1990,295.18
"uga",1991,308.4
"uga",1992,322.07
"uga",1993,336.49
"uga",1994,351.58
"uga",1995,367.5
"uga",1996,366.05
"uga",1997,364.89
"uga",1998,364.16
"uga",1999,363.46
"uga",2000,362.78
"uga",2001,371.68
"uga",2002,381.01
"uga",2003,391.16
"uga",2004,402.04
"uga",2005,413.8
"uga",2006,429.25
"uga",2007,445.97
"uga",2008,464.47
"uga",2009,484.03
"uga",2010,504.75
"uga",2011,525.48
"uga",2012,547.7
"uga",2013,570.89
"uga",2014,596.14
"uga",2015,623.65
"uga",2016,653.03
