"geo","time","contraceptive_use_percent_of_women_ages_15_49"
"bdi",1987,8.7
"bdi",2000,15.7
"bdi",2002,19.7
"bdi",2005,9.1
"bdi",2009,22.7
"bdi",2010,21.9
"bdi",2012,31.7
"bdi",2017,28.5
"cod",1983,25.8
"cod",1984,25.8
"cod",1991,7.7
"cod",2001,31.4
"cod",2007,20.6
"cod",2010,17.7
"cod",2014,20.4
"ken",1978,7
"ken",1984,17
"ken",1989,26.9
"ken",1993,32.7
"ken",1998,39
"ken",2003,39.3
"ken",2009,45.5
"ken",2014,58
"ken",2015,66.3
"ken",2016,61.6
"rwa",1983,11
"rwa",1992,21.2
"rwa",1996,13.7
"rwa",2000,13.2
"rwa",2005,17.4
"rwa",2008,36.4
"rwa",2010,51.6
"rwa",2015,53.2
"ssd",2006,3.5
"ssd",2010,4
"tza",1992,10.4
"tza",1994,20.4
"tza",1996,18.4
"tza",1999,25.4
"tza",2004,28.2
"tza",2005,26.4
"tza",2010,34.4
"tza",2016,38.4
"uga",1989,4.9
"uga",1995,14.8
"uga",2001,22.8
"uga",2005,19.7
"uga",2006,23.7
"uga",2011,30
"uga",2014,27.2
"uga",2015,34.3
"uga",2016,39
"uga",2017,38.4
