"geo","time","crude_birth_rate_births_per_1000_population"
"bdi",1800,46.87
"bdi",1801,46.87
"bdi",1802,46.87
"bdi",1803,46.87
"bdi",1804,46.87
"bdi",1805,46.87
"bdi",1806,46.87
"bdi",1807,46.87
"bdi",1808,46.87
"bdi",1809,46.87
"bdi",1810,46.87
"bdi",1811,46.87
"bdi",1812,46.87
"bdi",1813,46.87
"bdi",1814,46.87
"bdi",1815,46.87
"bdi",1816,46.87
"bdi",1817,46.87
"bdi",1818,46.87
"bdi",1819,46.87
"bdi",1820,46.87
"bdi",1821,46.87
"bdi",1822,46.87
"bdi",1823,46.87
"bdi",1824,46.87
"bdi",1825,46.87
"bdi",1826,46.87
"bdi",1827,46.87
"bdi",1828,46.87
"bdi",1829,46.87
"bdi",1830,46.87
"bdi",1831,46.87
"bdi",1832,46.87
"bdi",1833,46.87
"bdi",1834,46.87
"bdi",1835,46.87
"bdi",1836,46.87
"bdi",1837,46.87
"bdi",1838,46.87
"bdi",1839,46.87
"bdi",1840,46.87
"bdi",1841,46.87
"bdi",1842,46.87
"bdi",1843,46.87
"bdi",1844,46.87
"bdi",1845,46.87
"bdi",1846,46.87
"bdi",1847,46.87
"bdi",1848,46.87
"bdi",1849,46.87
"bdi",1850,46.87
"bdi",1851,46.87
"bdi",1852,46.87
"bdi",1853,46.87
"bdi",1854,46.87
"bdi",1855,46.87
"bdi",1856,46.87
"bdi",1857,46.87
"bdi",1858,46.87
"bdi",1859,46.87
"bdi",1860,46.87
"bdi",1861,46.87
"bdi",1862,46.87
"bdi",1863,46.93
"bdi",1864,46.93
"bdi",1865,46.93
"bdi",1866,46.93
"bdi",1867,46.93
"bdi",1868,46.93
"bdi",1869,46.93
"bdi",1870,46.93
"bdi",1871,46.93
"bdi",1872,46.93
"bdi",1873,46.93
"bdi",1874,46.93
"bdi",1875,46.93
"bdi",1876,46.93
"bdi",1877,46.93
"bdi",1878,46.93
"bdi",1879,46.93
"bdi",1880,46.93
"bdi",1881,46.93
"bdi",1882,46.93
"bdi",1883,46.93
"bdi",1884,46.93
"bdi",1885,46.93
"bdi",1886,46.93
"bdi",1887,46.93
"bdi",1888,46.93
"bdi",1889,46.93
"bdi",1890,46.93
"bdi",1891,46.93
"bdi",1892,46.93
"bdi",1893,46.93
"bdi",1894,46.93
"bdi",1895,46.93
"bdi",1896,46.93
"bdi",1897,46.93
"bdi",1898,46.93
"bdi",1899,46.93
"bdi",1900,46.93
"bdi",1901,46.93
"bdi",1902,46.93
"bdi",1903,46.93
"bdi",1904,46.93
"bdi",1905,46.93
"bdi",1906,46.93
"bdi",1907,46.93
"bdi",1908,46.93
"bdi",1909,46.93
"bdi",1910,46.93
"bdi",1911,46.93
"bdi",1912,46.93
"bdi",1913,46.93
"bdi",1914,46.93
"bdi",1915,46.93
"bdi",1916,46.93
"bdi",1917,46.93
