"geo","time","crude_death_rate_deaths_per_1000_population"
"bdi",1950,25.83
"bdi",1951,25.686
"bdi",1952,25.399
"bdi",1953,25.115
"bdi",1954,24.833
"bdi",1955,24.554
"bdi",1956,24.276
"bdi",1957,23.999
"bdi",1958,23.723
"bdi",1959,23.445
"bdi",1960,23.163
"bdi",1961,22.877
"bdi",1962,22.586
"bdi",1963,22.292
"bdi",1964,22
"bdi",1965,21.722
"bdi",1966,21.47
"bdi",1967,21.251
"bdi",1968,21.066
"bdi",1969,20.91
"bdi",1970,20.772
"bdi",1971,20.633
"bdi",1972,20.479
"bdi",1973,20.298
"bdi",1974,20.088
"bdi",1975,19.852
"bdi",1976,19.601
"bdi",1977,19.349
"bdi",1978,19.11
"bdi",1979,18.888
"bdi",1980,18.681
"bdi",1981,18.482
"bdi",1982,18.285
"bdi",1983,18.09
"bdi",1984,17.905
"bdi",1985,17.76
"bdi",1986,17.692
"bdi",1987,17.713
"bdi",1988,17.813
"bdi",1989,17.966
"bdi",1990,18.108
"bdi",1991,18.161
"bdi",1992,18.067
"bdi",1993,17.8
"bdi",1994,17.362
"bdi",1995,16.792
"bdi",1996,16.152
"bdi",1997,15.525
"bdi",1998,14.975
"bdi",1999,14.53
"bdi",2000,14.202
"bdi",2001,13.976
"bdi",2002,13.81
"bdi",2003,13.665
"bdi",2004,13.522
"bdi",2005,13.369
"bdi",2006,13.195
"bdi",2007,13.002
"bdi",2008,12.793
"bdi",2009,12.564
"bdi",2010,12.319
"bdi",2011,12.061
"bdi",2012,11.799
"bdi",2013,11.538
"bdi",2014,11.282
"bdi",2015,11.032
"bdi",2016,10.788
"bdi",2017,10.547
"bdi",2018,10.308
"bdi",2019,10.072
"bdi",2020,9.84
"bdi",2021,9.613
"bdi",2022,9.394
"bdi",2023,9.183
"bdi",2024,8.982
"bdi",2025,8.791
"bdi",2026,8.612
"bdi",2027,8.442
"bdi",2028,8.282
"bdi",2029,8.131
"bdi",2030,7.99
"bdi",2031,7.857
"bdi",2032,7.733
"bdi",2033,7.616
"bdi",2034,7.506
"bdi",2035,7.401
"bdi",2036,7.3
"bdi",2037,7.204
"bdi",2038,7.11
"bdi",2039,7.019
"bdi",2040,6.93
"bdi",2041,6.843
"bdi",2042,6.76
"bdi",2043,6.679
"bdi",2044,6.603
"bdi",2045,6.53
"bdi",2046,6.462
"bdi",2047,6.398
"bdi",2048,6.339
"bdi",2049,6.285
"bdi",2050,6.237
"bdi",2051,6.195
"bdi",2052,6.159
"bdi",2053,6.129
"bdi",2054,6.106
"bdi",2055,6.088
"bdi",2056,6.077
"bdi",2057,6.071
"bdi",2058,6.07
"bdi",2059,6.074
"bdi",2060,6.081
"bdi",2061,6.092
"bdi",2062,6.106
"bdi",2063,6.123
"bdi",2064,6.141
"bdi",2065,6.16
"bdi",2066,6.18
"bdi",2067,6.201
"bdi",2068,6.223
"bdi",2069,6.245
"bdi",2070,6.267
"bdi",2071,6.289
"bdi",2072,6.311
"bdi",2073,6.332
"bdi",2074,6.355
"bdi",2075,6.377
"bdi",2076,6.4
"bdi",2077,6.423
"bdi",2078,6.448
"bdi",2079,6.473
"bdi",2080,6.501
"bdi",2081,6.531
"bdi",2082,6.563
"bdi",2083,6.598
"bdi",2084,6.635
"bdi",2085,6.676
"bdi",2086,6.719
"bdi",2087,6.765
"bdi",2088,6.814
"bdi",2089,6.864
"bdi",2090,6.916
"bdi",2091,6.969
"bdi",2092,7.023
"bdi",2093,7.078
"bdi",2094,7.134
"bdi",2095,7.19
"bdi",2096,7.246
"bdi",2097,7.303
"bdi",2098,7.36
"bdi",2099,7.418
"cod",1950,26.359
"cod",1951,26.082
"cod",1952,25.551
"cod",1953,25.064
"cod",1954,24.619
"cod",1955,24.219
"cod",1956,23.861
"cod",1957,23.543
"cod",1958,23.263
"cod",1959,23.015
"cod",1960,22.794
"cod",1961,22.589
"cod",1962,22.394
"cod",1963,22.199
"cod",1964,21.996
"cod",1965,21.776
"cod",1966,21.533
"cod",1967,21.269
"cod",1968,20.99
