"geo","time","cumulative_co2_emissions_tonnes"
"bdi",1962,44004
"bdi",1963,91675
"bdi",1964,139346
"bdi",1965,176016
"bdi",1966,223687
"bdi",1967,271358
"bdi",1968,326363
"bdi",1969,399703
"bdi",1970,462042
"bdi",1971,535382
"bdi",1972,608722
"bdi",1973,682062
"bdi",1974,773737
"bdi",1975,850744
"bdi",1976,938752
"bdi",1977,1037761
"bdi",1978,1140437
"bdi",1979,1250447
"bdi",1980,1397127
"bdi",1981,1554808
"bdi",1982,1712489
"bdi",1983,1917841
"bdi",1984,2137861
"bdi",1985,2368882
"bdi",1986,2603570
"bdi",1987,2852926
"bdi",1988,3080280
"bdi",1989,3347971
"bdi",1990,3556990
"bdi",1991,3795345
"bdi",1992,4011698
"bdi",1993,4239052
"bdi",1994,4473740
"bdi",1995,4712095
"bdi",1996,4954117
"bdi",1997,5203473
"bdi",1998,5452829
"bdi",1999,5705852
"bdi",2000,5977210
"bdi",2001,6182562
"bdi",2002,6395248
"bdi",2003,6556596
"bdi",2004,6754614
"bdi",2005,6908628
"bdi",2006,7095645
"bdi",2007,7282662
"bdi",2008,7473346
"bdi",2009,7664030
"bdi",2010,7876716
"bdi",2011,8118738
"bdi",2012,8401097
"bdi",2013,8690790
"bdi",2014,9130830
"cod",1920,3667
"cod",1921,11001
"cod",1922,91675
"cod",1923,253023
"cod",1924,469376
"cod",1925,641725
"cod",1926,880080
"cod",1927,1111101
"cod",1928,1393460
"cod",1929,1697821
"cod",1930,2086523
"cod",1931,2335879
"cod",1932,2387217
"cod",1933,2390884
"cod",1934,2409219
"cod",1935,2442222
"cod",1936,2482559
"cod",1937,2585235
"cod",1938,2706246
"cod",1939,2794254
"cod",1940,2871261
"cod",1941,2973937
"cod",1942,3116950
"cod",1943,3336970
"cod",1944,3509319
"cod",1945,3681668
"cod",1946,3993363
"cod",1947,4319726
"cod",1948,4693760
"cod",1949,5170470
"cod",1950,6651938
"cod",1951,8401097
"cod",1952,10487620
"cod",1953,12779495
"cod",1954,15599418
"cod",1955,18991393
"cod",1956,22170682
"cod",1957,25503985
"cod",1958,28433918
"cod",1959,31136497
"cod",1960,33457708
"cod",1961,35815589
"cod",1962,37990120
"cod",1963,40285662
"cod",1964,42262175
"cod",1965,44733733
"cod",1966,47139285
"cod",1967,49431160
"cod",1968,52801133
"cod",1969,56453465
"cod",1970,59167045
"cod",1971,62129981
"cod",1972,65151589
"cod",1973,68345546
"cod",1974,71715519
"cod",1975,74953480
"cod",1976,78367457
"cod",1977,81854774
"cod",1978,85393429
"cod",1979,89148437
"cod",1980,92650422
"cod",1981,96427432
"cod",1982,99500378
"cod",1983,103526744
"cod",1984,107490771
"cod",1985,111132102
"cod",1986,114509409
"cod",1987,118363426
"cod",1988,122382458
"cod",1989,126775524
"cod",1990,130845894
"cod",1991,133808830
"cod",1992,136625086
"cod",1993,139217655
"cod",1994,140856804
"cod",1995,142979997
"cod",1996,145297541
"cod",1997,147197047
"cod",1998,148865532
"cod",1999,150247991
"cod",2000,151062065
"cod",2001,151898141
"cod",2002,152825892
"cod",2003,153812315
"cod",2004,155011424
"cod",2005,156511227
"cod",2006,158121040
"cod",2007,159877533
"cod",2008,161736702
"cod",2009,163485861
"cod",2010,165506378
"cod",2011,167999938
"cod",2012,170401823
"cod",2013,173991816
"cod",2014,178663574
