"geo","time","data_quality_children_per_woman"
"bdi",1800,5
"bdi",1925,5
"bdi",1950,2
"bdi",1951,2
"bdi",1952,2
"bdi",1953,2
"bdi",1954,2
"bdi",1955,2
"bdi",1956,2
"bdi",1957,2
"bdi",1958,2
"bdi",1959,2
"bdi",1960,2
"bdi",1961,2
"bdi",1962,2
"bdi",1963,2
"bdi",1964,2
"bdi",1965,2
"bdi",1966,2
"bdi",1967,2
"bdi",1968,2
"bdi",1969,2
"bdi",1970,2
"bdi",1971,2
"bdi",1972,2
"bdi",1973,2
"bdi",1974,2
"bdi",1975,2
"bdi",1976,2
"bdi",1977,2
"bdi",1978,2
"bdi",1979,2
"bdi",1980,2
"bdi",1981,2
"bdi",1982,2
"bdi",1983,2
"bdi",1984,2
"bdi",1985,2
"bdi",1986,2
"bdi",1987,2
"bdi",1988,2
"bdi",1989,2
"bdi",1990,2
"bdi",1991,2
"bdi",1992,2
"bdi",1993,2
"bdi",1994,2
"bdi",1995,2
"bdi",1996,2
"bdi",1997,2
"bdi",1998,2
"bdi",1999,2
"bdi",2000,2
"bdi",2001,2
"bdi",2002,2
"bdi",2003,2
"bdi",2004,2
"bdi",2005,2
"bdi",2006,2
"bdi",2007,2
"bdi",2008,2
"bdi",2009,2
"cod",1800,5
"cod",1925,5
"cod",1950,2
"cod",1951,2
"cod",1952,2
"cod",1953,2
"cod",1954,2
"cod",1955,2
"cod",1956,2
"cod",1957,2
"cod",1958,2
"cod",1959,2
"cod",1960,2
"cod",1961,2
"cod",1962,2
"cod",1963,2
"cod",1964,2
"cod",1965,2
"cod",1966,2
"cod",1967,2
"cod",1968,2
"cod",1969,2
"cod",1970,2
"cod",1971,2
"cod",1972,2
"cod",1973,2
"cod",1974,2
"cod",1975,2
"cod",1976,2
"cod",1977,2
"cod",1978,2
"cod",1979,2
"cod",1980,2
"cod",1981,2
"cod",1982,2
"cod",1983,2
"cod",1984,2
"cod",1985,2
"cod",1986,2
"cod",1987,2
"cod",1988,2
"cod",1989,2
"cod",1990,2
"cod",1991,2
"cod",1992,2
"cod",1993,2
"cod",1994,2
"cod",1995,2
"cod",1996,2
"cod",1997,2
"cod",1998,2
"cod",1999,2
"cod",2000,2
"cod",2001,2
"cod",2002,2
"cod",2003,2
"cod",2004,2
"cod",2005,2
"cod",2006,2
"cod",2007,2
"cod",2008,2
"cod",2009,2
"ken",1800,5
"ken",1925,5
"ken",1950,2
"ken",1951,2
"ken",1952,2
"ken",1953,2
"ken",1954,2
"ken",1955,2
"ken",1956,2
"ken",1957,2
"ken",1958,2
"ken",1959,2
"ken",1960,2
"ken",1961,2
"ken",1962,2
"ken",1963,2
"ken",1964,2
"ken",1965,2
"ken",1966,2
"ken",1967,2
"ken",1968,2
"ken",1969,2
"ken",1970,2
"ken",1971,2
"ken",1972,2
"ken",1973,2
"ken",1974,2
"ken",1975,2
"ken",1976,2
"ken",1977,2
"ken",1978,2
"ken",1979,2
"ken",1980,2
"ken",1981,2
"ken",1982,2
"ken",1983,2
"ken",1984,2
"ken",1985,2
"ken",1986,2
"ken",1987,2
"ken",1988,2
"ken",1989,2
"ken",1990,2
"ken",1991,2
"ken",1992,2
"ken",1993,2
"ken",1994,2
"ken",1995,2
"ken",1996,2
"ken",1997,2
"ken",1998,2
"ken",1999,2
"ken",2000,2
"ken",2001,2
"ken",2002,2
"ken",2003,2
"ken",2004,2
"ken",2005,2
"ken",2006,2
"ken",2007,2
"ken",2008,2
"ken",2009,2
"rwa",1800,5
"rwa",1925,5
"rwa",1950,2
"rwa",1951,2
"rwa",1952,2
"rwa",1953,2
"rwa",1954,2
"rwa",1955,2
"rwa",1956,2
"rwa",1957,2
"rwa",1958,2
"rwa",1959,2
"rwa",1960,2
"rwa",1961,2
"rwa",1962,2
"rwa",1963,2
"rwa",1964,2
"rwa",1965,2
"rwa",1966,2
"rwa",1967,2
"rwa",1968,2
"rwa",1969,2
"rwa",1970,2
"rwa",1971,2
"rwa",1972,2
"rwa",1973,2
"rwa",1974,2
"rwa",1975,2
"rwa",1976,2
"rwa",1977,2
"rwa",1978,2
"rwa",1979,2
"rwa",1980,2
"rwa",1981,2
"rwa",1982,2
"rwa",1983,2
"rwa",1984,2
"rwa",1985,2
"rwa",1986,2
"rwa",1987,2
"rwa",1988,2
"rwa",1989,2
"rwa",1990,2
"rwa",1991,2
"rwa",1992,2
"rwa",1993,2
"rwa",1994,2
"rwa",1995,2
"rwa",1996,2
"rwa",1997,2
"rwa",1998,2
"rwa",1999,2
"rwa",2000,2
"rwa",2001,2
"rwa",2002,2
"rwa",2003,2
"rwa",2004,2
"rwa",2005,2
"rwa",2006,2
"rwa",2007,2
"rwa",2008,2
"rwa",2009,2
"tza",1800,5
"tza",1925,5
"tza",1950,2
"tza",1951,2
"tza",1952,2
"tza",1953,2
"tza",1954,2
"tza",1955,2
"tza",1956,2
"tza",1957,2
"tza",1958,2
"tza",1959,2
"tza",1960,2
"tza",1961,2
"tza",1962,2
"tza",1963,2
"tza",1964,2
"tza",1965,2
"tza",1966,2
"tza",1967,2
"tza",1968,2
"tza",1969,2
"tza",1970,2
"tza",1971,2
"tza",1972,2
"tza",1973,2
"tza",1974,2
"tza",1975,2
"tza",1976,2
"tza",1977,2
"tza",1978,2
"tza",1979,2
"tza",1980,2
"tza",1981,2
"tza",1982,2
"tza",1983,2
"tza",1984,2
"tza",1985,2
"tza",1986,2
"tza",1987,2
"tza",1988,2
"tza",1989,2
"tza",1990,2
"tza",1991,2
"tza",1992,2
"tza",1993,2
"tza",1994,2
"tza",1995,2
"tza",1996,2
"tza",1997,2
"tza",1998,2
"tza",1999,2
"tza",2000,2
"tza",2001,2
"tza",2002,2
"tza",2003,2
"tza",2004,2
"tza",2005,2
"tza",2006,2
"tza",2007,2
"tza",2008,2
"tza",2009,2
"uga",1800,5
"uga",1925,5
"uga",1950,2
"uga",1951,2
"uga",1952,2
"uga",1953,2
"uga",1954,2
"uga",1955,2
"uga",1956,2
"uga",1957,2
"uga",1958,2
"uga",1959,2
"uga",1960,2
"uga",1961,2
"uga",1962,2
"uga",1963,2
"uga",1964,2
"uga",1965,2
"uga",1966,2
"uga",1967,2
"uga",1968,2
"uga",1969,2
"uga",1970,2
"uga",1971,2
"uga",1972,2
"uga",1973,2
"uga",1974,2
"uga",1975,2
"uga",1976,2
"uga",1977,2
"uga",1978,2
"uga",1979,2
"uga",1980,2
"uga",1981,2
"uga",1982,2
"uga",1983,2
"uga",1984,2
"uga",1985,2
"uga",1986,2
"uga",1987,2
"uga",1988,2
"uga",1989,2
"uga",1990,2
"uga",1991,2
"uga",1992,2
"uga",1993,2
"uga",1994,2
"uga",1995,2
"uga",1996,2
"uga",1997,2
"uga",1998,2
"uga",1999,2
"uga",2000,2
"uga",2001,2
"uga",2002,2
"uga",2003,2
"uga",2004,2
"uga",2005,2
"uga",2006,2
"uga",2007,2
"uga",2008,2
"uga",2009,2
