"geo","time","data_quality_life_expectancy"
"bdi",1800,4
"bdi",1801,4
"bdi",1802,4
"bdi",1803,4
"bdi",1804,4
"bdi",1805,4
"bdi",1806,4
"bdi",1807,4
"bdi",1808,4
"bdi",1809,4
"bdi",1810,4
"bdi",1811,4
"bdi",1812,4
"bdi",1813,4
"bdi",1814,4
"bdi",1815,4
"bdi",1816,4
"bdi",1817,4
"bdi",1818,4
"bdi",1819,4
"bdi",1820,4
"bdi",1821,4
"bdi",1822,4
"bdi",1823,4
"bdi",1824,4
"bdi",1825,4
"bdi",1826,4
"bdi",1827,4
"bdi",1828,4
"bdi",1829,4
"bdi",1830,4
"bdi",1831,4
"bdi",1832,4
"bdi",1833,4
"bdi",1834,4
"bdi",1835,4
"bdi",1836,4
"bdi",1837,4
"bdi",1838,4
"bdi",1839,4
"bdi",1840,4
"bdi",1841,4
"bdi",1842,4
"bdi",1843,4
"bdi",1844,4
"bdi",1845,4
"bdi",1846,4
"bdi",1847,4
"bdi",1848,4
"bdi",1849,4
"bdi",1850,4
"bdi",1851,4
"bdi",1852,4
"bdi",1853,4
"bdi",1854,4
"bdi",1855,4
"bdi",1856,4
"bdi",1857,4
"bdi",1858,4
"bdi",1859,4
"bdi",1860,4
"bdi",1861,4
"bdi",1862,4
"bdi",1863,4
"bdi",1864,4
"bdi",1865,4
"bdi",1866,4
"bdi",1867,4
"bdi",1868,4
"bdi",1869,4
"bdi",1870,4
"bdi",1871,4
"bdi",1872,4
"bdi",1873,4
"bdi",1874,4
"bdi",1875,4
"bdi",1876,4
"bdi",1877,4
"bdi",1878,4
"bdi",1879,4
"bdi",1880,4
"bdi",1881,4
"bdi",1882,4
"bdi",1883,4
"bdi",1884,4
"bdi",1885,4
"bdi",1886,4
"bdi",1887,4
"bdi",1888,4
"bdi",1889,4
"bdi",1890,4
"bdi",1891,4
"bdi",1892,4
"bdi",1893,4
"bdi",1894,4
"bdi",1895,4
"bdi",1896,4
"bdi",1897,4
"bdi",1898,4
"bdi",1899,4
"bdi",1900,4
"bdi",1901,4
"bdi",1902,4
"bdi",1903,4
"bdi",1904,4
"bdi",1905,4
"bdi",1906,4
"bdi",1907,4
"bdi",1908,4
"bdi",1909,4
"bdi",1910,4
"bdi",1911,4
"bdi",1912,4
"bdi",1913,4
"bdi",1914,4
"bdi",1915,4
"bdi",1916,4
"bdi",1917,3
"bdi",1918,3
"bdi",1919,3
"bdi",1920,3
"bdi",1921,3
"bdi",1922,3
"bdi",1923,3
"bdi",1924,3
"bdi",1925,3
"bdi",1926,3
"bdi",1927,3
"bdi",1928,3
"bdi",1929,3
"bdi",1930,3
"bdi",1931,4
"bdi",1932,4
"bdi",1933,4
"bdi",1934,4
"bdi",1935,4
"bdi",1936,4
"bdi",1937,4
"bdi",1938,4
"bdi",1939,4
"bdi",1940,4
"bdi",1941,4
"bdi",1942,3
"bdi",1943,3
"bdi",1944,3
"bdi",1945,4
"bdi",1946,4
"bdi",1947,4
"bdi",1948,4
"bdi",1949,4
"bdi",1950,2
"bdi",1951,2
"bdi",1952,2
"bdi",1953,2
"bdi",1954,2
"bdi",1955,2
"bdi",1956,2
"bdi",1957,2
"bdi",1958,2
"bdi",1959,2
"bdi",1960,2
"bdi",1961,2
"bdi",1962,2
"bdi",1963,2
"bdi",1964,2
"bdi",1965,2
"bdi",1966,2
"bdi",1967,2
"bdi",1968,2
"bdi",1969,2
"bdi",1970,2
"bdi",1971,2
"bdi",1972,2
"bdi",1973,2
"bdi",1974,2
"bdi",1975,2
"bdi",1976,2
"bdi",1977,2
"bdi",1978,2
"bdi",1979,2
"bdi",1980,2
"bdi",1981,2
"bdi",1982,2
"bdi",1983,2
"bdi",1984,2
"bdi",1985,2
"bdi",1986,2
"bdi",1987,2
"bdi",1988,2
"bdi",1989,2
"bdi",1990,2
"bdi",1991,2
"bdi",1992,2
"bdi",1993,2
"bdi",1994,2
"bdi",1995,2
"bdi",1996,2
"bdi",1997,2
"bdi",1998,2
"bdi",1999,2
"bdi",2000,2
"bdi",2001,2
"bdi",2002,2
"bdi",2003,2
"bdi",2004,2
"bdi",2005,2
"bdi",2006,2
"bdi",2007,2
"bdi",2008,2
"bdi",2009,2
"bdi",2010,2
"bdi",2011,2
"bdi",2012,2
"bdi",2013,4
"bdi",2014,4
"cod",1800,4
"cod",1801,4
"cod",1802,4
"cod",1803,4
"cod",1804,4
"cod",1805,4
"cod",1806,4
"cod",1807,4
"cod",1808,4
"cod",1809,4
"cod",1810,4
"cod",1811,4
"cod",1812,4
"cod",1813,4
"cod",1814,4
"cod",1815,4
"cod",1816,4
"cod",1817,4
"cod",1818,4
"cod",1819,4
"cod",1820,4
"cod",1821,4
"cod",1822,4
"cod",1823,4
"cod",1824,4
"cod",1825,4
"cod",1826,4
"cod",1827,4
"cod",1828,4
"cod",1829,4
"cod",1830,4
"cod",1831,4
"cod",1832,4
"cod",1833,4
"cod",1834,4
"cod",1835,4
"cod",1836,4
"cod",1837,4
"cod",1838,4
"cod",1839,4
"cod",1840,4
"cod",1841,4
"cod",1842,4
"cod",1843,4
"cod",1844,4
"cod",1845,4
"cod",1846,4
"cod",1847,4
"cod",1848,4
"cod",1849,4
"cod",1850,4
"cod",1851,4
"cod",1852,4
"cod",1853,4
"cod",1854,4
"cod",1855,4
"cod",1856,4
"cod",1857,4
"cod",1858,4
"cod",1859,4
"cod",1860,4
"cod",1861,4
"cod",1862,4
"cod",1863,4
"cod",1864,4
"cod",1865,4
"cod",1866,4
"cod",1867,4
"cod",1868,4
"cod",1869,4
"cod",1870,4
"cod",1871,4
"cod",1872,4
"cod",1873,4
"cod",1874,4
"cod",1875,4
"cod",1876,4
"cod",1877,4
"cod",1878,4
"cod",1879,4
"cod",1880,4
"cod",1881,4
"cod",1882,4
"cod",1883,4
"cod",1884,4
"cod",1885,4
"cod",1886,4
"cod",1887,4
"cod",1888,4
"cod",1889,4
"cod",1890,4
"cod",1891,4
"cod",1892,4
"cod",1893,4
"cod",1894,4
"cod",1895,4
"cod",1896,4
"cod",1897,4
"cod",1898,4
"cod",1899,4
"cod",1900,4
"cod",1901,4
"cod",1902,4
"cod",1903,4
"cod",1904,4
"cod",1905,4
"cod",1906,4
"cod",1907,4
"cod",1908,4
"cod",1909,4
"cod",1910,4
"cod",1911,4
"cod",1912,4
"cod",1913,4
"cod",1914,4
"cod",1915,4
"cod",1916,4
"cod",1917,3
"cod",1918,3
"cod",1919,3
"cod",1920,4
"cod",1921,4
"cod",1922,4
"cod",1923,4
"cod",1924,4
"cod",1925,4
"cod",1926,4
"cod",1927,4
"cod",1928,4
"cod",1929,4
"cod",1930,4
"cod",1931,4
"cod",1932,4
"cod",1933,4
"cod",1934,4
"cod",1935,4
"cod",1936,4
"cod",1937,4
"cod",1938,4
"cod",1939,4
"cod",1940,4
"cod",1941,4
"cod",1942,4
"cod",1943,4
"cod",1944,4
"cod",1945,4
"cod",1946,4
"cod",1947,4
"cod",1948,4
"cod",1949,4
"cod",1950,2
"cod",1951,2
"cod",1952,2
"cod",1953,2
"cod",1954,2
"cod",1955,2
"cod",1956,2
"cod",1957,2
"cod",1958,2
"cod",1959,2
"cod",1960,2
"cod",1961,2
"cod",1962,2
"cod",1963,2
"cod",1964,2
"cod",1965,2
"cod",1966,2
"cod",1967,2
"cod",1968,2
"cod",1969,2
"cod",1970,2
"cod",1971,2
"cod",1972,2
"cod",1973,2
"cod",1974,2
"cod",1975,2
"cod",1976,2
"cod",1977,2
"cod",1978,2
"cod",1979,2
"cod",1980,2
"cod",1981,2
"cod",1982,2
"cod",1983,2
"cod",1984,2
"cod",1985,2
"cod",1986,2
"cod",1987,2
"cod",1988,2
"cod",1989,2
"cod",1990,2
"cod",1991,2
"cod",1992,2
"cod",1993,2
"cod",1994,2
"cod",1995,2
"cod",1996,2
"cod",1997,2
"cod",1998,2
"cod",1999,2
"cod",2000,2
"cod",2001,2
"cod",2002,2
"cod",2003,2
"cod",2004,2
"cod",2005,2
"cod",2006,2
"cod",2007,2
"cod",2008,2
"cod",2009,2
"cod",2010,2
"cod",2011,2
"cod",2012,2
"cod",2013,4
"cod",2014,4
"ken",1800,4
"ken",1801,4
"ken",1802,4
"ken",1803,4
"ken",1804,4
"ken",1805,4
"ken",1806,4
"ken",1807,4
"ken",1808,4
"ken",1809,4
"ken",1810,4
"ken",1811,4
"ken",1812,4
"ken",1813,4
"ken",1814,4
"ken",1815,4
"ken",1816,4
"ken",1817,4
"ken",1818,4
"ken",1819,4
"ken",1820,4
"ken",1821,4
"ken",1822,4
"ken",1823,4
"ken",1824,4
"ken",1825,4
