"geo","time","dead_kids_per_woman"
"bdi",1800,3.805
"bdi",1801,3.805
"bdi",1802,3.805
"bdi",1803,3.805
"bdi",1804,3.805
"bdi",1805,3.805
"bdi",1806,3.805
"bdi",1807,3.805
"bdi",1808,3.805
"bdi",1809,3.805
"bdi",1810,3.805
"bdi",1811,3.805
"bdi",1812,3.805
"bdi",1813,3.805
"bdi",1814,3.805
"bdi",1815,3.805
"bdi",1816,3.805
"bdi",1817,3.805
"bdi",1818,3.805
"bdi",1819,3.805
"bdi",1820,3.806
"bdi",1821,3.806
"bdi",1822,3.806
"bdi",1823,3.806
"bdi",1824,3.806
"bdi",1825,3.806
"bdi",1826,3.806
"bdi",1827,3.806
"bdi",1828,3.806
"bdi",1829,3.806
"bdi",1830,3.806
"bdi",1831,3.806
"bdi",1832,3.806
"bdi",1833,3.806
"bdi",1834,3.806
"bdi",1835,3.806
"bdi",1836,3.806
"bdi",1837,3.806
"bdi",1838,3.806
"bdi",1839,3.806
"bdi",1840,3.806
"bdi",1841,3.806
"bdi",1842,3.807
"bdi",1843,3.807
"bdi",1844,3.807
"bdi",1845,3.807
"bdi",1846,3.807
"bdi",1847,3.807
"bdi",1848,3.807
"bdi",1849,3.807
"bdi",1850,3.807
"bdi",1851,3.807
"bdi",1852,3.807
"bdi",1853,3.807
"bdi",1854,3.807
"bdi",1855,3.807
"bdi",1856,3.807
"bdi",1857,3.807
"bdi",1858,3.807
"bdi",1859,3.807
"bdi",1860,3.807
"bdi",1861,3.807
"bdi",1862,3.807
"bdi",1863,3.807
"bdi",1864,3.808
"bdi",1865,3.808
"bdi",1866,3.808
"bdi",1867,3.808
"bdi",1868,3.808
"bdi",1869,3.808
"bdi",1870,3.808
"bdi",1871,3.808
"bdi",1872,3.808
"bdi",1873,3.808
"bdi",1874,3.808
"bdi",1875,3.808
"bdi",1876,3.808
"bdi",1877,3.808
"bdi",1878,3.808
"bdi",1879,3.808
"bdi",1880,3.808
"bdi",1881,3.808
"bdi",1882,3.808
"bdi",1883,3.808
"bdi",1884,3.808
"bdi",1885,3.808
"bdi",1886,3.808
"bdi",1887,3.809
"bdi",1888,3.809
"bdi",1889,3.809
"bdi",1890,3.809
"bdi",1891,3.809
"bdi",1892,3.809
"bdi",1893,3.809
"bdi",1894,3.809
"bdi",1895,3.809
"bdi",1896,3.809
"bdi",1897,3.809
"bdi",1898,3.809
"bdi",1899,3.809
"bdi",1900,3.809
"bdi",1901,3.809
"bdi",1902,3.809
"bdi",1903,3.809
"bdi",1904,3.809
"bdi",1905,3.809
"bdi",1906,3.809
"bdi",1907,3.809
"bdi",1908,3.809
"bdi",1909,3.81
"bdi",1910,3.81
"bdi",1911,3.81
"bdi",1912,3.81
"bdi",1913,3.81
"bdi",1914,3.81
"bdi",1915,3.81
"bdi",1916,3.81
"bdi",1917,3.81
"bdi",1918,3.81
"bdi",1919,3.81
"bdi",1920,3.81
"bdi",1921,3.81
"bdi",1922,3.81
"bdi",1923,3.81
"bdi",1924,3.81
"bdi",1925,3.81
"bdi",1926,3.81
"bdi",1927,3.81
"bdi",1928,3.81
"bdi",1929,3.809
"bdi",1930,3.809
"bdi",1931,3.809
"bdi",1932,3.809
"bdi",1933,3.808
"bdi",1934,3.808
"bdi",1935,3.808
"bdi",1936,3.808
"bdi",1937,3.808
"bdi",1938,3.807
"bdi",1939,3.807
"bdi",1940,3.807
"bdi",1941,3.807
"bdi",1942,3.806
"bdi",1943,3.806
"bdi",1944,3.806
"bdi",1945,3.806
"bdi",1946,3.697
"bdi",1947,3.59
"bdi",1948,3.378
"bdi",1949,3.273
"bdi",1950,3.169
"bdi",1951,3.066
"bdi",1952,3.066
"bdi",1953,3.066
"bdi",1954,3.066
"bdi",1955,2.965
"bdi",1956,2.965
"bdi",1957,2.965
"bdi",1958,2.864
"bdi",1959,2.864
"bdi",1960,2.864
"bdi",1961,2.765
"bdi",1962,2.765
"bdi",1963,2.765
"bdi",1964,2.667
"bdi",1965,2.667
"bdi",1966,2.667
"bdi",1967,2.667
"bdi",1968,2.667
"bdi",1969,2.57
"bdi",1970,2.57
"bdi",1971,2.573
"bdi",1972,2.573
"bdi",1973,2.577
"bdi",1974,2.481
"bdi",1975,2.481
"bdi",1976,2.477
"bdi",1977,2.375
"bdi",1978,2.361
"bdi",1979,2.255
"bdi",1980,2.235
"bdi",1981,2.218
"bdi",1982,2.112
"bdi",1983,2.1
"bdi",1984,2.093
"bdi",1985,2.09
"bdi",1986,2.093
"bdi",1987,2.093
"bdi",1988,2.184
"bdi",1989,2.188
"bdi",1990,2.277
"bdi",1991,2.27
"bdi",1992,2.354
"bdi",1993,2.339
"bdi",1994,2.321
"bdi",1995,2.299
"bdi",1996,2.266
"bdi",1997,2.233
"bdi",1998,2.193
"bdi",1999,2.064
"bdi",2000,2.018
"bdi",2001,1.97
"bdi",2002,1.842
"bdi",2003,1.791
"bdi",2004,1.741
"bdi",2005,1.622
"bdi",2006,1.574
"bdi",2007,1.465
"bdi",2008,1.422
"bdi",2009,1.382
"bdi",2010,1.284
"bdi",2030,0.5231
"bdi",2050,0.2537
"bdi",2099,0.0859
"cod",1800,3.351
"cod",1801,3.351
"cod",1802,3.351
"cod",1803,3.351
"cod",1804,3.351
"cod",1805,3.351
"cod",1806,3.351
"cod",1807,3.351
"cod",1808,3.351
"cod",1809,3.351
"cod",1810,3.351
"cod",1811,3.351
"cod",1812,3.351
"cod",1813,3.351
"cod",1814,3.351
"cod",1815,3.351
"cod",1816,3.351
"cod",1817,3.351
"cod",1818,3.351
"cod",1819,3.351
"cod",1820,3.351
"cod",1821,3.351
"cod",1822,3.351
"cod",1823,3.351
"cod",1824,3.351
"cod",1825,3.351
"cod",1826,3.351
"cod",1827,3.351
"cod",1828,3.351
"cod",1829,3.351
"cod",1830,3.351
"cod",1831,3.351
"cod",1832,3.351
"cod",1833,3.351
"cod",1834,3.351
"cod",1835,3.351
"cod",1836,3.351
"cod",1837,3.351
"cod",1838,3.351
"cod",1839,3.351
"cod",1840,3.351
"cod",1841,3.351
"cod",1842,3.351
"cod",1843,3.351
"cod",1844,3.351
"cod",1845,3.351
"cod",1846,3.351
"cod",1847,3.351
"cod",1848,3.351
"cod",1849,3.351
"cod",1850,3.351
"cod",1851,3.351
"cod",1852,3.351
"cod",1853,3.351
"cod",1854,3.351
"cod",1855,3.351
"cod",1856,3.351
"cod",1857,3.351
"cod",1858,3.351
"cod",1859,3.351
"cod",1860,3.351
"cod",1861,3.351
"cod",1862,3.351
"cod",1863,3.351
"cod",1864,3.351
"cod",1865,3.351
"cod",1866,3.351
"cod",1867,3.351
"cod",1868,3.351
"cod",1869,3.351
"cod",1870,3.351
"cod",1871,3.351
"cod",1872,3.351
"cod",1873,3.351
"cod",1874,3.351
"cod",1875,3.351
"cod",1876,3.351
"cod",1877,3.351
"cod",1878,3.351
"cod",1879,3.351
"cod",1880,3.351
"cod",1881,3.351
"cod",1882,3.351
"cod",1883,3.351
"cod",1884,3.351
"cod",1885,3.351
"cod",1886,3.351
"cod",1887,3.351
"cod",1888,3.351
"cod",1889,3.351
"cod",1890,3.351
"cod",1891,3.351
"cod",1892,3.351
"cod",1893,3.351
"cod",1894,3.351
"cod",1895,3.351
"cod",1896,3.351
"cod",1897,3.351
"cod",1898,3.351
"cod",1899,3.351
"cod",1900,3.351
"cod",1901,3.351
"cod",1902,3.351
"cod",1903,3.351
"cod",1904,3.351
"cod",1905,3.351
"cod",1906,3.351
"cod",1907,3.351
"cod",1908,3.351
"cod",1909,3.351
"cod",1910,3.351
"cod",1911,3.351
"cod",1912,3.351
"cod",1913,3.351
"cod",1914,3.351
"cod",1915,3.351
"cod",1916,3.351
"cod",1917,3.351
"cod",1918,3.351
"cod",1919,3.351
"cod",1920,3.351
"cod",1921,3.351
"cod",1922,3.351
"cod",1923,3.351
"cod",1924,3.351
"cod",1925,3.351
"cod",1926,3.351
"cod",1927,3.351
"cod",1928,3.351
"cod",1929,3.351
"cod",1930,3.351
"cod",1931,3.351
"cod",1932,3.351
"cod",1933,3.351
"cod",1934,3.351
"cod",1935,3.351
"cod",1936,3.351
"cod",1937,3.351
"cod",1938,3.351
"cod",1939,3.351
"cod",1940,3.351
"cod",1941,3.351
"cod",1942,3.256
"cod",1943,3.162
"cod",1944,3.162
"cod",1945,3.068
"cod",1946,2.975
"cod",1947,2.975
"cod",1948,2.883
"cod",1949,2.792
"cod",1950,2.792
"cod",1951,2.701
"cod",1952,2.697
"cod",1953,2.697
"cod",1954,2.603
"cod",1955,2.603
"cod",1956,2.603
"cod",1957,2.607
"cod",1958,2.519
"cod",1959,2.523
"cod",1960,2.527
"cod",1961,2.536
"cod",1962,2.452
"cod",1963,2.46
"cod",1964,2.468
"cod",1965,2.476
"cod",1966,2.396
"cod",1967,2.408
"cod",1968,2.416
"cod",1969,2.339
"cod",1970,2.347
"cod",1971,2.358
"cod",1972,2.281
"cod",1973,2.292
"cod",1974,2.303
"cod",1975,2.317
"cod",1976,2.328
"cod",1977,2.343
"cod",1978,2.27
"cod",1979,2.288
"cod",1980,2.305
"cod",1981,2.323
"cod",1982,2.34
"cod",1983,2.361
"cod",1984,2.379
"cod",1985,2.4
"cod",1986,2.322
"cod",1987,2.339
"cod",1988,2.356
"cod",1989,2.369
"cod",1990,2.379
"cod",1991,2.389
"cod",1992,2.396
"cod",1993,2.4
"cod",1994,2.498
"cod",1995,2.494
"cod",1996,2.484
"cod",1997,2.572
"cod",1998,2.557
"cod",1999,2.535
"cod",2000,2.417
"cod",2001,2.393
"cod",2002,2.361
"cod",2003,2.232
"cod",2004,2.195
"cod",2005,2.154
"cod",2006,2.111
"cod",2007,2.067
"cod",2008,1.941
"cod",2009,1.903
"cod",2010,1.864
"cod",2030,0.8743
"cod",2050,0.4093
"cod",2099,0.1064
"ken",1950,2.993
"ken",1951,3.005
"ken",1952,3.029
"ken",1953,3.054
"ken",1954,2.969
"ken",1955,2.996
"ken",1956,2.91
"ken",1957,2.932
"ken",1958,2.848
"ken",1959,2.76
"ken",1960,2.781
"ken",1961,2.689
"ken",1962,2.593
"ken",1963,2.606
"ken",1964,2.504
"ken",1965,2.51
"ken",1966,2.406
"ken",1967,2.301
"ken",1968,2.298
"ken",1969,2.189
"ken",1970,2.183
"ken",1971,2.074
"ken",1972,2.064
"ken",1973,1.952
"ken",1974,1.94
"ken",1975,1.828
"ken",1976,1.719
"ken",1977,1.704
"ken",1978,1.597
"ken",1979,1.58
"ken",1980,1.478
"ken",1981,1.46
"ken",1982,1.359
"ken",1983,1.341
"ken",1984,1.318
"ken",1985,1.218
"ken",1986,1.192
"ken",1987,1.162
"ken",1988,1.13
"ken",1989,1.097
"ken",1990,1.129
"ken",1991,1.094
"ken",1992,1.124
"ken",1993,1.092
"ken",1994,1.125
"ken",1995,1.162
"ken",1996,1.205
"ken",1997,1.251
"ken",1998,1.241
"ken",1999,1.296
"ken",2000,1.354
"ken",2001,1.351
"ken",2002,1.346
"ken",2003,1.343
"ken",2004,1.273
"ken",2005,1.265
"ken",2006,1.194
"ken",2007,1.185
"ken",2008,1.117
"ken",2009,1.053
"ken",2010,0.9892
"ken",2030,0.4837
"ken",2050,0.2548
"ken",2099,0.0831
"rwa",1950,3.563
"rwa",1951,3.458
"rwa",1952,3.479
"rwa",1953,3.501
"rwa",1954,3.519
"rwa",1955,3.412
"rwa",1956,3.42
"rwa",1957,3.429
"rwa",1958,3.318
"rwa",1959,3.318
"rwa",1960,3.322
"rwa",1961,3.2
"rwa",1962,3.196
"rwa",1963,3.192
"rwa",1964,3.188
"rwa",1965,3.068
"rwa",1966,3.065
"rwa",1967,3.065
"rwa",1968,3.068
"rwa",1969,3.072
"rwa",1970,3.076
"rwa",1971,3.083
"rwa",1972,2.976
"rwa",1973,2.983
"rwa",1974,2.99
"rwa",1975,2.994
"rwa",1976,3.001
"rwa",1977,3.005
"rwa",1978,3.012
"rwa",1979,2.9
"rwa",1980,2.9
"rwa",1981,2.9
"rwa",1982,2.783
"rwa",1983,2.776
"rwa",1984,2.763
"rwa",1985,2.736
"rwa",1986,2.583
"rwa",1987,2.525
"rwa",1988,2.448
"rwa",1989,2.364
"rwa",1990,2.176
"rwa",1991,2.09
"rwa",1992,2.016
"rwa",1993,1.954
"rwa",1994,3.852
"rwa",1995,3.591
"rwa",1996,3.172
"rwa",1997,2.778
"rwa",1998,2.489
"rwa",1999,2.211
"rwa",2000,1.946
"rwa",2001,1.845
"rwa",2002,1.747
"rwa",2003,1.654
"rwa",2004,1.568
"rwa",2005,1.486
"rwa",2006,1.409
"rwa",2007,1.334
"rwa",2008,1.329
"rwa",2009,1.259
"rwa",2010,1.252
"rwa",2030,0.5984
"rwa",2050,0.2848
"rwa",2099,0.07928
"tza",1800,3.771
"tza",1801,3.771
"tza",1802,3.771
"tza",1803,3.771
"tza",1804,3.771
"tza",1805,3.771
"tza",1806,3.771
"tza",1807,3.771
"tza",1808,3.771
"tza",1809,3.771
"tza",1810,3.771
"tza",1811,3.771
"tza",1812,3.771
"tza",1813,3.771
"tza",1814,3.771
"tza",1815,3.771
"tza",1816,3.771
"tza",1817,3.771
"tza",1818,3.771
"tza",1819,3.771
"tza",1820,3.771
"tza",1821,3.771
"tza",1822,3.771
"tza",1823,3.771
"tza",1824,3.771
"tza",1825,3.771
"tza",1826,3.771
"tza",1827,3.771
"tza",1828,3.771
"tza",1829,3.771
"tza",1830,3.771
"tza",1831,3.771
"tza",1832,3.771
"tza",1833,3.771
"tza",1834,3.771
"tza",1835,3.771
"tza",1836,3.771
"tza",1837,3.771
"tza",1838,3.771
"tza",1839,3.771
"tza",1840,3.771
"tza",1841,3.771
"tza",1842,3.771
"tza",1843,3.771
"tza",1844,3.771
"tza",1845,3.771
"tza",1846,3.771
"tza",1847,3.771
"tza",1848,3.771
"tza",1849,3.771
"tza",1850,3.771
"tza",1851,3.771
"tza",1852,3.771
"tza",1853,3.771
"tza",1854,3.771
"tza",1855,3.771
"tza",1856,3.771
"tza",1857,3.771
"tza",1858,3.771
"tza",1859,3.771
"tza",1860,3.771
"tza",1861,3.771
"tza",1862,3.771
"tza",1863,3.771
"tza",1864,3.771
"tza",1865,3.771
"tza",1866,3.771
"tza",1867,3.771
"tza",1868,3.771
"tza",1869,3.771
"tza",1870,3.771
"tza",1871,3.771
"tza",1872,3.771
"tza",1873,3.771
"tza",1874,3.771
"tza",1875,3.771
"tza",1876,3.771
"tza",1877,3.771
"tza",1878,3.771
"tza",1879,3.771
"tza",1880,3.771
"tza",1881,3.771
"tza",1882,3.771
"tza",1883,3.771
"tza",1884,3.771
"tza",1885,3.771
"tza",1886,3.771
"tza",1887,3.771
"tza",1888,3.771
"tza",1889,3.771
"tza",1890,3.771
"tza",1891,3.771
"tza",1892,3.771
"tza",1893,3.771
"tza",1894,3.771
"tza",1895,3.771
"tza",1896,3.771
"tza",1897,3.771
"tza",1898,3.771
"tza",1899,3.771
"tza",1900,3.771
"tza",1901,3.771
"tza",1902,3.771
"tza",1903,3.771
"tza",1904,3.771
"tza",1905,3.771
"tza",1906,3.771
"tza",1907,3.771
"tza",1908,3.771
"tza",1909,3.771
"tza",1910,3.771
"tza",1911,3.771
"tza",1912,3.771
"tza",1913,3.771
"tza",1914,3.771
"tza",1915,3.771
"tza",1916,3.771
"tza",1917,3.771
"tza",1918,3.771
"tza",1919,3.771
"tza",1920,3.771
"tza",1921,3.771
"tza",1922,3.771
"tza",1923,3.771
"tza",1924,3.771
"tza",1925,3.771
"tza",1926,3.77
"tza",1927,3.769
"tza",1928,3.768
"tza",1929,3.767
"tza",1930,3.767
"tza",1931,3.766
"tza",1932,3.765
"tza",1933,3.764
"tza",1934,3.763
"tza",1935,3.762
"tza",1936,3.761
"tza",1937,3.76
