"geo","time","debt_servicing_costs_percent_of_exports_and_net_income_from_abroad"
"bdi",1985,20.42051
"bdi",1986,24.50411
"bdi",1987,41.32726
"bdi",1988,33.28938
"bdi",1989,36.43075
"bdi",1990,43.41542
"bdi",1991,30.60759
"bdi",1992,36.53473
"bdi",1993,36.1923
"bdi",1994,39.48075
"bdi",1995,27.64953
"bdi",1996,53.95083
"bdi",1997,30.32819
"bdi",1998,42.33919
"bdi",1999,48.69373
"bdi",2000,40.85525
"bdi",2001,50.77564
"bdi",2002,60.09773
"bdi",2003,64.20221
"bdi",2004,134.78802
"bdi",2005,40.51751
"bdi",2006,20.42538
"bdi",2007,18.50947
"bdi",2008,11.98044
"bdi",2009,16.59608
"bdi",2010,2.39639
"bdi",2011,4.20852
"bdi",2012,8.9141
"bdi",2013,13.75874
"bdi",2014,13.26251
"bdi",2015,13.44267
"bdi",2016,31.71654
"cod",2005,7.90869
"cod",2006,9.18407
"cod",2007,7.63265
"cod",2008,7.68395
"cod",2009,12.38667
"cod",2010,3.08509
"cod",2011,2.4665
"cod",2012,3.08369
"cod",2013,3.32656
"cod",2014,3.20163
"cod",2015,3.66988
"cod",2016,4.29704
"ken",1975,14.9362
"ken",1976,14.81054
"ken",1977,20.45099
"ken",1978,13.97476
"ken",1979,18.37208
"ken",1980,21.02889
"ken",1981,26.96558
"ken",1982,30.48343
"ken",1983,33.77419
"ken",1984,34.79545
"ken",1985,38.66533
"ken",1986,35.60632
"ken",1987,39.76611
"ken",1988,38.9906
"ken",1989,36.64008
"ken",1990,35.41213
"ken",1991,32.61405
"ken",1992,31.1387
"ken",1993,17.06061
"ken",1994,20.56434
"ken",1995,25.26389
"ken",1996,22.39031
"ken",1997,15.56237
"ken",1998,14.85275
"ken",1999,15.82524
"ken",2000,21.0197
"ken",2001,15.87806
"ken",2002,16.35358
"ken",2003,15.8395
"ken",2004,8.28179
"ken",2005,9.98423
"ken",2006,7.12819
"ken",2007,6.32384
"ken",2008,4.8801
"ken",2009,5.13621
"ken",2010,4.40062
"ken",2011,4.31941
"ken",2012,5.25669
"ken",2013,5.91113
"ken",2014,11.06749
"ken",2015,8.79166
"ken",2016,10.61954
"rwa",1976,2.83895
"rwa",1977,0.96889
"rwa",1978,1.31328
"rwa",1979,2.15108
"rwa",1980,3.86695
"rwa",1981,4.43542
"rwa",1982,4.65776
"rwa",1983,5.89386
"rwa",1984,6.91822
"rwa",1985,10.51993
"rwa",1986,8.41047
"rwa",1987,13.36924
"rwa",1988,12.9893
"rwa",1989,18.49823
"rwa",1990,14.25781
"rwa",1991,16.44527
"rwa",1992,20.39602
"rwa",1993,20.47134
"rwa",1994,8.29619
"rwa",1995,20.48618
"rwa",1996,19.80544
"rwa",1997,14.57855
"rwa",1998,17.13088
"rwa",1999,27.30876
"rwa",2000,25.72983
"rwa",2001,11.83949
"rwa",2002,14.49782
"rwa",2003,15.3483
"rwa",2004,12.95881
"rwa",2005,10.85402
"rwa",2006,6.72997
"rwa",2007,4.9902
"rwa",2008,2.0047
"rwa",2009,1.90379
"rwa",2010,2.07891
"rwa",2011,1.92269
"rwa",2012,2.00691
"rwa",2013,3.04783
"rwa",2014,4.20341
"rwa",2015,7.1472
"rwa",2016,8.28671
"tza",1976,3.75991
"tza",1977,5.39294
"tza",1978,13.80044
"tza",1979,11.53096
"tza",1980,18.22337
"tza",1981,18.85163
"tza",1982,24.94173
"tza",1983,29.49418
"tza",1984,24.5935
"tza",1985,38.992
"tza",1986,34.43637
"tza",1987,39.18779
"tza",1988,31.92391
"tza",1989,32.95285
"tza",1990,32.89362
"tza",1991,40.44552
"tza",1992,40.12629
"tza",1993,26.81446
"tza",1994,18.9424
"tza",1995,17.43155
"tza",1996,18.84909
"tza",1997,12.64047
"tza",1998,18.97954
"tza",1999,17.88183
"tza",2000,11.93189
"tza",2001,7.82439
"tza",2002,5.32295
"tza",2003,3.9198
"tza",2004,4.47004
"tza",2005,4.36326
"tza",2006,2.531
"tza",2007,1.7255
"tza",2008,1.27277
"tza",2009,3.06974
"tza",2010,2.91454
"tza",2011,1.87088
"tza",2012,1.79753
"tza",2013,1.79714
"tza",2014,2.74031
"tza",2015,3.59072
"tza",2016,5.43383
"uga",1980,17.35168
"uga",1981,24.94049
"uga",1982,18.20513
"uga",1983,23.40141
"uga",1984,30.33742
"uga",1985,41.67642
"uga",1986,40.71649
"uga",1987,47.93046
"uga",1988,75.68532
"uga",1989,67.63198
"uga",1990,81.36389
"uga",1991,74.79957
"uga",1992,59.65701
"uga",1993,46.01694
"uga",1994,27.49917
"uga",1995,19.83695
"uga",1996,18.20211
"uga",1997,20.17111
"uga",1998,20.79639
"uga",1999,18.52407
"uga",2000,10.56409
"uga",2001,7.06002
"uga",2002,9.79916
"uga",2003,9.80536
"uga",2004,8.85385
"uga",2005,10.78984
"uga",2006,5.52471
"uga",2007,2.62685
"uga",2008,2.34075
"uga",2009,2.11358
"uga",2010,1.79984
"uga",2011,1.47458
"uga",2012,1.36028
"uga",2013,1.67987
"uga",2014,4.38329
"uga",2015,2.00489
"uga",2016,18.82339
