"geo","time","debt_to_foreigners_by_public_and_private_percent_of_gni"
"bdi",1970,6.36254
"bdi",1971,5.59059
"bdi",1972,2.92897
"bdi",1973,2.62853
"bdi",1974,2.80665
"bdi",1975,4.69999
"bdi",1976,5.11586
"bdi",1977,8.79061
"bdi",1978,12.53513
"bdi",1979,17.63324
"bdi",1980,17.97761
"bdi",1981,18.48715
"bdi",1982,22.61765
"bdi",1983,28.66303
"bdi",1984,35.72513
"bdi",1985,40.21707
"bdi",1986,48.29737
"bdi",1987,69.7683
"bdi",1988,75.57492
"bdi",1989,81.07695
"bdi",1990,81.17861
"bdi",1991,83.33409
"bdi",1992,95.99808
"bdi",1993,114.73177
"bdi",1994,123.39505
"bdi",1995,117.60461
"bdi",1996,132.23124
"bdi",1997,111.30385
"bdi",1998,126.69328
"bdi",1999,144.80039
"bdi",2000,127.24726
"bdi",2001,126.49739
"bdi",2002,151.80451
"bdi",2003,175.84987
"bdi",2004,152.92793
"bdi",2005,117.12805
"bdi",2006,108.5042
"bdi",2007,104.41043
"bdi",2008,86.49625
"bdi",2009,35.24695
"bdi",2010,30.81849
"bdi",2011,25.84994
"bdi",2012,27.09074
"bdi",2013,25.19674
"bdi",2014,22.30853
"bdi",2015,20.25762
"bdi",2016,21.18426
"cod",1970,7.10781
"cod",1971,7.36064
"cod",1972,10.98924
"cod",1973,13.32229
"cod",1974,16.06411
"cod",1975,20.01932
"cod",1976,30.70562
"cod",1977,30.38273
"cod",1978,29.37578
"cod",1979,30.32178
"cod",1980,33.83031
"cod",1981,41.75691
"cod",1982,38.40278
"cod",1983,49.90633
"cod",1984,69.22486
"cod",1985,90.46463
"cod",1986,90.02086
"cod",1987,124.82931
"cod",1988,105.55578
"cod",1989,110.49383
"cod",1990,119.57142
"cod",1991,130.10788
"cod",1992,146.68398
"cod",1993,111.9608
"cod",1994,240.15985
"cod",1995,271.42979
"cod",1996,237.66538
"cod",1997,217.02505
"cod",1998,226.66896
"cod",1999,284.16834
"cod",2000,63.18458
"cod",2001,164.59325
"cod",2002,119.36396
"cod",2003,131.38382
"cod",2004,115.4752
"cod",2005,93.34641
"cod",2006,81.9921
"cod",2007,79.27421
"cod",2008,68.84182
"cod",2009,74.96886
"cod",2010,31.33401
"cod",2011,24.42126
"cod",2012,21.74185
"cod",2013,22.70614
"cod",2014,17.82299
"cod",2015,16.1334
"cod",2016,15.81633
"ken",1970,30.21301
"ken",1971,28.38965
"ken",1972,28.03167
"ken",1973,35.19521
"ken",1974,40.13318
"ken",1975,40.74701
"ken",1976,44.81082
"ken",1977,38.25736
"ken",1978,42.48743
"ken",1979,45.27552
"ken",1980,48.08473
"ken",1981,48.61771
"ken",1982,54.52035
"ken",1983,62.67762
"ken",1984,58.64604
"ken",1985,70.56254
"ken",1986,65.76996
"ken",1987,75.20136
"ken",1988,72.3342
"ken",1989,73.25847
"ken",1990,85.96928
"ken",1991,95.82897
"ken",1992,87.8233
"ken",1993,131.89928
"ken",1994,104.98966
"ken",1995,83.76172
"ken",1996,57.64597
"ken",1997,49.94767
"ken",1998,48.87199
"ken",1999,51.29293
"ken",2000,48.89039
"ken",2001,42.81091
"ken",2002,46.80582
"ken",2003,45.57118
"ken",2004,43.35286
"ken",2005,34.62991
"ken",2006,25.94368
"ken",2007,23.69533
"ken",2008,21.35698
"ken",2009,23.12054
"ken",2010,22.20105
"ken",2011,24.2198
"ken",2012,23.74139
"ken",2013,25.38845
"ken",2014,28.01286
"ken",2015,31.32998
"ken",2016,31.96356
"rwa",1970,2.21773
"rwa",1971,0.89616
"rwa",1972,1.3725
"rwa",1973,2.74671
"rwa",1974,4.02836
"rwa",1975,4.23403
"rwa",1976,7.51796
"rwa",1977,11.77745
"rwa",1978,14.07241
"rwa",1979,14.10372
"rwa",1980,15.10712
"rwa",1981,13.88142
"rwa",1982,15.39313
"rwa",1983,16.2094
"rwa",1984,18.26212
"rwa",1985,21.41715
"rwa",1986,23.33329
"rwa",1987,28.23528
"rwa",1988,27.44126
"rwa",1989,26.02337
"rwa",1990,28.04027
"rwa",1991,42.61268
"rwa",1992,42.45472
"rwa",1993,46.46271
"rwa",1994,127.41484
"rwa",1995,79.48606
"rwa",1996,76.3931
"rwa",1997,60.64396
"rwa",1998,62.32518
"rwa",1999,72.64754
"rwa",2000,75.01704
"rwa",2001,78.61551
"rwa",2002,87.59479
"rwa",2003,85.66414
"rwa",2004,81.2768
"rwa",2005,59.75423
"rwa",2006,13.88302
"rwa",2007,16.25943
"rwa",2008,14.27542
"rwa",2009,16.12315
"rwa",2010,15.81387
"rwa",2011,18.89686
"rwa",2012,17.48351
"rwa",2013,22.62176
"rwa",2014,25.7977
"rwa",2015,27.79959
"rwa",2016,34.08812
"tza",1988,122.12687
"tza",1989,137.91118
"tza",1990,157.91378
"tza",1991,137.41795
"tza",1992,151.01606
"tza",1993,165.28636
"tza",1994,165.83002
"tza",1995,143.74861
"tza",1996,114.27651
"tza",1997,93.93089
"tza",1998,81.2063
"tza",1999,82.32417
"tza",2000,71.46233
"tza",2001,64.68679
"tza",2002,66.71597
"tza",2003,63.72852
"tza",2004,68.49023
"tza",2005,50.67925
"tza",2006,22.03718
"tza",2007,23.70201
"tza",2008,22.21403
"tza",2009,27.1798
"tza",2010,28.61574
"tza",2011,29.78327
"tza",2012,30.09141
"tza",2013,29.91857
"tza",2014,30.10257
"tza",2015,34.55678
"tza",2016,35.2824
"uga",1970,12.18303
"uga",1971,12.35252
"uga",1972,12.0503
"uga",1973,10.39752
"uga",1974,9.69547
"uga",1975,8.88125
"uga",1976,9.99413
"uga",1977,10.28
"uga",1978,17.68804
"uga",1979,27.64427
"uga",1980,55.81146
"uga",1981,53.37603
"uga",1982,40.64736
"uga",1983,45.97775
"uga",1984,30.10233
"uga",1985,35.72778
"uga",1986,36.68014
"uga",1987,31.10644
"uga",1988,30.08031
"uga",1989,42.14903
"uga",1990,61.64131
"uga",1991,85.8975
"uga",1992,106.52925
"uga",1993,96.25734
"uga",1994,86.46667
"uga",1995,63.33679
"uga",1996,61.84984
"uga",1997,62.49717
"uga",1998,59.94081
"uga",1999,59.1177
"uga",2000,58.09043
"uga",2001,66.5789
"uga",2002,66.50292
"uga",2003,73.78127
"uga",2004,62.00305
"uga",2005,50.995
"uga",2006,13.41679
"uga",2007,13.7107
"uga",2008,16.40031
"uga",2009,13.22239
"uga",2010,14.9914
"uga",2011,16.17
"uga",2012,16.39967
"uga",2013,35.8876
"uga",2014,32.7733
"uga",2015,36.20759
"uga",2016,39.63123
