"geo","time","democracy_score_use_as_color"
"bdi",1962,0
"bdi",1963,-3
"bdi",1964,-3
"bdi",1965,-5
"bdi",1966,-7
"bdi",1967,-7
"bdi",1968,-7
"bdi",1969,-7
"bdi",1970,-7
"bdi",1971,-7
"bdi",1972,-7
"bdi",1973,-7
"bdi",1974,-7
"bdi",1975,-7
"bdi",1976,-7
"bdi",1977,-7
"bdi",1978,-7
"bdi",1979,-7
"bdi",1980,-7
"bdi",1981,-7
"bdi",1982,-7
"bdi",1983,-7
"bdi",1984,-7
"bdi",1985,-7
"bdi",1986,-7
"bdi",1987,-7
"bdi",1988,-7
"bdi",1989,-7
"bdi",1990,-7
"bdi",1991,-7
"bdi",1992,-3
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,-5
"bdi",1997,-5
"bdi",1998,-1
"bdi",1999,-1
"bdi",2000,-1
"bdi",2001,0
"bdi",2002,2
"bdi",2003,3
"bdi",2004,5
"bdi",2005,6
"bdi",2006,6
"bdi",2007,6
"bdi",2008,6
"bdi",2009,6
"bdi",2010,6
"bdi",2011,6
"cod",1960,0
"cod",1961,0
"cod",1962,0
"cod",1963,-3
"cod",1964,-6
"cod",1965,-9
"cod",1966,-9
"cod",1967,-9
"cod",1968,-9
"cod",1969,-9
"cod",1970,-9
"cod",1971,-9
"cod",1972,-9
"cod",1973,-9
"cod",1974,-9
"cod",1975,-9
"cod",1976,-9
"cod",1977,-9
"cod",1978,-9
"cod",1979,-9
"cod",1980,-9
"cod",1981,-9
"cod",1982,-9
"cod",1983,-9
"cod",1984,-9
"cod",1985,-9
"cod",1986,-9
"cod",1987,-9
"cod",1988,-9
"cod",1989,-9
"cod",1990,-8
"cod",1991,-8
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,0
"cod",1996,0
"cod",1997,0
"cod",1998,0
"cod",1999,0
"cod",2000,0
"cod",2001,0
"cod",2002,0
"cod",2003,1
"cod",2004,3
"cod",2005,4
"cod",2006,5
"cod",2007,5
"cod",2008,5
"cod",2009,5
"cod",2010,5
"cod",2011,5
"ken",1963,2
"ken",1964,2
"ken",1965,2
"ken",1966,0
"ken",1967,0
"ken",1968,0
"ken",1969,-7
"ken",1970,-7
"ken",1971,-7
"ken",1972,-7
"ken",1973,-7
"ken",1974,-7
"ken",1975,-7
"ken",1976,-7
"ken",1977,-7
"ken",1978,-7
"ken",1979,-6
"ken",1980,-6
"ken",1981,-6
"ken",1982,-7
"ken",1983,-7
