"geo","time","dtp3_immunized_percent_of_one_year_olds"
"bdi",1981,36
"bdi",1982,33
"bdi",1983,44
"bdi",1984,26
"bdi",1985,36
"bdi",1986,55
"bdi",1987,68
"bdi",1988,51
"bdi",1989,82
"bdi",1990,86
"bdi",1991,83
"bdi",1992,80
"bdi",1993,63
"bdi",1994,48
"bdi",1995,73
"bdi",1996,73
"bdi",1997,74
"bdi",1998,65
"bdi",1999,79
"bdi",2000,80
"bdi",2001,81
"bdi",2002,81
"bdi",2003,82
"bdi",2004,83
"bdi",2005,87
"bdi",2006,92
"bdi",2007,99
"bdi",2008,92
"bdi",2009,94
"bdi",2010,96
"bdi",2011,96
"cod",1981,18
"cod",1982,17
"cod",1983,16
"cod",1984,27
"cod",1985,37
"cod",1986,32
"cod",1987,38
"cod",1988,41
"cod",1989,38
"cod",1990,35
"cod",1991,16
"cod",1992,23
"cod",1993,29
"cod",1994,26
"cod",1995,23
"cod",1996,18
"cod",1997,18
"cod",1998,18
"cod",1999,25
"cod",2000,40
"cod",2001,30
"cod",2002,38
"cod",2003,41
"cod",2004,54
"cod",2005,60
"cod",2006,62
"cod",2007,70
"cod",2008,65
"cod",2009,72
"cod",2010,58
"cod",2011,70
"ken",1984,58
"ken",1985,70
"ken",1986,72
"ken",1987,77
"ken",1988,82
"ken",1989,83
"ken",1990,84
"ken",1991,86
"ken",1992,87
"ken",1993,89
"ken",1994,92
"ken",1995,94
"ken",1996,87
"ken",1997,79
"ken",1998,81
"ken",1999,82
"ken",2000,82
"ken",2001,80
"ken",2002,84
"ken",2003,73
"ken",2004,73
"ken",2005,76
"ken",2006,80
"ken",2007,81
"ken",2008,85
"ken",2009,84
"ken",2010,83
"ken",2011,88
"rwa",1981,17
"rwa",1982,38
"rwa",1983,59
"rwa",1984,55
"rwa",1985,50
"rwa",1986,87
"rwa",1987,88
"rwa",1988,80
"rwa",1989,82
"rwa",1990,84
"rwa",1991,91
"rwa",1992,85
"rwa",1993,83
"rwa",1994,23
"rwa",1995,83
"rwa",1996,89
"rwa",1997,73
"rwa",1998,79
"rwa",1999,85
"rwa",2000,90
"rwa",2001,77
"rwa",2002,88
"rwa",2003,96
"rwa",2004,89
"rwa",2005,95
"rwa",2006,99
"rwa",2007,97
"rwa",2008,97
"rwa",2009,97
"rwa",2010,97
"rwa",2011,97
"ssd",2011,46
"tza",1980,59
"tza",1981,55
"tza",1982,50
"tza",1983,52
"tza",1984,58
"tza",1985,67
"tza",1986,74
"tza",1987,79
"tza",1988,85
"tza",1989,77
"tza",1990,78
"tza",1991,81
"tza",1992,83
"tza",1993,83
"tza",1994,84
"tza",1995,81
"tza",1996,82
"tza",1997,79
"tza",1998,79
"tza",1999,76
"tza",2000,79
"tza",2001,87
"tza",2002,89
"tza",2003,95
"tza",2004,95
"tza",2005,90
"tza",2006,90
"tza",2007,83
"tza",2008,86
"tza",2009,85
"tza",2010,91
"tza",2011,90
"uga",1981,9
"uga",1982,12
"uga",1983,14
"uga",1984,14
"uga",1985,14
"uga",1986,21
"uga",1987,30
"uga",1988,38
"uga",1989,42
"uga",1990,45
"uga",1991,49
"uga",1992,53
"uga",1993,56
"uga",1994,60
"uga",1995,59
"uga",1996,57
"uga",1997,56
"uga",1998,48
"uga",1999,50
"uga",2000,52
"uga",2001,55
"uga",2002,57
"uga",2003,59
"uga",2004,62
"uga",2005,64
"uga",2006,64
"uga",2007,73
"uga",2008,71
"uga",2009,79
"uga",2010,80
"uga",2011,82
