"geo","time","electricity_use_per_person"
"cod",1971,162.28283
"cod",1972,158.80577
"cod",1973,167.3641
"cod",1974,169.29281
"cod",1975,167.23197
"cod",1976,161.84849
"cod",1977,158.36652
"cod",1978,148.38915
"cod",1979,142.93573
"cod",1980,150.925
"cod",1981,135.65356
"cod",1982,130.35163
"cod",1983,138.03968
"cod",1984,141.339
"cod",1985,148.14222
"cod",1986,150.65589
"cod",1987,145.83019
"cod",1988,145.88143
"cod",1989,169.48828
"cod",1990,130.8697
"cod",1991,125.46351
"cod",1992,115.19261
"cod",1993,102.54008
"cod",1994,101.25715
"cod",1995,108.83325
"cod",1996,104.81513
"cod",1997,95.39097
"cod",1998,93.41995
"cod",1999,95.20974
"cod",2000,96.63019
"cod",2001,95.61036
"cod",2002,89.79497
"cod",2003,90.27042
"cod",2004,88.24492
"cod",2005,89.51357
"cod",2006,101.83398
"cod",2007,105.3108
"cod",2008,101.26942
"cod",2009,106.85884
"cod",2010,104.72192
"cod",2011,108.08891
"cod",2012,112.25207
"cod",2013,117.09849
"cod",2014,108.58233
"ken",1971,77.97546
"ken",1972,82.42858
"ken",1973,85.15663
"ken",1974,87.47772
"ken",1975,90.45997
"ken",1976,96.52272
"ken",1977,98.15331
"ken",1978,101.17355
"ken",1979,104.70635
"ken",1980,104.92354
"ken",1981,108.74661
"ken",1982,107.29278
"ken",1983,106.69208
"ken",1984,108.30227
"ken",1985,113.42804
"ken",1986,116.20018
"ken",1987,125.24079
"ken",1988,118.64787
"ken",1989,121.63643
"ken",1990,125.20026
"ken",1991,126.59433
"ken",1992,126.54246
"ken",1993,129.02793
"ken",1994,126.41022
"ken",1995,127.62166
"ken",1996,129.85059
"ken",1997,127.40849
"ken",1998,128.08281
"ken",1999,118.46252
"ken",2000,106.1033
"ken",2001,115.74346
"ken",2002,114.9515
"ken",2003,120.5947
"ken",2004,127.8691
"ken",2005,130.21423
"ken",2006,138.04904
"ken",2007,141.70595
"ken",2008,141.15514
"ken",2009,142.10729
"ken",2010,150.27756
"ken",2011,151.12915
"ken",2012,152.84113
"ken",2013,163.47346
"ken",2014,166.73819
"ssd",2012,38.73082
"ssd",2013,39.81216
"ssd",2014,39.89256
"tza",1971,30.18691
"tza",1972,31.9854
"tza",1973,33.56661
"tza",1974,33.79144
"tza",1975,34.22964
"tza",1976,34.86263
"tza",1977,34.9049
"tza",1978,34.2343
"tza",1979,36.66506
"tza",1980,36.61052
"tza",1981,37.5575
"tza",1982,35.54273
"tza",1983,33.71553
"tza",1984,34.33521
"tza",1985,36.03975
"tza",1986,40.37982
"tza",1987,40.77844
"tza",1988,44.37482
"tza",1989,46.67369
"tza",1990,51.17911
"tza",1991,54.2656
"tza",1992,52.93976
"tza",1993,48.27824
"tza",1994,49.19057
"tza",1995,57.07462
"tza",1996,60.56111
"tza",1997,55.03354
"tza",1998,59.84276
"tza",1999,55.38945
"tza",2000,57.93193
"tza",2001,61.59407
"tza",2002,66.83135
"tza",2003,66.65039
"tza",2004,77.98696
"tza",2005,77.66957
"tza",2006,63.61519
"tza",2007,79.35843
"tza",2008,83.52179
"tza",2009,69.85456
"tza",2010,92.95295
"tza",2011,83.85378
"tza",2012,93.75956
"tza",2013,95.97802
"tza",2014,99.16747
