"geo","time","energy_production_per_person"
"cod",1971,0.00028
"cod",1972,0.00028
"cod",1973,0.00029
"cod",1974,0.00028
"cod",1975,0.00028
"cod",1976,0.00034
"cod",1977,0.00033
"cod",1978,0.00032
"cod",1979,0.00032
"cod",1980,0.00032
"cod",1981,0.00032
"cod",1982,0.00032
"cod",1983,0.00033
"cod",1984,0.00034
"cod",1985,0.00034
"cod",1986,0.00034
"cod",1987,0.00034
"cod",1988,0.00033
"cod",1989,0.00033
"cod",1990,0.00033
"cod",1991,0.00032
"cod",1992,0.00032
"cod",1993,0.00031
"cod",1994,0.00031
"cod",1995,0.00031
"cod",1996,0.00031
"cod",1997,0.00031
"cod",1998,0.00031
"cod",1999,0.00031
"cod",2000,0.00035
"cod",2001,0.00036
"cod",2002,0.00036
"cod",2003,0.00036
"cod",2004,0.00036
"cod",2005,0.00036
"cod",2006,0.00036
"cod",2007,0.00036
"cod",2008,0.00036
"cod",2009,0.00036
"ken",1971,0.00037
"ken",1972,0.00037
"ken",1973,0.00037
"ken",1974,0.00037
"ken",1975,0.00037
"ken",1976,0.00037
"ken",1977,0.00037
"ken",1978,0.00037
"ken",1979,0.00037
"ken",1980,0.00037
"ken",1981,0.00037
"ken",1982,0.00037
"ken",1983,0.00037
"ken",1984,0.00037
"ken",1985,0.00037
"ken",1986,0.00039
"ken",1987,0.00039
"ken",1988,0.00039
"ken",1989,0.00039
"ken",1990,0.00038
"ken",1991,0.00038
"ken",1992,0.00038
"ken",1993,0.00038
"ken",1994,0.00038
"ken",1995,0.00038
"ken",1996,0.00038
"ken",1997,0.00038
"ken",1998,0.00038
"ken",1999,0.00038
"ken",2000,0.00038
"ken",2001,0.00038
"ken",2002,0.00038
"ken",2003,0.00039
"ken",2004,0.00039
"ken",2005,0.00039
"ken",2006,0.00039
"ken",2007,0.00039
"ken",2008,0.00039
"ken",2009,0.00039
"tza",1971,0.00049
"tza",1972,0.00047
"tza",1973,0.00046
"tza",1974,0.00045
"tza",1975,0.00044
"tza",1976,0.00043
"tza",1977,0.00042
"tza",1978,0.00041
"tza",1979,4e-04
"tza",1980,0.00039
"tza",1981,0.00039
"tza",1982,0.00038
"tza",1983,0.00038
"tza",1984,0.00038
"tza",1985,0.00037
"tza",1986,0.00037
"tza",1987,0.00037
"tza",1988,0.00036
"tza",1989,0.00036
"tza",1990,0.00036
"tza",1991,0.00035
"tza",1992,0.00035
"tza",1993,0.00034
"tza",1994,0.00034
"tza",1995,0.00034
"tza",1996,0.00033
"tza",1997,0.00033
"tza",1998,0.00035
"tza",1999,0.00036
"tza",2000,0.00037
"tza",2001,0.00038
"tza",2002,0.00039
"tza",2003,0.00039
"tza",2004,4e-04
"tza",2005,0.00041
"tza",2006,0.00041
"tza",2007,0.00041
"tza",2008,0.00041
"tza",2009,0.00041
