"geo","time","energy_production_total"
"cod",1971,5932
"cod",1972,6094
"cod",1973,6282
"cod",1974,6407
"cod",1975,6637
"cod",1976,8055
"cod",1977,8155
"cod",1978,8106
"cod",1979,8448
"cod",1980,8582
"cod",1981,8941
"cod",1982,9264
"cod",1983,9658
"cod",1984,10280
"cod",1985,10660
"cod",1986,10910
"cod",1987,11140
"cod",1988,11360
"cod",1989,11690
"cod",1990,12020
"cod",1991,12230
"cod",1992,12460
"cod",1993,12680
"cod",1994,13110
"cod",1995,13700
"cod",1996,14150
"cod",1997,14370
"cod",1998,14650
"cod",1999,15050
"cod",2000,17510
"cod",2001,18190
"cod",2002,18700
"cod",2003,19420
"cod",2004,20220
"cod",2005,20760
"cod",2006,21410
"cod",2007,22070
"cod",2008,22660
"cod",2009,23350
"ken",1971,4276
"ken",1972,4437
"ken",1973,4601
"ken",1974,4783
"ken",1975,4969
"ken",1976,5148
"ken",1977,5355
"ken",1978,5584
"ken",1979,5814
"ken",1980,6012
"ken",1981,6273
"ken",1982,6519
"ken",1983,6788
"ken",1984,7041
"ken",1985,7327
"ken",1986,7881
"ken",1987,8164
"ken",1988,8442
"ken",1989,8732
"ken",1990,9013
"ken",1991,9294
"ken",1992,9555
"ken",1993,9850
"ken",1994,10120
"ken",1995,10490
"ken",1996,10770
"ken",1997,11000
"ken",1998,11300
"ken",1999,11500
"ken",2000,11730
"ken",2001,12150
"ken",2002,12500
"ken",2003,13160
"ken",2004,13650
"ken",2005,13970
"ken",2006,14330
"ken",2007,14700
"ken",2008,15130
"ken",2009,15570
"tza",1971,6872
"tza",1972,6884
"tza",1973,6910
"tza",1974,6953
"tza",1975,7023
"tza",1976,7046
"tza",1977,7083
"tza",1978,7136
"tza",1979,7203
"tza",1980,7296
"tza",1981,7448
"tza",1982,7603
"tza",1983,7772
"tza",1984,7944
"tza",1985,8128
"tza",1986,8300
"tza",1987,8481
"tza",1988,8667
"tza",1989,8864
"tza",1990,9064
"tza",1991,9264
"tza",1992,9449
"tza",1993,9674
"tza",1994,9857
"tza",1995,10060
"tza",1996,10270
"tza",1997,10410
"tza",1998,11230
"tza",1999,12090
"tza",2000,12690
"tza",2001,13360
"tza",2002,13940
"tza",2003,14440
"tza",2004,15050
"tza",2005,15780
"tza",2006,16360
"tza",2007,16950
"tza",2008,17470
"tza",2009,18050
