"geo","time","energy_use_per_person"
"cod",1971,324.80557
"cod",1972,324.4067
"cod",1973,326.92493
"cod",1974,326.91918
"cod",1975,326.20496
"cod",1976,322.02484
"cod",1977,322.69376
"cod",1978,322.29265
"cod",1979,327.10993
"cod",1980,321.20187
"cod",1981,328.43583
"cod",1982,320.86816
"cod",1983,333.49144
"cod",1984,341.82617
"cod",1985,333.06226
"cod",1986,330.83097
"cod",1987,335.05688
"cod",1988,337.64811
"cod",1989,335.68926
"cod",1990,340.84876
"cod",1991,328.90624
"cod",1992,322.08447
"cod",1993,315.94675
"cod",1994,305.74923
"cod",1995,308.58323
"cod",1996,310.30646
"cod",1997,308.12729
"cod",1998,308.55834
"cod",1999,302.68001
"cod",2000,295.40884
"cod",2001,297.01284
"cod",2002,298.44357
"cod",2003,300.21055
"cod",2004,302.50057
"cod",2005,304.34727
"cod",2006,305.86631
"cod",2007,306.82633
"cod",2008,307.84652
"cod",2009,306.7412
"cod",2010,307.61335
"cod",2011,315.96325
"cod",2012,379.14814
"cod",2013,385.40022
"cod",2014,389.56739
"ken",1971,453.93992
"ken",1972,457.97127
"ken",1973,453.44981
"ken",1974,453.75618
"ken",1975,448.09715
"ken",1976,452.9237
"ken",1977,458.05195
"ken",1978,454.66921
"ken",1979,453.78811
"ken",1980,453.28929
"ken",1981,448.78322
"ken",1982,440.12243
"ken",1983,431.29101
"ken",1984,439.60155
"ken",1985,442.12664
"ken",1986,464.58279
"ken",1987,466.96678
"ken",1988,462.38213
"ken",1989,463.32505
"ken",1990,457.72523
"ken",1991,451.33215
"ken",1992,448.65451
"ken",1993,445.73648
"ken",1994,437.16109
"ken",1995,444.68548
"ken",1996,447.81097
"ken",1997,440.52524
"ken",1998,444.46606
"ken",1999,441.88982
"ken",2000,445.12471
"ken",2001,439.02606
"ken",2002,432.91362
"ken",2003,430.51627
"ken",2004,440.43191
"ken",2005,443.91592
"ken",2006,450.30577
"ken",2007,447.63574
"ken",2008,450.83157
"ken",2009,464.49694
"ken",2010,472.05662
"ken",2011,468.97558
"ken",2012,462.09743
"ken",2013,475.8829
"ken",2014,513.42649
"ssd",2012,59.5228
"ssd",2013,60.58158
"ssd",2014,60.7262
"tza",1971,539.42453
"tza",1972,527.04948
"tza",1973,513.38457
"tza",1974,495.38434
"tza",1975,480.04077
"tza",1976,469.78316
"tza",1977,455.45495
"tza",1978,446.50165
"tza",1979,436.90324
"tza",1980,429.00844
"tza",1981,421.70693
"tza",1982,414.7832
"tza",1983,410.27104
"tza",1984,405.48196
"tza",1985,401.50897
"tza",1986,398.9741
"tza",1987,394.24122
"tza",1988,389.42011
"tza",1989,385.8537
"tza",1990,382.29888
"tza",1991,377.45359
"tza",1992,369.62097
"tza",1993,367.10613
"tza",1994,361.86517
"tza",1995,367.88069
"tza",1996,362.14452
"tza",1997,356.11524
"tza",1998,369.67395
"tza",1999,383.0763
"tza",2000,393.87818
"tza",2001,404.83117
"tza",2002,413.72654
"tza",2003,417.98969
"tza",2004,430.49835
"tza",2005,437.52389
"tza",2006,439.61545
"tza",2007,441.1719
"tza",2008,441.87202
"tza",2009,440.1066
"tza",2010,448.22094
"tza",2011,459.15896
"tza",2012,472.28589
"tza",2013,474.35154
"tza",2014,475.42696
