"geo","time","epidemic_affected_annual_number"
"bdi",1970,0
"bdi",1971,0
"bdi",1972,0
"bdi",1974,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,1584
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,2288
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,0
"bdi",1997,24370
"bdi",1998,0
"bdi",1999,616500
"bdi",2000,731000
"bdi",2001,0
"bdi",2002,2250
"bdi",2003,236
"bdi",2004,0
"bdi",2005,0
"bdi",2006,0
"bdi",2007,0
"bdi",2008,0
"cod",1970,0
"cod",1971,0
"cod",1972,0
"cod",1974,0
"cod",1975,0
"cod",1976,507
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,498
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,500
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,233
"cod",1996,2156
"cod",1997,1465
"cod",1998,14890
"cod",1999,75
"cod",2000,89
"cod",2001,11930
"cod",2002,541900
"cod",2003,21190
"cod",2004,46930
"cod",2005,4973
"cod",2006,3137
"cod",2007,591
"cod",2008,0
"ken",1970,0
"ken",1971,0
"ken",1972,0
"ken",1974,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,226
"ken",1992,0
"ken",1993,0
"ken",1994,6501000
"ken",1995,0
"ken",1996,0
"ken",1997,34270
"ken",1998,1052
"ken",1999,331400
"ken",2000,771
"ken",2001,783
"ken",2002,0
"ken",2003,0
"ken",2004,149
"ken",2005,1698
"ken",2006,771
"ken",2007,0
"ken",2008,43
"rwa",1970,0
"rwa",1971,0
"rwa",1972,0
"rwa",1974,0
"rwa",1975,0
"rwa",1976,0
"rwa",1977,0
"rwa",1978,2017
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,0
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,0
"rwa",1990,0
"rwa",1991,246
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,116
"rwa",1997,0
"rwa",1998,3006
"rwa",1999,564
"rwa",2000,174
"rwa",2001,0
"rwa",2002,719
"rwa",2003,0
"rwa",2004,544
"rwa",2005,0
"rwa",2006,335
"rwa",2007,0
"rwa",2008,0
"tza",1970,0
"tza",1971,0
"tza",1972,0
"tza",1974,0
"tza",1975,0
"tza",1976,0
"tza",1977,6550
"tza",1978,0
"tza",1979,0
"tza",1980,12
"tza",1981,0
"tza",1982,0
"tza",1983,163
"tza",1984,0
"tza",1985,128
"tza",1986,0
"tza",1987,590
"tza",1988,0
"tza",1989,0
"tza",1990,200
"tza",1991,2307
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,0
"tza",1997,44680
"tza",1998,43140
"tza",1999,585
"tza",2000,935
"tza",2001,540
"tza",2002,158
"tza",2003,0
"tza",2004,0
"tza",2005,582
"tza",2006,1480
"tza",2007,403
"tza",2008,0
"uga",1970,0
"uga",1971,0
"uga",1972,0
"uga",1974,0
"uga",1975,0
"uga",1976,0
"uga",1977,0
"uga",1978,0
"uga",1979,0
"uga",1980,0
"uga",1981,0
"uga",1982,156
"uga",1983,0
"uga",1984,0
"uga",1985,0
"uga",1986,367
"uga",1987,0
"uga",1988,0
"uga",1989,1117
"uga",1990,1367
"uga",1991,100
"uga",1992,50
"uga",1993,0
"uga",1994,0
"uga",1995,0
"uga",1996,20
"uga",1997,100300
"uga",1998,630
"uga",1999,2342
"uga",2000,982
"uga",2001,23
"uga",2002,0
"uga",2003,277
"uga",2004,56
"uga",2005,747
"uga",2006,4795
"uga",2007,3809
"uga",2008,416
