"geo","time","epidemic_deaths_annual_number"
"bdi",1970,0
"bdi",1971,0
"bdi",1972,0
"bdi",1974,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,54
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,220
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,0
"bdi",1997,21
"bdi",1998,0
"bdi",1999,80
"bdi",2000,308
"bdi",2001,0
"bdi",2002,87
"bdi",2003,6
"bdi",2004,0
"bdi",2005,0
"bdi",2006,0
"bdi",2007,0
"bdi",2008,0
"cod",1970,0
"cod",1971,0
"cod",1972,0
"cod",1974,0
"cod",1975,0
"cod",1976,245
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,498
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,500
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,233
"cod",1996,202
"cod",1997,54
"cod",1998,1002
"cod",1999,3
"cod",2000,26
"cod",2001,838
"cod",2002,2502
"cod",2003,786
"cod",2004,706
"cod",2005,101
"cod",2006,151
"cod",2007,172
"cod",2008,0
"ken",1970,0
"ken",1971,0
"ken",1972,0
"ken",1974,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,26
"ken",1992,0
"ken",1993,0
"ken",1994,1000
"ken",1995,0
"ken",1996,0
"ken",1997,1232
"ken",1998,27
"ken",1999,1814
"ken",2000,50
"ken",2001,40
"ken",2002,0
"ken",2003,0
"ken",2004,8
"ken",2005,53
"ken",2006,183
"ken",2007,0
"ken",2008,43
"rwa",1970,0
"rwa",1971,0
"rwa",1972,0
"rwa",1974,0
"rwa",1975,0
"rwa",1976,0
"rwa",1977,0
"rwa",1978,17
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,0
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,0
"rwa",1990,0
"rwa",1991,32
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,10
"rwa",1997,0
"rwa",1998,55
"rwa",1999,76
"rwa",2000,10
"rwa",2001,0
"rwa",2002,83
"rwa",2003,0
"rwa",2004,4
"rwa",2005,0
"rwa",2006,35
"rwa",2007,0
"rwa",2008,0
"tza",1970,0
"tza",1971,0
"tza",1972,0
"tza",1974,0
"tza",1975,0
"tza",1976,0
"tza",1977,500
"tza",1978,0
"tza",1979,0
"tza",1980,12
"tza",1981,0
"tza",1982,0
"tza",1983,163
"tza",1984,0
"tza",1985,10
"tza",1986,0
"tza",1987,90
"tza",1988,0
"tza",1989,0
"tza",1990,200
"tza",1991,574
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,0
"tza",1997,2329
"tza",1998,2461
"tza",1999,56
"tza",2000,37
"tza",2001,25
"tza",2002,9
"tza",2003,0
"tza",2004,0
"tza",2005,6
"tza",2006,70
"tza",2007,119
"tza",2008,0
"uga",1970,0
"uga",1971,0
"uga",1972,0
"uga",1974,0
"uga",1975,0
"uga",1976,0
"uga",1977,0
"uga",1978,0
"uga",1979,0
"uga",1980,0
"uga",1981,0
"uga",1982,3
"uga",1983,0
"uga",1984,0
"uga",1985,0
"uga",1986,27
"uga",1987,0
"uga",1988,0
"uga",1989,156
"uga",1990,197
"uga",1991,100
"uga",1992,50
"uga",1993,0
"uga",1994,0
"uga",1995,0
"uga",1996,20
"uga",1997,0
"uga",1998,30
"uga",1999,137
"uga",2000,259
"uga",2001,14
"uga",2002,0
"uga",2003,35
"uga",2004,3
"uga",2005,21
"uga",2006,192
"uga",2007,103
"uga",2008,28
