"geo","time","expenditure_per_student_primary_percent_of_gdp_per_person"
"bdi",1999,11.9839
"bdi",2000,9.07708
"bdi",2001,10.16464
"bdi",2002,10.62733
"bdi",2004,14.06922
"bdi",2005,13.40527
"bdi",2008,13.77793
"bdi",2009,16.42894
"bdi",2011,13.11257
"bdi",2012,12.04901
"bdi",2013,11.64867
"cod",2010,3.26016
"cod",2013,7.8251
"ken",2000,21.46339
"ken",2001,21.0174
"ken",2003,23.36612
"ken",2004,24.31682
"ken",2006,22.53735
"ken",2012,9.93711
"ken",2014,10.47054
"ken",2015,10.79306
"rwa",2000,11.06005
"rwa",2005,8.56934
"rwa",2007,8.62041
"rwa",2008,7.54268
"rwa",2010,7.78788
"rwa",2011,6.48113
"rwa",2012,7.46393
"rwa",2013,6.71024
"rwa",2016,5.60691
"ssd",2011,3.62797
"ssd",2016,6.14181
"tza",2004,14.63584
"tza",2005,12.72714
"tza",2006,8.28672
"tza",2007,9.43106
"tza",2008,9.11879
"tza",2009,8.43571
"tza",2014,10.23119
"uga",2004,10.57331
"uga",2010,4.41904
"uga",2011,7.2331
"uga",2012,6.0663
"uga",2013,5.42563
"uga",2014,5.91046
