"geo","time","expenditure_per_student_tertiary_percent_of_gdp_per_person"
"bdi",1999,1035.34949
"bdi",2000,743.49585
"bdi",2001,840.51764
"bdi",2002,478.91589
"bdi",2004,313.11145
"bdi",2005,243.97241
"bdi",2008,413.89529
"bdi",2009,405.19397
"bdi",2011,329.44171
"bdi",2012,302.48148
"bdi",2013,280.64453
"cod",2013,79.33708
"ken",2000,208.82741
"ken",2001,226.44513
"ken",2004,276.26208
"rwa",2000,1217.1272
"rwa",2005,317.61035
"rwa",2007,248.25539
"rwa",2008,204.01237
"rwa",2010,176.76086
"rwa",2011,119.219
"rwa",2012,91.32976
"rwa",2013,97.33578
"rwa",2016,8.45604
"tza",2004,730.22803
"tza",2005,720.43396
"tza",2007,747.1698
"tza",2010,666.5755
"uga",2004,177.12671
"uga",2009,88.59065
"uga",2010,86.31258
"uga",2011,77.69248
"uga",2012,95.86086
