"geo","time","exports_percent_of_gdp"
"bdi",1960,12.5
"bdi",1961,12.93103
"bdi",1962,13.11475
"bdi",1963,7.5188
"bdi",1964,14.09396
"bdi",1965,10.34796
"bdi",1966,10.77616
"bdi",1967,10.80059
"bdi",1968,10.2957
"bdi",1969,9.65872
"bdi",1970,10.68878
"bdi",1971,8.43575
"bdi",1972,11.73444
"bdi",1973,11.01617
"bdi",1974,9.7534
"bdi",1975,8.27565
"bdi",1976,13.72648
"bdi",1977,17.59561
"bdi",1978,11.70769
"bdi",1979,14.16264
"bdi",1980,8.80938
"bdi",1981,9.14335
"bdi",1982,10.21197
"bdi",1983,9.04558
"bdi",1984,11.50401
"bdi",1985,11.02662
"bdi",1986,11.72323
"bdi",1987,9.7449
"bdi",1988,12.59077
"bdi",1989,9.74574
"bdi",1990,7.87299
"bdi",1991,9.91738
"bdi",1992,8.74918
"bdi",1993,9.38196
"bdi",1994,10.27177
"bdi",1995,12.92634
"bdi",1996,5.82032
"bdi",1997,9.83547
"bdi",1998,7.99975
"bdi",1999,7.57576
"bdi",2000,6.31897
"bdi",2001,5.1792
"bdi",2002,4.6858
"bdi",2003,6.38141
"bdi",2004,6.95275
"bdi",2005,8.2025
"bdi",2006,7.28205
"bdi",2007,7.25847
"bdi",2008,9.49176
"bdi",2009,6.80236
"bdi",2010,8.91664
"bdi",2011,9.35371
"bdi",2012,8.95013
"bdi",2013,7.39582
"bdi",2014,7.76818
"bdi",2015,6.25262
"bdi",2016,6.24095
"cod",1960,18.91612
"cod",1961,9.85781
"cod",1962,7.74946
"cod",1963,31.79653
"cod",1964,33.50286
"cod",1965,25.92306
"cod",1966,31.11946
"cod",1967,15.55094
"cod",1968,14.51582
"cod",1969,13.18203
"cod",1970,15.45996
"cod",1971,12.1388
"cod",1972,11.2511
"cod",1973,13.44158
"cod",1974,16.18111
"cod",1975,9.96313
"cod",1976,12.15318
"cod",1977,10.32819
"cod",1978,12.34875
"cod",1979,12.6488
"cod",1980,16.47847
"cod",1981,14.1409
"cod",1982,12.14959
"cod",1983,16.23824
"cod",1984,26.01301
"cod",1985,27.51107
"cod",1986,24.71098
"cod",1987,25.98136
"cod",1988,25.499
"cod",1989,25.48974
"cod",1990,29.5038
"cod",1991,20
"cod",1992,16.38418
"cod",1993,11.32987
"cod",1994,22.62529
"cod",1995,28.48229
"cod",1996,30.00276
"cod",1997,18.75
"cod",1998,29.79009
"cod",1999,23.63567
"cod",2000,11.44961
"cod",2001,11.98768
"cod",2002,15.67134
"cod",2003,24.00044
"cod",2004,22.72951
"cod",2005,22.94418
"cod",2006,21.7001
"cod",2007,39.07191
"cod",2008,39.0278
"cod",2009,26.81379
"cod",2010,41.11115
"cod",2011,39.51562
"cod",2012,30.80301
"cod",2013,36.44586
"cod",2014,36.83219
"cod",2015,27.72557
"cod",2016,27.21898
"cod",2017,35.60336
"ken",1960,31.09575
"ken",1961,32.71717
"ken",1962,32.03781
"ken",1963,32.03295
"ken",1964,33.38941
"ken",1965,31.39732
"ken",1966,32.41163
"ken",1967,28.46433
"ken",1968,29.40081
"ken",1969,29.52866
"ken",1970,29.82573
"ken",1971,28.63936
"ken",1972,26.58783
"ken",1973,27.39383
"ken",1974,33.67588
"ken",1975,29.82369
"ken",1976,32.45047
"ken",1977,34.95887
"ken",1978,28.93552
"ken",1979,25.75315
"ken",1980,29.51696
"ken",1981,30.45988
"ken",1982,26.65747
"ken",1983,25.94993
"ken",1984,26.74989
"ken",1985,25.29893
"ken",1986,25.84836
"ken",1987,21.30522
"ken",1988,22.37121
"ken",1989,23.03303
"ken",1990,25.69261
"ken",1991,27.04163
"ken",1992,26.26037
"ken",1993,38.90363
"ken",1994,37.04028
"ken",1995,32.5917
"ken",1996,25.2006
"ken",1997,22.68639
"ken",1998,20.16926
"ken",1999,20.83274
"ken",2000,21.58757
"ken",2001,22.93158
"ken",2002,24.89797
"ken",2003,24.08682
"ken",2004,26.61026
"ken",2005,28.50903
"ken",2006,22.98494
"ken",2007,21.91899
"ken",2008,22.67406
"ken",2009,20.03263
"ken",2010,20.65698
"ken",2011,21.62519
"ken",2012,22.26182
"ken",2013,19.92539
"ken",2014,18.29698
"ken",2015,16.59244
"ken",2016,13.97122
"ken",2017,13.93121
"rwa",1960,12.43697
"rwa",1961,11.47541
"rwa",1962,9.28
"rwa",1963,5.9375
"rwa",1964,12
"rwa",1965,12.09678
"rwa",1966,11.27937
"rwa",1967,10.51203
"rwa",1968,8.73984
"rwa",1969,7.67885
"rwa",1970,11.50523
"rwa",1971,10.21143
"rwa",1972,8.28194
"rwa",1973,11.59836
"rwa",1974,12.16876
"rwa",1975,9.17188
"rwa",1976,14.57895
"rwa",1977,14.26777
"rwa",1978,14.781
"rwa",1979,21.04606
"rwa",1980,14.43652
"rwa",1981,9.82551
"rwa",1982,11.55256
"rwa",1983,11.58177
"rwa",1984,12.63143
"rwa",1985,10.78251
"rwa",1986,12.58432
"rwa",1987,7.45005
"rwa",1988,6.61956
"rwa",1989,6.13929
"rwa",1990,5.61461
"rwa",1991,7.3166
"rwa",1992,5.56841
"rwa",1993,5.17525
"rwa",1994,6.30259
"rwa",1995,5.15079
"rwa",1996,6.03137
"rwa",1997,7.79734
"rwa",1998,5.58506
"rwa",1999,6.26039
"rwa",2000,6.31981
"rwa",2001,8.46831
"rwa",2002,7.04118
"rwa",2003,8.45263
"rwa",2004,11.12327
"rwa",2005,11.42612
"rwa",2006,12.14994
"rwa",2007,15.66466
"rwa",2008,12.54915
"rwa",2009,11.7338
"rwa",2010,12.03931
"rwa",2011,13.64542
"rwa",2012,12.78688
"rwa",2013,14.09042
"rwa",2014,14.72211
"rwa",2015,14.24274
"rwa",2016,14.92695
"rwa",2017,18.243
"ssd",2011,71.10982
"ssd",2012,9.31492
"ssd",2013,28.04828
"ssd",2014,34.00907
"ssd",2015,21.03316
"ssd",2016,54.94937
"tza",1990,12.62115
"tza",1991,10.26206
"tza",1992,12.44184
"tza",1993,17.98311
"tza",1994,20.61398
"tza",1995,24.07472
"tza",1996,19.93716
"tza",1997,16.21811
"tza",1998,12.39773
"tza",1999,12.52966
"tza",2000,13.36491
"tza",2001,17.00656
"tza",2002,17.58075
"tza",2003,18.5626
"tza",2004,19.65128
"tza",2005,16.91431
"tza",2006,17.10083
"tza",2007,18.91912
"tza",2008,18.64867
"tza",2009,17.37385
"tza",2010,18.74641
"tza",2011,20.75642
"tza",2012,21.28531
"tza",2013,17.65123
"tza",2014,19.41418
"tza",2015,21.62352
"tza",2016,19.59231
"uga",1960,27.32945
"uga",1961,24.41823
"uga",1962,24.10741
"uga",1963,28.29094
"uga",1964,29.89786
"uga",1965,25.57771
"uga",1966,25.56732
"uga",1967,25.30033
"uga",1968,23.94062
"uga",1969,21.52869
"uga",1970,23.35223
"uga",1971,19.81626
"uga",1972,19.38967
"uga",1973,16.5515
"uga",1974,14.71947
"uga",1975,8.6504
"uga",1976,11.38806
"uga",1977,9.15264
"uga",1978,13.65286
"uga",1979,19.40136
"uga",1980,19.44384
"uga",1981,16.07717
"uga",1982,8.38117
"uga",1983,8.65943
"uga",1984,12.69242
"uga",1985,13.73852
"uga",1986,12.81011
"uga",1987,8.2471
"uga",1988,7.57267
"uga",1989,7.9544
"uga",1990,7.24072
"uga",1991,7.46443
"uga",1992,8.76109
"uga",1993,7.06252
"uga",1994,8.74053
"uga",1995,11.79199
"uga",1996,11.96111
"uga",1997,13.35951
"uga",1998,9.63905
"uga",1999,12.25157
"uga",2000,10.65141
"uga",2001,11.51808
"uga",2002,11.21328
"uga",2003,11.38672
"uga",2004,12.69688
"uga",2005,14.1797
"uga",2006,15.27541
"uga",2007,16.72507
"uga",2008,24.28014
"uga",2009,17.26798
"uga",2010,17.1318
"uga",2011,19.01757
"uga",2012,20.21672
"uga",2013,20.29803
"uga",2014,18.17026
"uga",2015,18.4443
"uga",2016,18.58152
"uga",2017,18.5117
