"geo","time","exports_unit_value_index_2000100"
"bdi",1980,130.71845
"bdi",1981,149.75421
"bdi",1982,175.45374
"bdi",1983,159.85383
"bdi",1984,205.41474
"bdi",1985,224.37214
"bdi",1986,307.14456
"bdi",1987,179.41095
"bdi",1988,265.4115
"bdi",1989,155.77048
"bdi",1990,149.58729
"bdi",1991,181.47221
"bdi",1992,145.8146
"bdi",1993,123.76001
"bdi",1994,241.55234
"bdi",1995,211.19612
"bdi",1996,79.7256
"bdi",1997,173.01585
"bdi",1998,129.0756
"bdi",1999,108.62009
"bdi",2000,100
"bdi",2001,77.00504
"bdi",2002,59.97277
"bdi",2003,75.3218
"bdi",2004,93.77143
"bdi",2005,115.95935
"bdi",2006,116.5151
"bdi",2007,117.6186
"bdi",2008,114.82787
"bdi",2009,134.72284
"bdi",2010,202.29416
"bdi",2011,246.87992
"bdi",2012,266.88483
"bdi",2013,188.34206
"bdi",2014,263.8802
"bdi",2015,241.12837
"bdi",2016,218.55108
"cod",1980,298.55263
"cod",1981,220.78947
"cod",1982,210.65789
"cod",1983,221.84211
"cod",1984,253.68421
"cod",1985,243.81579
"cod",1986,242.63158
"cod",1987,238.55263
"cod",1988,323.68421
"cod",1989,318.02632
"cod",1990,306.05263
"cod",1991,216.97368
"cod",1992,163.94737
"cod",1993,150.52632
"cod",1994,165.26316
"cod",1995,193.77635
"cod",1996,191.79271
"cod",1997,179.64295
"cod",1998,176.29556
"cod",1999,100.29755
"cod",2000,100
"cod",2001,109.14952
"cod",2002,140.35457
"cod",2003,170.80337
"cod",2004,237.68907
"cod",2005,297.89239
"cod",2006,335.3211
"cod",2007,384.32928
"cod",2008,545.49963
"cod",2009,433.92016
"cod",2010,657.0791
"cod",2011,818.24944
"cod",2012,781.05629
"cod",2013,781.05629
"cod",2014,818.24944
"cod",2015,719.06769
"cod",2016,685.08051
"ken",1980,71.81844
"ken",1981,65.66526
"ken",1982,59.09972
"ken",1983,50.12642
"ken",1984,61.9534
"ken",1985,55.224
"ken",1986,69.18161
"ken",1987,55.40296
"ken",1988,61.53469
"ken",1989,54.85282
"ken",1990,59.52592
"ken",1991,63.8918
"ken",1992,77.24148
"ken",1993,79.26582
"ken",1994,91.52085
"ken",1995,108.34247
"ken",1996,119.24102
"ken",1997,118.44166
"ken",1998,115.82906
"ken",1999,100.76763
"ken",2000,100
"ken",2001,112.11719
"ken",2002,122.05144
"ken",2003,139.06338
"ken",2004,154.79497
"ken",2005,197.2375
"ken",2006,201.95259
"ken",2007,235.35383
"ken",2008,288.422
"ken",2009,257.42217
"ken",2010,298.12054
"ken",2011,331.9414
"ken",2012,353.36928
"ken",2013,337.70771
"ken",2014,352.6703
"ken",2015,340.6353
"ken",2016,328.41851
"rwa",1980,229.91465
"rwa",1981,222.38306
"rwa",1982,196.4049
"rwa",1983,226.35961
"rwa",1984,275.82702
"rwa",1985,250.77385
"rwa",1986,360.46536
"rwa",1987,215.7822
"rwa",1988,206.72102
"rwa",1989,181.54179
"rwa",1990,207.88633
"rwa",1991,177.25704
"rwa",1992,125.52119
"rwa",1993,124.64883
"rwa",1994,54.62299
"rwa",1995,97.89647
"rwa",1996,114.05324
"rwa",1997,163.92975
"rwa",1998,113.30571
"rwa",1999,114.13663
"rwa",2000,100
"rwa",2001,162.26017
"rwa",2002,122.6385
"rwa",2003,118.86501
"rwa",2004,185.20112
"rwa",2005,235.12631
"rwa",2006,277.91771
"rwa",2007,333.52012
"rwa",2008,505.02535
"rwa",2009,443.38535
"rwa",2010,560.8919
"rwa",2011,875.82757
"rwa",2012,1114.68964
"rwa",2013,1326.38256
"rwa",2014,1364.30616
"rwa",2015,1289.96836
"rwa",2016,1404.49385
"tza",1980,77.0965
"tza",1981,85.62712
"tza",1982,67.6448
"tza",1983,56.14164
"tza",1984,44.9533
"tza",1985,37.16239
"tza",1986,54.43892
"tza",1987,43.63566
"tza",1988,41.53686
"tza",1989,54.98006
"tza",1990,49.90765
"tza",1991,51.62032
"tza",1992,62.78333
"tza",1993,67.86086
"tza",1994,78.3092
"tza",1995,92.92735
"tza",1996,106.89573
"tza",1997,102.58253
"tza",1998,80.30326
"tza",1999,74.01785
"tza",2000,100
"tza",2001,116.02835
"tza",2002,133.51506
"tza",2003,165.74894
"tza",2004,201.59466
"tza",2005,228.85375
"tza",2006,261.36023
"tza",2007,303.47553
"tza",2008,425.38899
"tza",2009,406.48835
"tza",2010,552.07115
"tza",2011,645.35369
"tza",2012,756.06229
"tza",2013,621.30707
"tza",2014,630.70737
"tza",2015,672.08668
"tza",2016,704.86575
"uga",1980,74.92358
"uga",1981,52.81754
"uga",1982,75.84513
"uga",1983,80.87627
"uga",1984,86.60303
"uga",1985,84.04998
"uga",1986,94.65603
"uga",1987,69.38952
"uga",1988,60.91746
"uga",1989,59.41631
"uga",1990,33.10812
"uga",1991,43.35854
"uga",1992,31.13664
"uga",1993,38.82554
"uga",1994,88.78567
"uga",1995,114.19379
"uga",1996,145.72121
"uga",1997,137.77729
"uga",1998,124.37193
"uga",1999,128.84039
"uga",2000,100
"uga",2001,111.84214
"uga",2002,116.02586
"uga",2003,131.9683
"uga",2004,162.24008
"uga",2005,201.77795
"uga",2006,238.86189
"uga",2007,331.82432
"uga",2008,428.05171
"uga",2009,389.15606
"uga",2010,401.81394
"uga",2011,535.98519
"uga",2012,585.24145
"uga",2013,597.71389
"uga",2014,561.52662
"uga",2015,562.77878
"uga",2016,631.33478
