"geo","time","external_debt_total_us_not_inflation_adjusted"
"bdi",1970,14970000
"bdi",1971,13628000
"bdi",1972,6895000
"bdi",1973,7780000
"bdi",1974,9438000
"bdi",1975,19380000
"bdi",1976,22364000
"bdi",1977,47222000
"bdi",1978,74680000
"bdi",1979,136188000
"bdi",1980,165720000
"bdi",1981,178613000
"bdi",1982,227433000
"bdi",1983,307725000
"bdi",1984,348005000
"bdi",1985,455098000
"bdi",1986,570431000
"bdi",1987,769580000
"bdi",1988,800692000
"bdi",1989,888847000
"bdi",1990,906937000
"bdi",1991,963470000
"bdi",1992,1026584000
"bdi",1993,1065650000
"bdi",1994,1127405000
"bdi",1995,1161955000
"bdi",1996,1130743000
"bdi",1997,1068958000
"bdi",1998,1121832000
"bdi",1999,1153730000
"bdi",2000,1125866000
"bdi",2001,1093541000
"bdi",2002,1232211000
"bdi",2003,1348343000
"bdi",2004,1357933000
"bdi",2005,1287890000
"bdi",2006,1371906000
"bdi",2007,1409727000
"bdi",2008,1390284000
"bdi",2009,607228000
"bdi",2010,620920000
"bdi",2011,604411000
"bdi",2012,667316000
"bdi",2013,683609000
"bdi",2014,690170000
"bdi",2015,625980000
"bdi",2016,632780000
"cod",1970,345218000
"cod",1971,410052000
"cod",1972,676590000
"cod",1973,1046503000
"cod",1974,1538496000
"cod",1975,2038616000
"cod",1976,2918442000
"cod",1977,3661972000
"cod",1978,4491698000
"cod",1979,4527131000
"cod",1980,4770690000
"cod",1981,5090777000
"cod",1982,5078793000
"cod",1983,5335732000
"cod",1984,5289769000
"cod",1985,6171264000
"cod",1986,7190747000
"cod",1987,8757682000
"cod",1988,8562157000
"cod",1989,9251497000
"cod",1990,10258588000
"cod",1991,10840413000
"cod",1992,11004125000
"cod",1993,11273324000
"cod",1994,12321601000
"cod",1995,13239366000
"cod",1996,12830258000
"cod",1997,12337528000
"cod",1998,13202856000
"cod",1999,12166588000
"cod",2000,11815383000
"cod",2001,11623275000
"cod",2002,10062785000
"cod",2003,11444750000
"cod",2004,11535208000
"cod",2005,10694719000
"cod",2006,11336903000
"cod",2007,12469708000
"cod",2008,12306290000
"cod",2009,13102291000
"cod",2010,6145384000
"cod",2011,5507620000
"cod",2012,5623972000
"cod",2013,6177066000
"cod",2014,5522884000
"cod",2015,5388168000
"cod",2016,5076936000
"ken",1970,477531000
"ken",1971,497896000
"ken",1972,581162000
"ken",1973,844708000
"ken",1974,1152689000
"ken",1975,1290223000
