"geo","time","extreme_poverty_percent_people_below_190_a_day"
"bdi",1992,81.1
"bdi",1998,84.1
"bdi",2006,77.7
"bdi",2013,71.7
"cod",2004,94.1
"cod",2012,77.1
"ken",1992,31.4
"ken",1994,31.5
"ken",1997,31.9
"ken",2005,43.7
"ken",2015,36.8
"rwa",1984,60.8
"rwa",2000,76.5
"rwa",2005,67.2
"rwa",2010,62.4
"rwa",2013,56
"ssd",2009,42.7
"tza",1991,72.1
"tza",2000,86
"tza",2007,59.9
"tza",2011,49.1
"uga",1989,56.8
"uga",1992,62.9
"uga",1996,61.3
"uga",1999,66
"uga",2002,64.1
"uga",2005,55.4
"uga",2009,43.5
"uga",2012,35.9
"uga",2016,41.6
