"geo","time","falls_deaths_per_100000_people"
"bdi",1990,28.41
"bdi",1991,28.33
"bdi",1992,28.28
"bdi",1993,28.22
"bdi",1994,28.17
"bdi",1995,28.17
"bdi",1996,27.98
"bdi",1997,27.43
"bdi",1998,26.94
"bdi",1999,26.02
"bdi",2000,25.48
"bdi",2001,24.35
"bdi",2002,23.75
"bdi",2003,23.28
"bdi",2004,23.08
"bdi",2005,22.86
"bdi",2006,22.5
"bdi",2007,22.13
"bdi",2008,21.87
"bdi",2009,21.62
"bdi",2010,21.68
"bdi",2011,21.82
"bdi",2012,21.89
"bdi",2013,21.88
"bdi",2014,21.88
"bdi",2015,21.8
"bdi",2016,21.68
"cod",1990,13.82
"cod",1991,13.82
"cod",1992,13.74
"cod",1993,13.49
"cod",1994,13.46
"cod",1995,13.49
"cod",1996,13.98
"cod",1997,13.16
"cod",1998,13.12
"cod",1999,12.78
"cod",2000,12.64
"cod",2001,12.75
"cod",2002,12.48
"cod",2003,12.6
"cod",2004,12.32
"cod",2005,12.12
"cod",2006,12.09
"cod",2007,12.11
"cod",2008,12.14
"cod",2009,12.05
"cod",2010,11.98
"cod",2011,12.02
"cod",2012,12.13
"cod",2013,12.12
"cod",2014,12.12
"cod",2015,12.15
"cod",2016,12.13
"ken",1990,15.45
"ken",1991,15.68
"ken",1992,16.05
"ken",1993,16.28
"ken",1994,16.47
"ken",1995,16.5
"ken",1996,16.51
"ken",1997,16.64
"ken",1998,16.73
"ken",1999,16.41
"ken",2000,16.42
"ken",2001,16.16
"ken",2002,16.17
"ken",2003,16.26
"ken",2004,16.04
"ken",2005,15.77
"ken",2006,15.52
"ken",2007,15.46
"ken",2008,15.42
"ken",2009,15.36
"ken",2010,15.35
"ken",2011,15.46
"ken",2012,15.42
"ken",2013,15.37
"ken",2014,15.37
"ken",2015,15.36
"ken",2016,16
"rwa",1990,24.88
"rwa",1991,25.47
"rwa",1992,25.55
"rwa",1993,25.54
"rwa",1994,25.51
"rwa",1995,25.5
"rwa",1996,25.42
"rwa",1997,25.33
"rwa",1998,25.08
"rwa",1999,24.32
"rwa",2000,23.39
"rwa",2001,22.42
"rwa",2002,21.71
"rwa",2003,21.17
"rwa",2004,20.79
"rwa",2005,20.31
"rwa",2006,20.2
"rwa",2007,19.98
"rwa",2008,19.87
"rwa",2009,19.86
"rwa",2010,19.87
"rwa",2011,19.77
"rwa",2012,19.63
"rwa",2013,19.65
"rwa",2014,19.65
"rwa",2015,19.67
"rwa",2016,19.72
"ssd",1990,18.56
"ssd",1991,18.53
"ssd",1992,18.95
"ssd",1993,19.45
"ssd",1994,19.88
"ssd",1995,20.19
"ssd",1996,20.45
"ssd",1997,20.35
"ssd",1998,20.41
"ssd",1999,20.23
"ssd",2000,19.9
"ssd",2001,19.24
"ssd",2002,18.74
"ssd",2003,18.64
"ssd",2004,18.74
"ssd",2005,18.95
"ssd",2006,19.21
"ssd",2007,19.31
"ssd",2008,19.21
"ssd",2009,19.03
"ssd",2010,18.7
"ssd",2011,18.48
"ssd",2012,18.59
"ssd",2013,18.71
"ssd",2014,18.86
"ssd",2015,18.98
"ssd",2016,19.09
"tza",1990,21.25
"tza",1991,21.09
"tza",1992,21.21
"tza",1993,21.19
"tza",1994,21.43
"tza",1995,21.29
"tza",1996,21.24
"tza",1997,21.24
"tza",1998,21.35
"tza",1999,21.2
"tza",2000,20.72
"tza",2001,20.89
"tza",2002,20.34
"tza",2003,20.32
"tza",2004,20.15
"tza",2005,20.2
"tza",2006,20.22
"tza",2007,20.23
"tza",2008,20.21
"tza",2009,20.25
"tza",2010,20.22
"tza",2011,20.27
"tza",2012,20.36
"tza",2013,20.6
"tza",2014,20.61
"tza",2015,20.65
"tza",2016,20.66
"uga",1990,23.17
"uga",1991,23.45
"uga",1992,23.3
"uga",1993,23.25
"uga",1994,23.25
"uga",1995,22.97
"uga",1996,22.84
"uga",1997,22.46
"uga",1998,22.37
"uga",1999,22.27
"uga",2000,22.27
"uga",2001,22.25
"uga",2002,21.99
"uga",2003,21.79
"uga",2004,21.67
"uga",2005,21.61
"uga",2006,21.69
"uga",2007,21.63
"uga",2008,21.49
"uga",2009,21.4
"uga",2010,21.25
"uga",2011,21.32
"uga",2012,21.35
"uga",2013,21.56
"uga",2014,21.54
"uga",2015,21.36
"uga",2016,21.29
