"geo","time","female_agriculture_workers_percent_of_female_employment"
"bdi",1991,96.434
"bdi",1992,96.626
"bdi",1993,96.782
"bdi",1994,96.689
"bdi",1995,96.825
"bdi",1996,97.055
"bdi",1997,96.867
"bdi",1998,96.756
"bdi",1999,96.819
"bdi",2000,96.833
"bdi",2001,96.749
"bdi",2002,96.707
"bdi",2003,96.703
"bdi",2004,96.638
"bdi",2005,96.565
"bdi",2006,96.59
"bdi",2007,96.36
"bdi",2008,96.459
"bdi",2009,96.44
"bdi",2010,96.313
"bdi",2011,96.377
"bdi",2012,96.339
"bdi",2013,96.251
"bdi",2014,96.208
"bdi",2015,96.478
"bdi",2016,96.397
"bdi",2017,96.456
"bdi",2018,96.478
"bdi",2019,96.457
"bdi",2020,96.423
"bdi",2021,96.386
"bdi",2022,96.341
"cod",1991,90.707
"cod",1992,91.075
"cod",1993,91.059
"cod",1994,91.449
"cod",1995,91.227
"cod",1996,88.926
"cod",1997,90.494
"cod",1998,90.489
"cod",1999,91.147
"cod",2000,89.006
"cod",2001,86.255
"cod",2002,85.254
"cod",2003,86.083
"cod",2004,86.056
"cod",2005,85.522
"cod",2006,85.283
"cod",2007,85.191
"cod",2008,84.712
"cod",2009,84.584
"cod",2010,85.547
"cod",2011,85.774
"cod",2012,85.46
"cod",2013,85.425
"cod",2014,85.858
"cod",2015,86.255
"cod",2016,86.396
"cod",2017,86.92
"cod",2018,86.957
"cod",2019,86.974
"cod",2020,86.832
"cod",2021,86.684
"cod",2022,86.582
"ken",1991,55.42
"ken",1992,55.746
"ken",1993,56.277
"ken",1994,56.597
"ken",1995,55.54
"ken",1996,55.108
"ken",1997,55.276
"ken",1998,54.966
"ken",1999,55.258
"ken",2000,55.79
"ken",2001,54.956
"ken",2002,54.166
"ken",2003,53.502
"ken",2004,52.155
"ken",2005,50.842
"ken",2006,48.407
"ken",2007,47.507
"ken",2008,48.711
"ken",2009,48.803
"ken",2010,48.434
"ken",2011,48.129
"ken",2012,47.685
"ken",2013,46.942
"ken",2014,46.703
"ken",2015,47
"ken",2016,47.336
"ken",2017,47.179
"ken",2018,46.364
"ken",2019,45.48
"ken",2020,44.647
"ken",2021,43.734
"ken",2022,42.872
"rwa",1991,93.98
"rwa",1992,93.561
"rwa",1993,93.731
"rwa",1994,95.314
"rwa",1995,94.597
"rwa",1996,94.308
"rwa",1997,94.081
"rwa",1998,94.087
"rwa",1999,93.977
"rwa",2000,93.878
"rwa",2001,93.694
"rwa",2002,93.228
"rwa",2003,92.952
"rwa",2004,92.53
"rwa",2005,91.926
"rwa",2006,91.281
"rwa",2007,90.543
"rwa",2008,89.67
"rwa",2009,89.001
"rwa",2010,88.09
"rwa",2011,87.151
"rwa",2012,85.947
"rwa",2013,83.04
"rwa",2014,78.416
"rwa",2015,77.424
"rwa",2016,77.071
"rwa",2017,76.66
"rwa",2018,75.924
"rwa",2019,75.129
"rwa",2020,74.284
"rwa",2021,73.393
"rwa",2022,72.474
"ssd",1991,62.114
"ssd",1992,62.438
"ssd",1993,62.294
"ssd",1994,62.408
"ssd",1995,61.761
"ssd",1996,61.543
"ssd",1997,61.145
"ssd",1998,57.754
"ssd",1999,57.527
"ssd",2000,57.42
"ssd",2001,57.09
"ssd",2002,56.614
"ssd",2003,56.679
"ssd",2004,56.174
"ssd",2005,55.833
"ssd",2006,55.556
"ssd",2007,55.113
"ssd",2008,54.846
"ssd",2009,52.894
"ssd",2010,53.484
"ssd",2011,56.055
"ssd",2012,63.084
"ssd",2013,58.4
"ssd",2014,59.816
"ssd",2015,60.085
"ssd",2016,62.035
"ssd",2017,61.814
"ssd",2018,62.357
"ssd",2019,62.408
"ssd",2020,62.181
"ssd",2021,61.887
"ssd",2022,62.118
"tza",1991,80.794
"tza",1992,81.008
"tza",1993,80.863
"tza",1994,81.159
"tza",1995,81.276
"tza",1996,81.447
"tza",1997,81.495
"tza",1998,80.992
"tza",1999,80.921
"tza",2000,80.668
"tza",2001,80.29
"tza",2002,79.924
"tza",2003,79.502
"tza",2004,79.031
"tza",2005,78.095
"tza",2006,78.02
"tza",2007,76.721
"tza",2008,76.652
"tza",2009,76.193
"tza",2010,75.413
"tza",2011,74.202
"tza",2012,73.535
"tza",2013,72.548
"tza",2014,70.858
"tza",2015,70.575
"tza",2016,70.267
"tza",2017,69.757
"tza",2018,69.019
"tza",2019,68.321
"tza",2020,67.568
"tza",2021,66.827
"tza",2022,66.11
"uga",1991,82.619
"uga",1992,82.288
"uga",1993,82.067
"uga",1994,81.73
"uga",1995,81.288
"uga",1996,80.151
"uga",1997,79.645
"uga",1998,79.404
"uga",1999,78.411
"uga",2000,77.521
"uga",2001,77.343
"uga",2002,76.106
"uga",2003,76.014
"uga",2004,78.71
"uga",2005,82.05
"uga",2006,80.643
"uga",2007,79.466
"uga",2008,78.045
"uga",2009,77.718
"uga",2010,75.364
"uga",2011,72.814
"uga",2012,71.241
"uga",2013,77.235
"uga",2014,76.904
"uga",2015,76.362
"uga",2016,75.759
"uga",2017,74.334
"uga",2018,73.696
"uga",2019,73.108
"uga",2020,72.443
"uga",2021,71.712
"uga",2022,71.37
