"geo","time","female_industry_workers_percent_of_female_employment"
"bdi",1991,0.692
"bdi",1992,0.556
"bdi",1993,0.589
"bdi",1994,0.615
"bdi",1995,0.608
"bdi",1996,0.578
"bdi",1997,0.701
"bdi",1998,0.691
"bdi",1999,0.709
"bdi",2000,0.701
"bdi",2001,0.709
"bdi",2002,0.705
"bdi",2003,0.754
"bdi",2004,0.772
"bdi",2005,0.87
"bdi",2006,0.786
"bdi",2007,0.85
"bdi",2008,0.778
"bdi",2009,0.793
"bdi",2010,0.826
"bdi",2011,0.779
"bdi",2012,0.761
"bdi",2013,0.766
"bdi",2014,0.775
"bdi",2015,0.717
"bdi",2016,0.748
"bdi",2017,0.798
"bdi",2018,0.813
"bdi",2019,0.812
"bdi",2020,0.811
"bdi",2021,0.81
"bdi",2022,0.807
"cod",1991,5.241
"cod",1992,5.319
"cod",1993,5.789
"cod",1994,5.585
"cod",1995,5.811
"cod",1996,8.181
"cod",1997,6.625
"cod",1998,6.627
"cod",1999,6.226
"cod",2000,8.234
"cod",2001,11.299
"cod",2002,12.153
"cod",2003,11.155
"cod",2004,11.121
"cod",2005,11.563
"cod",2006,11.742
"cod",2007,11.764
"cod",2008,12.354
"cod",2009,12.83
"cod",2010,10.47
"cod",2011,10.216
"cod",2012,10.485
"cod",2013,10.578
"cod",2014,10.599
"cod",2015,10.07
"cod",2016,9.865
"cod",2017,9.275
"cod",2018,9.213
"cod",2019,9.157
"cod",2020,9.247
"cod",2021,9.328
"cod",2022,9.349
"ken",1991,8.315
"ken",1992,7.853
"ken",1993,7.282
"ken",1994,7.527
"ken",1995,7.684
"ken",1996,8.557
"ken",1997,8.41
"ken",1998,8.321
"ken",1999,7.926
"ken",2000,8.525
"ken",2001,8.426
"ken",2002,8.431
"ken",2003,8.525
"ken",2004,8.592
"ken",2005,8.747
"ken",2006,9.73
"ken",2007,9.817
"ken",2008,9.428
"ken",2009,9.323
"ken",2010,8.959
"ken",2011,9.02
"ken",2012,8.737
"ken",2013,8.503
"ken",2014,8.309
"ken",2015,7.888
"ken",2016,7.491
"ken",2017,7.498
"ken",2018,7.432
"ken",2019,7.353
"ken",2020,7.282
"ken",2021,7.202
"ken",2022,7.139
"rwa",1991,0.723
"rwa",1992,0.702
"rwa",1993,0.71
"rwa",1994,0.963
"rwa",1995,0.753
"rwa",1996,0.749
"rwa",1997,0.723
"rwa",1998,0.719
"rwa",1999,0.727
"rwa",2000,0.701
"rwa",2001,0.688
"rwa",2002,0.683
"rwa",2003,0.746
"rwa",2004,0.8
"rwa",2005,0.875
"rwa",2006,1
"rwa",2007,1.125
"rwa",2008,1.308
"rwa",2009,1.497
"rwa",2010,1.731
"rwa",2011,2.006
"rwa",2012,2.414
"rwa",2013,2.428
"rwa",2014,2.665
"rwa",2015,2.695
"rwa",2016,2.668
"rwa",2017,2.701
"rwa",2018,2.724
"rwa",2019,2.734
"rwa",2020,2.758
"rwa",2021,2.785
"rwa",2022,2.815
"ssd",1991,23.578
"ssd",1992,23.737
"ssd",1993,24.048
"ssd",1994,24.224
"ssd",1995,24.471
"ssd",1996,24.436
"ssd",1997,24.43
"ssd",1998,21.776
"ssd",1999,21.835
"ssd",2000,21.881
"ssd",2001,21.954
"ssd",2002,21.988
"ssd",2003,21.921
"ssd",2004,21.995
"ssd",2005,21.968
"ssd",2006,21.953
"ssd",2007,21.972
"ssd",2008,21.962
"ssd",2009,22.809
"ssd",2010,22.21
"ssd",2011,22.303
"ssd",2012,23.281
"ssd",2013,25.003
"ssd",2014,24.366
"ssd",2015,24.973
"ssd",2016,25.145
"ssd",2017,25.764
"ssd",2018,26.266
"ssd",2019,26.525
"ssd",2020,26.504
"ssd",2021,26.188
"ssd",2022,26.083
"tza",1991,3.318
"tza",1992,3.366
"tza",1993,3.183
"tza",1994,3.11
"tza",1995,2.878
"tza",1996,2.86
"tza",1997,2.794
"tza",1998,3.084
"tza",1999,2.909
"tza",2000,2.86
"tza",2001,2.777
"tza",2002,2.796
"tza",2003,2.814
"tza",2004,2.79
"tza",2005,2.674
"tza",2006,2.774
"tza",2007,2.945
"tza",2008,2.958
"tza",2009,2.822
"tza",2010,2.917
"tza",2011,3.177
"tza",2012,3.159
"tza",2013,3.13
"tza",2014,3.115
"tza",2015,2.922
"tza",2016,2.602
"tza",2017,2.626
"tza",2018,2.626
"tza",2019,2.625
"tza",2020,2.601
"tza",2021,2.6
"tza",2022,2.594
"uga",1991,4.841
"uga",1992,4.96
"uga",1993,4.751
"uga",1994,4.754
"uga",1995,4.621
"uga",1996,5.017
"uga",1997,5.101
"uga",1998,5.117
"uga",1999,5.438
"uga",2000,5.217
"uga",2001,5.14
"uga",2002,5.263
"uga",2003,5.222
"uga",2004,3.628
"uga",2005,2.736
"uga",2006,3.03
"uga",2007,3.491
"uga",2008,3.997
"uga",2009,4.568
"uga",2010,4.666
"uga",2011,4.785
"uga",2012,4.848
"uga",2013,3.517
"uga",2014,3.36
"uga",2015,3.323
"uga",2016,3.286
"uga",2017,3.232
"uga",2018,3.245
"uga",2019,3.237
"uga",2020,3.233
"uga",2021,3.221
"uga",2022,3.215
