"geo","time","female_population_with_projections"
"bdi",1950,1203299
"bdi",1951,1228277
"bdi",1952,1250398
"bdi",1953,1271312
"bdi",1954,1292265
"bdi",1955,1314129
"bdi",1956,1337372
"bdi",1957,1362065
"bdi",1958,1387944
"bdi",1959,1414496
"bdi",1960,1441214
"bdi",1961,1467860
"bdi",1962,1494743
"bdi",1963,1522742
"bdi",1964,1553109
"bdi",1965,1586554
"bdi",1966,1623951
"bdi",1967,1664627
"bdi",1968,1705878
"bdi",1969,1743996
"bdi",1970,1776550
"bdi",1971,1802376
"bdi",1972,1822913
"bdi",1973,1841531
"bdi",1974,1863070
"bdi",1975,1891008
"bdi",1976,1926513
"bdi",1977,1968642
"bdi",1978,2016309
"bdi",1979,2067587
"bdi",1980,2121048
"bdi",1981,2176241
"bdi",1982,2233575
"bdi",1983,2293326
"bdi",1984,2355985
"bdi",1985,2421742
"bdi",1986,2490523
"bdi",1987,2561529
"bdi",1988,2633294
"bdi",1989,2703910
"bdi",1990,2771897
"bdi",1991,2837685
"bdi",1992,2901448
"bdi",1993,2961302
"bdi",1994,3014891
"bdi",1995,3061168
"bdi",1996,3098844
"bdi",1997,3130151
"bdi",1998,3161805
"bdi",1999,3202904
"bdi",2000,3260004
"bdi",2001,3335472
"bdi",2002,3427610
"bdi",2003,3533913
"bdi",2004,3650061
"bdi",2005,3772654
"bdi",2006,3901628
"bdi",2007,4037427
"bdi",2008,4177792
"bdi",2009,4319932
"bdi",2010,4461967
"bdi",2011,4602485
"bdi",2012,4742059
"bdi",2013,4883201
"bdi",2014,5029634
"bdi",2015,5183995
"bdi",2016,5347059
"bdi",2017,5517704
"bdi",2018,5694402
"bdi",2019,5874781
"bdi",2020,6057120
"bdi",2021,6241050
"bdi",2022,6426993
"bdi",2023,6614960
"bdi",2024,6805102
"bdi",2025,6997608
"bdi",2026,7192402
"bdi",2027,7389487
"bdi",2028,7589245
"bdi",2029,7792201
"bdi",2030,7998788
"bdi",2031,8209136
"bdi",2032,8423324
"bdi",2033,8641719
"bdi",2034,8864716
"bdi",2035,9092600
"bdi",2036,9325475
"bdi",2037,9563291
"bdi",2038,9805986
"bdi",2039,10053415
"bdi",2040,10305415
"bdi",2041,10561887
"bdi",2042,10822695
"bdi",2043,11087461
"bdi",2044,11355725
"bdi",2045,11627082
"bdi",2046,11901320
"bdi",2047,12178272
"bdi",2048,12457598
"bdi",2049,12738966
"bdi",2050,13022097
"bdi",2051,13306793
"bdi",2052,13592941
"bdi",2053,13880440
"bdi",2054,14169227
"bdi",2055,14459244
"bdi",2056,14750414
"bdi",2057,15042678
"bdi",2058,15336150
"bdi",2059,15630957
"bdi",2060,15927222
"bdi",2061,16224904
"bdi",2062,16523958
"bdi",2063,16824483
"bdi",2064,17126574
"bdi",2065,17430292
"bdi",2066,17735598
"bdi",2067,18042363
"bdi",2068,18350414
"bdi",2069,18659511
"bdi",2070,18969456
"bdi",2071,19280062
"bdi",2072,19591182
"bdi",2073,19902567
"bdi",2074,20213979
"bdi",2075,20525160
"bdi",2076,20835945
"bdi",2077,21146137
"bdi",2078,21455365
"bdi",2079,21763235
"bdi",2080,22069427
"bdi",2081,22373697
"bdi",2082,22675964
"bdi",2083,22976266
"bdi",2084,23274695
"bdi",2085,23571323
"bdi",2086,23866070
"bdi",2087,24158773
"bdi",2088,24449291
"bdi",2089,24737429
"bdi",2090,25023055
"bdi",2091,25306054
"bdi",2092,25586353
"bdi",2093,25863888
"bdi",2094,26138621
"bdi",2095,26410504
"bdi",2096,26679448
"bdi",2097,26945356
"bdi",2098,27208120
"bdi",2099,27467600
"bdi",2100,27723642
"cod",1950,6476571
"cod",1951,6594113
"cod",1952,6715192
"cod",1953,6842076
"cod",1954,6976463
"cod",1955,7119474
"cod",1956,7271635
"cod",1957,7432910
"cod",1958,7602779
"cod",1959,7780335
"cod",1960,7964767
"cod",1961,8155730
"cod",1962,8353761
"cod",1963,8560443
"cod",1964,8777921
"cod",1965,9007548
"cod",1966,9250374
"cod",1967,9505509
"cod",1968,9770006
"cod",1969,10039733
"cod",1970,10311895
"cod",1971,10584716
"cod",1972,10859446
"cod",1973,11139960
"cod",1974,11431798
"cod",1975,11738659
"cod",1976,12063427
"cod",1977,12404216
"cod",1978,12754331
"cod",1979,13104268
"cod",1980,13448001
"cod",1981,13784529
"cod",1982,14118633
"cod",1983,14457404
"cod",1984,14810800
"cod",1985,15187158
"cod",1986,15584026
"cod",1987,16001971
"cod",1988,16455399
"cod",1989,16962645
"cod",1990,17534179
"cod",1991,18181671
"cod",1992,18895064
"cod",1993,19636604
"cod",1994,20354240
"cod",1995,21012372
"cod",1996,21596280
"cod",1997,22122053
"cod",1998,22622849
"cod",1999,23147414
"cod",2000,23731841
"cod",2001,24386503
"cod",2002,25102933
"cod",2003,25875700
"cod",2004,26693153
"cod",2005,27546763
"cod",2006,28437110
"cod",2007,29368619
"cod",2008,30340498
"cod",2009,31351868
"cod",2010,32401848
"cod",2011,33489678
"cod",2012,34614551
"cod",2013,35775403
"cod",2014,36971102
"cod",2015,38200541
"cod",2016,39463267
"cod",2017,40758512
"cod",2018,42084693
"cod",2019,43439992
"cod",2020,44823072
"cod",2021,46233096
"cod",2022,47670222
"cod",2023,49135596
"cod",2024,50631001
"cod",2025,52157727
"cod",2026,53715752
"cod",2027,55304588
"cod",2028,56924512
"cod",2029,58575796
"cod",2030,60258446
"cod",2031,61972165
"cod",2032,63716284
"cod",2033,65489841
"cod",2034,67291618
"cod",2035,69120375
"cod",2036,70975298
"cod",2037,72855352
"cod",2038,74758809
"cod",2039,76683679
"cod",2040,78628209
"cod",2041,80591134
"cod",2042,82571481
"cod",2043,84568045
"cod",2044,86579688
"cod",2045,88605327
"cod",2046,90643773
"cod",2047,92694013
"cod",2048,94755384
"cod",2049,96827391
"cod",2050,98909400
"cod",2051,101000611
"cod",2052,103099915
"cod",2053,105205965
"cod",2054,107317228
"cod",2055,109432389
"cod",2056,111550122
"cod",2057,113669709
"cod",2058,115791055
"cod",2059,117914416
"cod",2060,120039613
"cod",2061,122165922
"cod",2062,124291785
"cod",2063,126415120
"cod",2064,128533414
"cod",2065,130644477
"cod",2066,132746924
"cod",2067,134839801
"cod",2068,136921859
"cod",2069,138991967
"cod",2070,141048990
"cod",2071,143091628
"cod",2072,145118715
"cod",2073,147129440
"cod",2074,149123162
"cod",2075,151099097
"cod",2076,153056359
"cod",2077,154993712
"cod",2078,156909506
"cod",2079,158801854
"cod",2080,160669175
"cod",2081,162510290
"cod",2082,164324527
"cod",2083,166111430
"cod",2084,167870789
"cod",2085,169602265
"cod",2086,171305201
"cod",2087,172978690
"cod",2088,174621857
"cod",2089,176233718
"cod",2090,177813413
"cod",2091,179360286
"cod",2092,180873806
"cod",2093,182353569
"cod",2094,183799196
"cod",2095,185210302
"cod",2096,186586459
"cod",2097,187927195
"cod",2098,189232012
"cod",2099,190500318
"cod",2100,191731522
"ken",1950,3012234
"ken",1951,3095556
"ken",1952,3183176
"ken",1953,3274950
"ken",1954,3370812
"ken",1955,3470805
"ken",1956,3575053
"ken",1957,3683805
"ken",1958,3797348
"ken",1959,3916080
"ken",1960,4040370
"ken",1961,4170546
"ken",1962,4306823
"ken",1963,4449291
"ken",1964,4597956
"ken",1965,4752979
"ken",1966,4914515
"ken",1967,5083071
"ken",1968,5259459
"ken",1969,5444690
"ken",1970,5639595
"ken",1971,5844649
"ken",1972,6060015
"ken",1973,6285801
"ken",1974,6521988
"ken",1975,6768623
"ken",1976,7025588
"ken",1977,7293132
"ken",1978,7572057
"ken",1979,7863386
"ken",1980,8167710
"ken",1981,8485145
"ken",1982,8815044
"ken",1983,9156057
"ken",1984,9506409
"ken",1985,9864600
"ken",1986,10230045
"ken",1987,10602441
"ken",1988,10980968
"ken",1989,11364813
"ken",1990,11753273
"ken",1991,12146207
"ken",1992,12543360
"ken",1993,12943908
"ken",1994,13346871
"ken",1995,13751777
"ken",1996,14158504
"ken",1997,14567859
"ken",1998,14981599
"ken",1999,15402101
"ken",2000,15831342
"ken",2001,16269930
"ken",2002,16718287
"ken",2003,17178060
"ken",2004,17651075
"ken",2005,18138666
"ken",2006,18641432
"ken",2007,19159233
"ken",2008,19691564
"ken",2009,20237533
"ken",2010,20796269
"ken",2011,21367664
