"geo","time","female_self_employed_percent_of_female_employment"
"bdi",1991,98.026
"bdi",1992,98.084
"bdi",1993,98.203
"bdi",1994,97.815
"bdi",1995,97.969
"bdi",1996,98.46
"bdi",1997,97.791
"bdi",1998,97.712
"bdi",1999,97.787
"bdi",2000,97.816
"bdi",2001,97.687
"bdi",2002,97.613
"bdi",2003,97.687
"bdi",2004,97.591
"bdi",2005,97.531
"bdi",2006,97.439
"bdi",2007,96.871
"bdi",2008,97.067
"bdi",2009,97.096
"bdi",2010,97.049
"bdi",2011,97.056
"bdi",2012,97.054
"bdi",2013,96.949
"bdi",2014,96.926
"bdi",2015,97.484
"bdi",2016,97.135
"bdi",2017,97.149
"bdi",2018,97.151
"bdi",2019,97.147
"bdi",2020,97.142
"bdi",2021,97.136
"bdi",2022,97.13
"cod",1991,67.837
"cod",1992,67.137
"cod",1993,67.353
"cod",1994,64.78
"cod",1995,63.362
"cod",1996,62.123
"cod",1997,63.987
"cod",1998,64.361
"cod",1999,63.053
"cod",2000,63.15
"cod",2001,62.307
"cod",2002,61.154
"cod",2003,60.358
"cod",2004,59.182
"cod",2005,59.396
"cod",2006,59.27
"cod",2007,58.888
"cod",2008,58.25
"cod",2009,58.982
"cod",2010,57.761
"cod",2011,57.308
"cod",2012,57.001
"cod",2013,56.221
"cod",2014,55.619
"cod",2015,56.366
"cod",2016,57.392
"cod",2017,57.327
"cod",2018,57.264
"cod",2019,57.191
"cod",2020,57.11
"cod",2021,57.023
"cod",2022,56.932
"ken",1991,81.273
"ken",1992,81.572
"ken",1993,81.744
"ken",1994,81.745
"ken",1995,80.589
"ken",1996,80.905
"ken",1997,81.378
"ken",1998,80.883
"ken",1999,81.011
"ken",2000,81.297
"ken",2001,80.454
"ken",2002,80.562
"ken",2003,80.085
"ken",2004,79.582
"ken",2005,79.233
"ken",2006,78.703
"ken",2007,78.328
"ken",2008,79.583
"ken",2009,79.258
"ken",2010,78.445
"ken",2011,78.952
"ken",2012,78.917
"ken",2013,78.377
"ken",2014,78.246
"ken",2015,78.484
"ken",2016,78.684
"ken",2017,78.635
"ken",2018,78.559
"ken",2019,78.479
"ken",2020,78.402
"ken",2021,78.326
"ken",2022,78.249
"rwa",1991,96.305
"rwa",1992,95.791
"rwa",1993,96.793
"rwa",1994,98.312
"rwa",1995,95.941
"rwa",1996,96.688
"rwa",1997,96.935
"rwa",1998,96.996
"rwa",1999,96.622
"rwa",2000,96.31
"rwa",2001,96.332
"rwa",2002,95.879
"rwa",2003,92.421
"rwa",2004,92.202
"rwa",2005,90.967
"rwa",2006,90.635
"rwa",2007,89.381
"rwa",2008,88.193
"rwa",2009,88.777
"rwa",2010,88.18
"rwa",2011,88.09
"rwa",2012,88.017
"rwa",2013,88.222
"rwa",2014,87.886
"rwa",2015,87.33
"rwa",2016,87.874
"rwa",2017,87.858
"rwa",2018,87.824
"rwa",2019,87.786
"rwa",2020,87.746
"rwa",2021,87.707
"rwa",2022,87.667
"ssd",1991,62.758
"ssd",1992,63.499
"ssd",1993,63.063
"ssd",1994,63.134
"ssd",1995,61.798
"ssd",1996,61.587
"ssd",1997,61.042
"ssd",1998,61.357
"ssd",1999,61.104
"ssd",2000,60.994
"ssd",2001,60.577
"ssd",2002,60.074
"ssd",2003,60.299
"ssd",2004,59.618
"ssd",2005,59.34
"ssd",2006,59.124
"ssd",2007,58.678
"ssd",2008,58.429
"ssd",2009,54.2
"ssd",2010,55.207
"ssd",2011,59.587
"ssd",2012,71.591
"ssd",2013,53.921
"ssd",2014,56.973
"ssd",2015,58.374
"ssd",2016,62.196
"ssd",2017,62.116
"ssd",2018,62.015
"ssd",2019,61.91
"ssd",2020,61.803
"ssd",2021,61.696
"ssd",2022,61.588
"tza",1991,95.792
"tza",1992,97.742
"tza",1993,97.741
"tza",1994,97.471
"tza",1995,97.601
"tza",1996,97.639
"tza",1997,97.549
"tza",1998,96.295
"tza",1999,96.263
"tza",2000,96.141
"tza",2001,95.992
"tza",2002,94.288
"tza",2003,94.325
"tza",2004,94.34
"tza",2005,93.695
"tza",2006,93.892
"tza",2007,91.912
"tza",2008,92.395
"tza",2009,92.454
"tza",2010,92.375
"tza",2011,92.256
"tza",2012,88.476
"tza",2013,88.295
"tza",2014,90.666
"tza",2015,90.664
"tza",2016,90.65
"tza",2017,90.64
"tza",2018,90.601
"tza",2019,90.561
"tza",2020,90.521
"tza",2021,90.484
"tza",2022,90.447
"uga",1991,96.64
"uga",1992,96.334
"uga",1993,96.307
"uga",1994,96.045
"uga",1995,95.847
"uga",1996,95.289
"uga",1997,94.879
"uga",1998,94.821
"uga",1999,94.134
"uga",2000,92.89
"uga",2001,92.613
"uga",2002,91.806
"uga",2003,92.511
"uga",2004,85.348
"uga",2005,86.374
"uga",2006,85.962
"uga",2007,85.341
"uga",2008,84.727
"uga",2009,86.047
"uga",2010,85.653
"uga",2011,85.191
"uga",2012,86.083
"uga",2013,85.468
"uga",2014,85.074
"uga",2015,84.463
"uga",2016,84.232
"uga",2017,84.14
"uga",2018,84.095
"uga",2019,84.048
"uga",2020,84.001
"uga",2021,83.952
"uga",2022,83.911
