"geo","time","female_service_workers_percent_of_female_employment"
"bdi",1991,2.874
"bdi",1992,2.817
"bdi",1993,2.629
"bdi",1994,2.696
"bdi",1995,2.567
"bdi",1996,2.368
"bdi",1997,2.432
"bdi",1998,2.553
"bdi",1999,2.472
"bdi",2000,2.465
"bdi",2001,2.542
"bdi",2002,2.589
"bdi",2003,2.543
"bdi",2004,2.59
"bdi",2005,2.565
"bdi",2006,2.624
"bdi",2007,2.79
"bdi",2008,2.763
"bdi",2009,2.767
"bdi",2010,2.861
"bdi",2011,2.844
"bdi",2012,2.9
"bdi",2013,2.982
"bdi",2014,3.018
"bdi",2015,2.805
"bdi",2016,2.855
"bdi",2017,2.746
"bdi",2018,2.709
"bdi",2019,2.731
"bdi",2020,2.765
"bdi",2021,2.804
"bdi",2022,2.852
"cod",1991,4.053
"cod",1992,3.607
"cod",1993,3.154
"cod",1994,2.966
"cod",1995,2.962
"cod",1996,2.894
"cod",1997,2.882
"cod",1998,2.885
"cod",1999,2.627
"cod",2000,2.76
"cod",2001,2.446
"cod",2002,2.594
"cod",2003,2.763
"cod",2004,2.824
"cod",2005,2.916
"cod",2006,2.975
"cod",2007,3.045
"cod",2008,2.935
"cod",2009,2.586
"cod",2010,3.985
"cod",2011,4.011
"cod",2012,4.057
"cod",2013,3.998
"cod",2014,3.543
"cod",2015,3.675
"cod",2016,3.739
"cod",2017,3.806
"cod",2018,3.83
"cod",2019,3.869
"cod",2020,3.922
"cod",2021,3.989
"cod",2022,4.069
"ken",1991,36.264
"ken",1992,36.401
"ken",1993,36.441
"ken",1994,35.876
"ken",1995,36.777
"ken",1996,36.335
"ken",1997,36.315
"ken",1998,36.713
"ken",1999,36.816
"ken",2000,35.686
"ken",2001,36.618
"ken",2002,37.403
"ken",2003,37.973
"ken",2004,39.253
"ken",2005,40.411
"ken",2006,41.863
"ken",2007,42.677
"ken",2008,41.861
"ken",2009,41.873
"ken",2010,42.607
"ken",2011,42.851
"ken",2012,43.578
"ken",2013,44.555
"ken",2014,44.988
"ken",2015,45.112
"ken",2016,45.172
"ken",2017,45.323
"ken",2018,46.204
"ken",2019,47.167
"ken",2020,48.071
"ken",2021,49.065
"ken",2022,49.989
"rwa",1991,5.297
"rwa",1992,5.737
"rwa",1993,5.559
"rwa",1994,3.724
"rwa",1995,4.65
"rwa",1996,4.944
"rwa",1997,5.196
"rwa",1998,5.194
"rwa",1999,5.296
"rwa",2000,5.422
"rwa",2001,5.618
"rwa",2002,6.089
"rwa",2003,6.303
"rwa",2004,6.671
"rwa",2005,7.2
"rwa",2006,7.72
"rwa",2007,8.333
"rwa",2008,9.023
"rwa",2009,9.501
"rwa",2010,10.179
"rwa",2011,10.844
"rwa",2012,11.639
"rwa",2013,14.532
"rwa",2014,18.919
"rwa",2015,19.882
"rwa",2016,20.26
"rwa",2017,20.639
"rwa",2018,21.352
"rwa",2019,22.137
"rwa",2020,22.958
"rwa",2021,23.822
"rwa",2022,24.711
"ssd",1991,14.285
"ssd",1992,13.802
"ssd",1993,13.634
"ssd",1994,13.344
"ssd",1995,13.744
"ssd",1996,13.997
"ssd",1997,14.4
"ssd",1998,20.445
"ssd",1999,20.611
"ssd",2000,20.672
"ssd",2001,20.929
"ssd",2002,21.371
"ssd",2003,21.372
"ssd",2004,21.803
"ssd",2005,22.171
"ssd",2006,22.463
"ssd",2007,22.886
"ssd",2008,23.163
"ssd",2009,24.264
"ssd",2010,24.272
"ssd",2011,21.614
"ssd",2012,13.614
"ssd",2013,16.567
"ssd",2014,15.79
"ssd",2015,14.915
"ssd",2016,12.795
"ssd",2017,12.398
"ssd",2018,11.351
"ssd",2019,11.041
"ssd",2020,11.288
"ssd",2021,11.898
"ssd",2022,11.772
"tza",1991,15.888
"tza",1992,15.626
"tza",1993,15.954
"tza",1994,15.731
"tza",1995,15.847
"tza",1996,15.693
"tza",1997,15.711
"tza",1998,15.924
"tza",1999,16.17
"tza",2000,16.472
"tza",2001,16.933
"tza",2002,17.281
"tza",2003,17.684
"tza",2004,18.18
"tza",2005,19.232
"tza",2006,19.205
"tza",2007,20.334
"tza",2008,20.39
"tza",2009,20.985
"tza",2010,21.671
"tza",2011,22.621
"tza",2012,23.307
"tza",2013,24.321
"tza",2014,26.027
"tza",2015,26.503
"tza",2016,27.131
"tza",2017,27.618
"tza",2018,28.355
"tza",2019,29.054
"tza",2020,29.831
"tza",2021,30.572
"tza",2022,31.296
"uga",1991,12.54
"uga",1992,12.751
"uga",1993,13.183
"uga",1994,13.517
"uga",1995,14.091
"uga",1996,14.833
"uga",1997,15.254
"uga",1998,15.48
"uga",1999,16.151
"uga",2000,17.262
"uga",2001,17.518
"uga",2002,18.632
"uga",2003,18.764
"uga",2004,17.662
"uga",2005,15.214
"uga",2006,16.327
"uga",2007,17.043
"uga",2008,17.959
"uga",2009,17.714
"uga",2010,19.97
"uga",2011,22.401
"uga",2012,23.91
"uga",2013,19.248
"uga",2014,19.737
"uga",2015,20.315
"uga",2016,20.955
"uga",2017,22.434
"uga",2018,23.059
"uga",2019,23.655
"uga",2020,24.324
"uga",2021,25.067
"uga",2022,25.416
