"geo","time","females_aged_15plus_employment_rate_percent"
"bdi",1991,89.309
"bdi",1992,88.825
"bdi",1993,88.278
"bdi",1994,87.665
"bdi",1995,86.999
"bdi",1996,86.274
"bdi",1997,85.474
"bdi",1998,84.6
"bdi",1999,83.992
"bdi",2000,83.345
"bdi",2001,82.851
"bdi",2002,82.369
"bdi",2003,81.91
"bdi",2004,81.48
"bdi",2005,81.088
"bdi",2006,80.687
"bdi",2007,80.317
"bdi",2008,79.976
"bdi",2009,79.686
"bdi",2010,79.441
"bdi",2011,79.221
"bdi",2012,79.043
"bdi",2013,78.888
"bdi",2014,78.668
"bdi",2015,78.962
"bdi",2016,79.217
"bdi",2017,79.315
"bdi",2018,79.379
"bdi",2019,79.397
"bdi",2020,79.361
"bdi",2021,79.264
"bdi",2022,79.119
"cod",1991,68.839
"cod",1992,68.745
"cod",1993,68.632
"cod",1994,68.561
"cod",1995,68.48
"cod",1996,68.46
"cod",1997,68.404
"cod",1998,68.343
"cod",1999,68.274
"cod",2000,68.203
"cod",2001,68.144
"cod",2002,68.106
"cod",2003,68.093
"cod",2004,68.094
"cod",2005,68.1
"cod",2006,68.111
"cod",2007,68.119
"cod",2008,68.128
"cod",2009,68.128
"cod",2010,68.141
"cod",2011,68.171
"cod",2012,68.202
"cod",2013,68.233
"cod",2014,68.26
"cod",2015,68.27
"cod",2016,68.282
"cod",2017,68.29
"cod",2018,68.294
"cod",2019,68.294
"cod",2020,68.293
"cod",2021,68.287
"cod",2022,68.284
"ken",1991,60.744
"ken",1992,60.733
"ken",1993,60.725
"ken",1994,60.725
"ken",1995,60.749
"ken",1996,60.738
"ken",1997,60.752
"ken",1998,60.728
"ken",1999,60.751
"ken",2000,59.389
"ken",2001,57.9
"ken",2002,56.433
"ken",2003,54.874
"ken",2004,53.315
"ken",2005,51.772
"ken",2006,51.884
"ken",2007,52.023
"ken",2008,52.218
"ken",2009,51.428
"ken",2010,51.682
"ken",2011,51.957
"ken",2012,52.195
"ken",2013,52.405
"ken",2014,52.602
"ken",2015,52.785
"ken",2016,52.938
"ken",2017,52.895
"ken",2018,52.848
"ken",2019,52.801
"ken",2020,52.751
"ken",2021,52.697
"ken",2022,52.639
"rwa",1991,86.499
"rwa",1992,86.495
"rwa",1993,86.358
"rwa",1994,85.925
"rwa",1995,85.793
"rwa",1996,85.581
"rwa",1997,85.352
"rwa",1998,85.195
"rwa",1999,85.043
"rwa",2000,84.831
"rwa",2001,84.705
"rwa",2002,84.545
"rwa",2003,84.164
"rwa",2004,83.815
"rwa",2005,83.567
"rwa",2006,83.409
"rwa",2007,83.338
"rwa",2008,83.294
"rwa",2009,83.234
"rwa",2010,83.087
"rwa",2011,82.912
"rwa",2012,82.749
"rwa",2013,83.962
"rwa",2014,85.094
"rwa",2015,85.049
"rwa",2016,84.916
"rwa",2017,84.843
"rwa",2018,84.765
"rwa",2019,84.681
"rwa",2020,84.595
"rwa",2021,84.513
"rwa",2022,84.432
"ssd",1991,61.839
"ssd",1992,62.124
"ssd",1993,61.929
"ssd",1994,61.966
"ssd",1995,61.446
"ssd",1996,61.457
"ssd",1997,61.333
"ssd",1998,61.579
"ssd",1999,61.541
"ssd",2000,61.565
"ssd",2001,61.438
"ssd",2002,61.303
"ssd",2003,61.486
"ssd",2004,61.284
"ssd",2005,61.283
"ssd",2006,61.304
"ssd",2007,61.242
"ssd",2008,61.308
"ssd",2009,61.344
"ssd",2010,61.317
"ssd",2011,61.734
"ssd",2012,62.073
"ssd",2013,60.617
"ssd",2014,61.297
"ssd",2015,61.475
"ssd",2016,61.769
"ssd",2017,61.736
"ssd",2018,61.763
"ssd",2019,61.749
"ssd",2020,61.675
"ssd",2021,61.535
"ssd",2022,61.685
"tza",1991,78.285
"tza",1992,78.101
"tza",1993,77.911
"tza",1994,77.721
"tza",1995,77.528
"tza",1996,77.359
"tza",1997,77.194
"tza",1998,77.016
"tza",1999,76.838
"tza",2000,76.678
"tza",2001,76.332
"tza",2002,77.947
"tza",2003,77.639
"tza",2004,77.328
"tza",2005,77.023
"tza",2006,76.783
"tza",2007,77.601
"tza",2008,78.167
"tza",2009,79.24
"tza",2010,78.774
"tza",2011,78.431
"tza",2012,77.984
"tza",2013,77.438
"tza",2014,77.402
"tza",2015,77.408
"tza",2016,77.348
"tza",2017,77.231
"tza",2018,77.112
"tza",2019,77
"tza",2020,76.897
"tza",2021,76.802
"tza",2022,76.714
"uga",1991,62.135
"uga",1992,61.953
"uga",1993,61.935
"uga",1994,61.917
"uga",1995,61.898
"uga",1996,61.861
"uga",1997,61.82
"uga",1998,61.773
"uga",1999,61.73
"uga",2000,61.713
"uga",2001,61.672
"uga",2002,61.685
"uga",2003,62.098
"uga",2004,62.793
"uga",2005,63.478
"uga",2006,63.22
"uga",2007,62.944
"uga",2008,62.661
"uga",2009,62.402
"uga",2010,62.705
"uga",2011,63.024
"uga",2012,63.459
"uga",2013,64.672
"uga",2014,64.722
"uga",2015,64.764
"uga",2016,64.692
"uga",2017,64.706
"uga",2018,64.726
"uga",2019,64.756
"uga",2020,64.798
"uga",2021,64.844
"uga",2022,64.899
