"geo","time","females_aged_25_54_labour_force_participation_rate_percent"
"bdi",1990,96.393
"bdi",1991,96.375
"bdi",1992,96.356
"bdi",1993,96.336
"bdi",1994,96.315
"bdi",1995,96.294
"bdi",1996,96.267
"bdi",1997,96.24
"bdi",1998,96.208
"bdi",1999,96.204
"bdi",2000,96.186
"bdi",2001,96.153
"bdi",2002,96.112
"bdi",2003,96.066
"bdi",2004,96.021
"bdi",2005,95.978
"bdi",2006,95.94
"bdi",2007,95.904
"bdi",2008,95.868
"bdi",2009,95.834
"bdi",2010,95.801
"bdi",2011,95.765
"bdi",2012,95.732
"bdi",2013,95.704
"bdi",2014,95.682
"bdi",2015,95.636
"bdi",2016,95.609
"bdi",2017,95.605
"bdi",2018,95.607
"bdi",2019,95.614
"bdi",2020,95.626
"bdi",2021,95.644
"bdi",2022,95.665
"bdi",2023,95.686
"bdi",2024,95.704
"bdi",2025,95.717
"bdi",2026,95.724
"bdi",2027,95.727
"bdi",2028,95.724
"bdi",2029,95.715
"bdi",2030,95.699
"cod",1990,85.984
"cod",1991,85.774
"cod",1992,85.559
"cod",1993,85.331
"cod",1994,85.23
"cod",1995,85.233
"cod",1996,85.1
"cod",1997,84.982
"cod",1998,84.947
"cod",1999,84.91
"cod",2000,84.845
"cod",2001,84.735
"cod",2002,84.69
"cod",2003,84.678
"cod",2004,84.687
"cod",2005,84.701
"cod",2006,84.619
"cod",2007,84.58
"cod",2008,84.563
"cod",2009,84.529
"cod",2010,84.538
"cod",2011,84.479
"cod",2012,84.453
"cod",2013,84.466
"cod",2014,84.514
"cod",2015,84.577
"cod",2016,84.567
"cod",2017,84.539
"cod",2018,84.511
"cod",2019,84.484
"cod",2020,84.458
"cod",2021,84.432
"cod",2022,84.408
"cod",2023,84.383
"cod",2024,84.357
"cod",2025,84.329
"cod",2026,84.299
"cod",2027,84.267
"cod",2028,84.234
"cod",2029,84.201
"cod",2030,84.168
"ken",1990,82.728
"ken",1991,83.048
"ken",1992,83.445
"ken",1993,83.918
"ken",1994,84.42
"ken",1995,84.91
"ken",1996,85.266
"ken",1997,85.494
"ken",1998,85.719
"ken",1999,85.969
"ken",2000,84.806
"ken",2001,83.539
"ken",2002,82.163
"ken",2003,80.672
"ken",2004,79.068
"ken",2005,77.353
"ken",2006,77.504
"ken",2007,77.597
"ken",2008,77.614
"ken",2009,77.704
"ken",2010,77.914
"ken",2011,78.157
"ken",2012,78.468
"ken",2013,78.843
"ken",2014,79.229
"ken",2015,79.614
"ken",2016,80.03
"ken",2017,79.914
"ken",2018,79.803
"ken",2019,79.681
"ken",2020,79.54
"ken",2021,79.38
"ken",2022,79.202
"ken",2023,79.012
"ken",2024,78.817
"ken",2025,78.622
"ken",2026,78.425
"ken",2027,78.228
"ken",2028,78.031
"ken",2029,77.833
"ken",2030,77.634
"rwa",1990,91.271
"rwa",1991,91.504
"rwa",1992,92.006
"rwa",1993,92.619
"rwa",1994,92.971
"rwa",1995,93.578
"rwa",1996,93.731
"rwa",1997,93.712
"rwa",1998,93.525
"rwa",1999,93.326
"rwa",2000,93.253
"rwa",2001,93.357
"rwa",2002,93.574
"rwa",2003,93.799
"rwa",2004,94.007
"rwa",2005,94.124
"rwa",2006,94.191
"rwa",2007,94.183
"rwa",2008,94.147
"rwa",2009,94.11
"rwa",2010,94.125
"rwa",2011,94.153
"rwa",2012,94.227
"rwa",2013,94.321
"rwa",2014,94.436
"rwa",2015,94.557
"rwa",2016,94.695
"rwa",2017,94.791
"rwa",2018,94.886
"rwa",2019,94.973
"rwa",2020,95.047
"rwa",2021,95.11
"rwa",2022,95.162
"rwa",2023,95.207
"rwa",2024,95.25
"rwa",2025,95.295
"rwa",2026,95.34
"rwa",2027,95.387
"rwa",2028,95.432
"rwa",2029,95.474
"rwa",2030,95.51
"ssd",1990,77.271
