"geo","time","females_aged_65plus_labour_force_participation_rate_percent"
"bdi",1990,73.86
"bdi",1991,73.1
"bdi",1992,72.325
"bdi",1993,71.537
"bdi",1994,70.736
"bdi",1995,69.922
"bdi",1996,69.095
"bdi",1997,68.255
"bdi",1998,67.403
"bdi",1999,66.737
"bdi",2000,66.064
"bdi",2001,65.384
"bdi",2002,64.697
"bdi",2003,64.005
"bdi",2004,63.307
"bdi",2005,62.603
"bdi",2006,61.894
"bdi",2007,61.179
"bdi",2008,60.46
"bdi",2009,59.736
"bdi",2010,59.008
"bdi",2011,58.277
"bdi",2012,57.541
"bdi",2013,56.802
"bdi",2014,56.06
"bdi",2015,56.064
"bdi",2016,56.079
"bdi",2017,55.798
"bdi",2018,55.517
"bdi",2019,55.236
"bdi",2020,54.955
"bdi",2021,54.673
"bdi",2022,54.392
"bdi",2023,54.111
"bdi",2024,53.83
"bdi",2025,53.549
"bdi",2026,53.268
"bdi",2027,52.987
"bdi",2028,52.705
"bdi",2029,52.424
"bdi",2030,52.143
"cod",1990,58.915
"cod",1991,58.873
"cod",1992,58.797
"cod",1993,58.681
"cod",1994,58.631
"cod",1995,58.585
"cod",1996,58.61
"cod",1997,58.564
"cod",1998,58.526
"cod",1999,58.452
"cod",2000,58.353
"cod",2001,58.352
"cod",2002,58.379
"cod",2003,58.419
"cod",2004,58.46
"cod",2005,58.489
"cod",2006,58.568
"cod",2007,58.632
"cod",2008,58.681
"cod",2009,58.696
"cod",2010,58.74
"cod",2011,58.824
"cod",2012,58.892
"cod",2013,58.954
"cod",2014,58.999
"cod",2015,59.009
"cod",2016,59.002
"cod",2017,59.044
"cod",2018,59.087
"cod",2019,59.129
"cod",2020,59.172
"cod",2021,59.215
"cod",2022,59.257
"cod",2023,59.3
"cod",2024,59.342
"cod",2025,59.385
"cod",2026,59.428
"cod",2027,59.47
"cod",2028,59.513
"cod",2029,59.555
"cod",2030,59.598
"ken",1990,50.63
"ken",1991,50.466
"ken",1992,50.235
"ken",1993,49.984
"ken",1994,49.747
"ken",1995,49.536
"ken",1996,49.382
"ken",1997,49.238
"ken",1998,49.132
"ken",1999,49
"ken",2000,49.502
"ken",2001,50.005
"ken",2002,50.507
"ken",2003,51.01
"ken",2004,51.512
"ken",2005,52.014
"ken",2006,51.966
"ken",2007,51.963
"ken",2008,51.919
"ken",2009,51.876
"ken",2010,51.829
"ken",2011,51.74
"ken",2012,51.585
"ken",2013,51.405
"ken",2014,51.216
"ken",2015,51.039
"ken",2016,50.848
"ken",2017,50.942
"ken",2018,51.035
"ken",2019,51.128
"ken",2020,51.222
"ken",2021,51.315
"ken",2022,51.409
"ken",2023,51.502
"ken",2024,51.596
"ken",2025,51.689
"ken",2026,51.782
"ken",2027,51.876
"ken",2028,51.969
"ken",2029,52.063
"ken",2030,52.156
"rwa",1990,56.143
"rwa",1991,55.919
"rwa",1992,55.542
"rwa",1993,54.807
"rwa",1994,53.44
"rwa",1995,53.073
"rwa",1996,53
"rwa",1997,53.128
"rwa",1998,53.389
"rwa",1999,53.643
"rwa",2000,53.759
"rwa",2001,53.668
"rwa",2002,53.509
"rwa",2003,53.178
"rwa",2004,52.928
"rwa",2005,52.79
"rwa",2006,52.746
"rwa",2007,52.789
"rwa",2008,52.921
"rwa",2009,53.001
"rwa",2010,53.032
"rwa",2011,53.063
"rwa",2012,53.045
"rwa",2013,52.952
"rwa",2014,52.865
"rwa",2015,52.777
"rwa",2016,52.654
"rwa",2017,52.635
"rwa",2018,52.617
"rwa",2019,52.598
"rwa",2020,52.58
"rwa",2021,52.561
"rwa",2022,52.542
"rwa",2023,52.524
"rwa",2024,52.505
"rwa",2025,52.486
