"geo","time","fixed_line_subscribers_per_100_people"
"bdi",1965,0.04549
"bdi",1970,0.05788
"bdi",1975,0.07354
"bdi",1976,0.06953
"bdi",1981,0.04736
"bdi",1982,0.05077
"bdi",1983,0.05462
"bdi",1984,0.08335
"bdi",1985,0.11293
"bdi",1986,0.13696
"bdi",1987,0.14249
"bdi",1988,0.14303
"bdi",1989,0.14519
"bdi",1990,0.1468
"bdi",1991,0.1847
"bdi",1992,0.22766
"bdi",1993,0.26943
"bdi",1994,0.26889
"bdi",1995,0.28941
"bdi",1996,0.25129
"bdi",1997,0.2596
"bdi",1998,0.28852
"bdi",1999,0.30249
"bdi",2000,0.31247
"bdi",2001,0.31335
"bdi",2002,0.32758
"bdi",2003,0.34366
"bdi",2004,0.38627
"bdi",2005,0.3745
"bdi",2006,0.36332
"bdi",2007,0.35896
"bdi",2008,0.37031
"bdi",2009,0.3666
"bdi",2010,0.39891
"bdi",2011,0.33184
"bdi",2012,0.18664
"bdi",2013,0.22138
"bdi",2014,0.21906
"bdi",2015,0.21349
"bdi",2016,0.18567
"bdi",2017,0.21547
"cod",1970,0.11144
"cod",1975,0.11746
"cod",1976,0.11418
"cod",1977,0.10434
"cod",1978,0.10138
"cod",1979,0.09859
"cod",1980,0.10092
"cod",1981,0.08887
"cod",1982,0.09009
"cod",1983,0.09023
"cod",1984,0.09845
"cod",1985,0.09708
"cod",1986,0.09451
"cod",1987,0.09198
"cod",1988,0.08996
"cod",1989,0.09562
"cod",1990,0.09822
"cod",1991,0.09745
"cod",1992,0.0964
"cod",1993,0.0927
"cod",1994,0.08939
"cod",1995,0.08655
"cod",1996,0.08417
"cod",1997,0.02076
"cod",1998,0.02085
"cod",1999,0.02081
"cod",2000,0.02084
"cod",2001,0.02062
"cod",2002,0.02007
"cod",2003,0.01894
"cod",2004,0.01984
"cod",2005,0.01932
"cod",2006,0.01716
"cod",2007,0.00599
"cod",2008,0.06182
"cod",2009,0.06781
"cod",2010,0.06508
"cod",2011,0.08539
"cod",2012,0.08631
"cod",2013,0
"cod",2014,0
"cod",2015,0
"cod",2016,0
"cod",2017,0
"ken",1965,0.29459
"ken",1970,0.34659
"ken",1975,0.39298
"ken",1976,0.40724
"ken",1977,0.42951
"ken",1978,0.43294
"ken",1979,0.445
"ken",1980,0.45424
"ken",1981,0.47451
"ken",1982,0.50172
"ken",1983,0.52469
"ken",1984,0.56026
"ken",1985,0.60231
"ken",1986,0.63524
"ken",1987,0.65109
"ken",1988,0.69481
"ken",1989,0.71972
"ken",1990,0.748
"ken",1991,0.82714
"ken",1992,0.83097
"ken",1993,0.83388
"ken",1994,0.86077
"ken",1995,0.93772
"ken",1996,0.94778
"ken",1997,0.93878
"ken",1998,0.96827
"ken",1999,0.9477
"ken",2000,0.92751
"ken",2001,0.95719
"ken",2002,0.96791
"ken",2003,0.96206
"ken",2004,0.85319
"ken",2005,0.7954
"ken",2006,0.79176
"ken",2007,1.21768
"ken",2008,1.65104
"ken",2009,1.65046
"ken",2010,0.92079
"ken",2011,0.66737
"ken",2012,0.57637
"ken",2013,0.45587
"ken",2014,0.39108
"ken",2015,0.181
"ken",2016,0.15022
"ken",2017,0.14057
"rwa",1960,0.04657
"rwa",1965,0.01856
"rwa",1970,0.03196
"rwa",1975,0.05276
"rwa",1976,0.05112
"rwa",1977,0.05379
"rwa",1978,0.05621
"rwa",1979,0.05636
"rwa",1980,0.06419
"rwa",1981,0.06284
"rwa",1982,0.07349
"rwa",1983,0.08224
"rwa",1984,0.08339
"rwa",1985,0.08444
"rwa",1986,0.08496
"rwa",1987,0.09746
"rwa",1988,0.11623
"rwa",1989,0.12767
"rwa",1990,0.14347
"rwa",1991,0.16022
"rwa",1992,0.17552
"rwa",1993,0.17461
"rwa",1994,0.16653
"rwa",1995,0.1164
"rwa",1996,0.16768
"rwa",1997,0.17817
"rwa",1998,0.15333
"rwa",1999,0.16661
"rwa",2000,0.2189
"rwa",2001,0.25812
"rwa",2002,0.2941
"rwa",2003,0.29452
"rwa",2004,0.2605
"rwa",2005,0.26247
"rwa",2006,0.25375
"rwa",2007,0.24476
"rwa",2008,0.17274
"rwa",2009,0.33527
"rwa",2010,0.38709
"rwa",2011,0.36992
"rwa",2012,0.41119
"rwa",2013,0.40974
"rwa",2014,0.43729
"rwa",2015,0.14603
"rwa",2016,0.11246
"rwa",2017,0.10102
"ssd",2010,0.02384
"ssd",2011,0.02105
"ssd",2012,0.00139
"ssd",2013,0
"ssd",2014,0
"ssd",2015,0
"ssd",2016,0
"ssd",2017,0
"tza",1960,0.0807
"tza",1965,0.08757
"tza",1970,0.11008
"tza",1975,0.16931
"tza",1976,0.17441
"tza",1977,0.18673
"tza",1978,0.19949
"tza",1979,0.21139
"tza",1980,0.21287
"tza",1981,0.21115
"tza",1982,0.21118
"tza",1983,0.21431
"tza",1984,0.22438
"tza",1985,0.23842
"tza",1986,0.24192
"tza",1987,0.25398
"tza",1988,0.27628
"tza",1989,0.28645
"tza",1990,0.28677
"tza",1991,0.29021
"tza",1992,0.2987
"tza",1993,0.30198
"tza",1994,0.30379
"tza",1995,0.30129
"tza",1996,0.30105
"tza",1997,0.33221
"tza",1998,0.37523
"tza",1999,0.4494
"tza",2000,0.5079
"tza",2001,0.50631
"tza",2002,0.44755
"tza",2003,0.39572
"tza",2004,0.38787
"tza",2005,0.39167
"tza",2006,0.37406
"tza",2007,0.38944
"tza",2008,0.28613
"tza",2009,0.38716
"tza",2010,0.37856
"tza",2011,0.33857
"tza",2012,0.35932
"tza",2013,0.32585
"tza",2014,0.2896
"tza",2015,0.26507
"tza",2016,0.2332
"tza",2017,0.22177
"uga",1960,0.10312
"uga",1965,0.12478
"uga",1970,0.14821
"uga",1975,0.18564
"uga",1976,0.17954
"uga",1977,0.18307
"uga",1978,0.19123
"uga",1979,0.16997
"uga",1980,0.15618
"uga",1981,0.15839
"uga",1982,0.17234
"uga",1983,0.17522
"uga",1984,0.14794
"uga",1985,0.17465
"uga",1986,0.17044
"uga",1987,0.16565
"uga",1988,0.16568
"uga",1989,0.16274
"uga",1990,0.15991
"uga",1991,0.15745
"uga",1992,0.16108
"uga",1993,0.10775
"uga",1994,0.15295
"uga",1995,0.18964
"uga",1996,0.22605
"uga",1997,0.2473
"uga",1998,0.25239
"uga",1999,0.24595
"uga",2000,0.25657
"uga",2001,0.22591
"uga",2002,0.21376
"uga",2003,0.22909
"uga",2004,0.2596
"uga",2005,0.30659
"uga",2006,0.36595
"uga",2007,0.54196
"uga",2008,0.53209
"uga",2009,0.7126
"uga",2010,0.96451
"uga",2011,1.3246
"uga",2012,0.86748
"uga",2013,0.72654
"uga",2014,0.83547
"uga",2015,0.81906
"uga",2016,0.88759
"uga",2017,0.61192
