"geo","time","food_supply_kilocalories_per_person_and_day"
"ken",1961,2249
"ken",1962,2252
"ken",1963,2144
"ken",1964,2192
"ken",1965,2307
"ken",1966,2296
"ken",1967,2283
"ken",1968,2307
"ken",1969,2360
"ken",1970,2300
"ken",1971,2302
"ken",1972,2350
"ken",1973,2304
"ken",1974,2316
"ken",1975,2312
"ken",1976,2344
"ken",1977,2358
"ken",1978,2364
"ken",1979,2315
"ken",1980,2293
"ken",1981,2268
"ken",1982,2259
"ken",1983,2208
"ken",1984,2039
"ken",1985,2184
"ken",1986,2226
"ken",1987,2138
"ken",1988,2072
"ken",1989,2109
"ken",1990,2043
"ken",1991,2025
"ken",1992,1927
"ken",1993,1886
"ken",1994,2057
"ken",1995,2055
"ken",1996,2051
"ken",1997,2017
"ken",1998,2049
"ken",1999,2077
"ken",2000,2049
"ken",2001,2066
"ken",2002,2023
"ken",2003,2004
"ken",2004,2022
"ken",2005,2161
"ken",2006,2161
"ken",2007,2110
"ken",2008,2106
"ken",2009,2165
"ken",2010,2160
"ken",2011,2170
"ken",2012,2192
"ken",2013,2206
"rwa",1961,1790
"rwa",1962,1949
"rwa",1963,1877
"rwa",1964,1901
"rwa",1965,1929
"rwa",1966,2073
"rwa",1967,2275
"rwa",1968,2180
"rwa",1969,2263
"rwa",1970,2289
"rwa",1971,2256
"rwa",1972,2177
"rwa",1973,2180
"rwa",1974,2136
"rwa",1975,2298
"rwa",1976,2341
"rwa",1977,2359
"rwa",1978,2335
"rwa",1979,2369
"rwa",1980,2357
"rwa",1981,2366
"rwa",1982,2365
"rwa",1983,2343
"rwa",1984,2235
"rwa",1985,2309
"rwa",1986,2162
"rwa",1987,2078
"rwa",1988,1934
"rwa",1989,1964
"rwa",1990,1819
"rwa",1991,1951
"rwa",1992,1891
"rwa",1993,1938
"rwa",1994,1862
"rwa",1995,1814
"rwa",1996,1771
"rwa",1997,1723
"rwa",1998,1739
"rwa",1999,1739
"rwa",2000,1857
"rwa",2001,1912
"rwa",2002,2094
"rwa",2003,2004
"rwa",2004,1969
"rwa",2005,2037
"rwa",2006,2044
"rwa",2007,2053
"rwa",2008,2101
"rwa",2009,2196
"rwa",2010,2198
"rwa",2011,2213
"rwa",2012,2270
"rwa",2013,2228
"tza",1961,1746
"tza",1962,1758
"tza",1963,1782
"tza",1964,1700
"tza",1965,1742
"tza",1966,1819
"tza",1967,1714
"tza",1968,1707
"tza",1969,1708
"tza",1970,1713
"tza",1971,1677
"tza",1972,1694
"tza",1973,1815
"tza",1974,1900
"tza",1975,2167
"tza",1976,2219
"tza",1977,2218
"tza",1978,2206
"tza",1979,2235
"tza",1980,2224
"tza",1981,2198
"tza",1982,2231
"tza",1983,2202
"tza",1984,2239
"tza",1985,2257
"tza",1986,2262
"tza",1987,2271
"tza",1988,2219
"tza",1989,2272
"tza",1990,2187
"tza",1991,2231
"tza",1992,2145
"tza",1993,2100
"tza",1994,2084
"tza",1995,2030
"tza",1996,2040
"tza",1997,2004
"tza",1998,2077
"tza",1999,2060
"tza",2000,2005
"tza",2001,2031
"tza",2002,2109
"tza",2003,1983
"tza",2004,2098
"tza",2005,2134
"tza",2006,2141
"tza",2007,2215
"tza",2008,2132
"tza",2009,2133
"tza",2010,2097
"tza",2011,2200
"tza",2012,2192
"tza",2013,2208
"uga",1961,2312
"uga",1962,2274
"uga",1963,2298
"uga",1964,2262
"uga",1965,2314
"uga",1966,2177
"uga",1967,2370
"uga",1968,2384
"uga",1969,2355
"uga",1970,2415
"uga",1971,2378
"uga",1972,2427
"uga",1973,2317
"uga",1974,2361
"uga",1975,2363
"uga",1976,2405
"uga",1977,2373
"uga",1978,2284
"uga",1979,2144
"uga",1980,2046
"uga",1981,2104
"uga",1982,2228
"uga",1983,2329
"uga",1984,2187
"uga",1985,2081
"uga",1986,2093
"uga",1987,2140
"uga",1988,2204
"uga",1989,2325
"uga",1990,2330
"uga",1991,2272
"uga",1992,2220
"uga",1993,2243
"uga",1994,2229
"uga",1995,2236
"uga",1996,2130
"uga",1997,2155
"uga",1998,2266
"uga",1999,2249
"uga",2000,2267
"uga",2001,2280
"uga",2002,2330
"uga",2003,2382
"uga",2004,2351
"uga",2005,2327
"uga",2006,2276
"uga",2007,2212
"uga",2008,2177
"uga",2009,2194
"uga",2010,2200
"uga",2011,2178
"uga",2012,2160
"uga",2013,2130
