"geo","time","foreign_direct_investment_net_inflows_percent_of_gdp"
"bdi",1985,0.04683
"bdi",1986,0.12682
"bdi",1987,0.12088
"bdi",1988,0.11055
"bdi",1989,0.05092
"bdi",1990,0.11089
"bdi",1991,0.07645
"bdi",1992,0.05541
"bdi",1993,0.05046
"bdi",1994,0.00043
"bdi",1995,0.19811
"bdi",1996,1e-05
"bdi",1997,1e-05
"bdi",1998,0.22377
"bdi",1999,0.02953
"bdi",2000,1.34218
"bdi",2001,-0.0013
"bdi",2004,0.00488
"bdi",2005,0.05233
"bdi",2006,0.00248
"bdi",2007,0.03689
"bdi",2008,0.23785
"bdi",2009,0.02003
"bdi",2010,0.03851
"bdi",2011,0.14242
"bdi",2012,0.02447
"bdi",2013,4.30013
"bdi",2014,2.64242
"bdi",2015,1.61813
"bdi",2016,0.00184
"bdi",2017,0.0091
"cod",1970,0.13182
"cod",1971,0.1026
"cod",1972,0.16959
"cod",1973,0.22515
"cod",1974,0.54163
"cod",1975,0.08909
"cod",1976,2.47114
"cod",1977,0.14735
"cod",1978,0.63542
"cod",1979,0.95465
"cod",1980,0.76152
"cod",1981,0.55536
"cod",1982,-0.01736
"cod",1983,-1.75157
"cod",1984,-0.41297
"cod",1985,0.96163
"cod",1986,0.06856
"cod",1987,-0.71891
"cod",1988,-0.04446
"cod",1989,-0.06772
"cod",1990,-0.15466
"cod",1991,0.12872
"cod",1992,-0.00887
"cod",1993,0.06417
"cod",1994,-0.02577
"cod",1995,-0.39604
"cod",1996,0.42953
"cod",1997,-0.72814
"cod",1998,0.98671
"cod",1999,0.23688
"cod",2000,0.49345
"cod",2001,1.37428
"cod",2002,2.14938
"cod",2003,4.37764
"cod",2004,3.97216
"cod",2005,1.50445
"cod",2006,1.77209
"cod",2007,10.80237
"cod",2008,8.72627
"cod",2009,-1.30414
"cod",2010,12.71601
"cod",2011,6.17662
"cod",2012,9.86687
"cod",2013,5.19589
"cod",2014,4.17503
"cod",2015,3.33716
"cod",2016,2.3518
"cod",2017,2.82927
"ken",1970,0.86065
"ken",1971,0.41611
"ken",1972,0.29896
"ken",1973,0.68981
"ken",1974,0.78767
"ken",1975,0.52645
"ken",1976,1.33462
"ken",1977,1.25813
"ken",1978,0.64887
"ken",1979,1.34752
"ken",1980,1.087
"ken",1981,0.2064
"ken",1982,0.20214
"ken",1983,0.39702
"ken",1984,0.17368
"ken",1985,0.47018
"ken",1986,0.45207
"ken",1987,0.49407
"ken",1988,0.00472
"ken",1989,0.7508
"ken",1990,0.66587
"ken",1991,0.23101
"ken",1992,0.07751
"ken",1993,2.53235
"ken",1994,0.10398
"ken",1995,0.46747
"ken",1996,0.90216
"ken",1997,0.47345
"ken",1998,0.18837
"ken",1999,0.40286
"ken",2000,0.8729
"ken",2001,0.04083
"ken",2002,0.21006
"ken",2003,0.54841
"ken",2004,0.28619
"ken",2005,0.1132
"ken",2006,0.19622
"ken",2007,2.28124
"ken",2008,0.26629
"ken",2009,0.31403
"ken",2010,0.44516
"ken",2011,3.45722
"ken",2012,2.74199
"ken",2013,2.03066
"ken",2014,1.33599
"ken",2015,0.96821
"ken",2016,0.555
"ken",2017,0.89606
