"geo","time","foreign_direct_investment_net_outflows_percent_of_gdp"
"bdi",1985,-0.09812
"bdi",1986,0.01118
"bdi",1987,0.00947
"bdi",1988,0.00503
"bdi",1989,0.00453
"bdi",1990,0.00052
"bdi",1991,0.00236
"bdi",1993,0.01448
"bdi",1994,0.01112
"bdi",1995,0.06003
"bdi",1999,-0.02953
"bdi",2000,-1.34215
"bdi",2001,-0.00104
"bdi",2003,-0.00059
"bdi",2005,0
"bdi",2006,0
"bdi",2007,0.00258
"bdi",2008,0.03608
"bdi",2009,0
"bdi",2010,0
"bdi",2011,0
"bdi",2012,0
"bdi",2013,0.00614
"bdi",2014,0.00089
"bdi",2015,0.00496
"bdi",2016,0.00121
"bdi",2017,0.00029
"cod",1993,0.00825
"cod",1994,0
"cod",1995,0.00355
"cod",1996,0.33524
"cod",1997,0.28221
"cod",1998,-0.01967
"cod",1999,-0.02261
"cod",2000,-0.00943
"cod",2001,0.0121
"cod",2002,0.18944
"cod",2003,0.26217
"cod",2004,0.07347
"cod",2005,0.112
"cod",2006,0.12732
"cod",2007,0.08544
"cod",2008,0.27339
"cod",2009,0.18661
"cod",2010,0.03339
"cod",2011,0.35178
"cod",2012,1.43497
"cod",2013,1.22633
"cod",2014,0.95664
"cod",2015,1.33916
"cod",2016,0.77829
"cod",2017,0.78468
"ken",1975,0.04178
"ken",1976,0.12383
"ken",1977,0.05914
"ken",1978,0.04391
"ken",1979,0.09441
"ken",1980,0.01484
"ken",1981,0.08546
"ken",1982,0.14947
"ken",1983,0.24249
"ken",1984,0.11093
"ken",1985,0.08828
"ken",1986,0.06811
"ken",1987,0.3858
"ken",1988,0.0263
"ken",1989,0.01643
"ken",1990,-0.00516
"ken",1991,0.00245
"ken",1992,-0.00116
"ken",1993,0.04848
"ken",1994,0.01349
"ken",1995,0.12552
"ken",1996,0.02291
"ken",1997,0.04539
"ken",1998,0.08603
"ken",1999,0.19046
"ken",2000,8e-05
"ken",2001,8e-05
"ken",2002,0.0564
"ken",2003,0.01392
"ken",2004,0.02744
"ken",2005,0.0517
"ken",2006,0.09277
"ken",2007,0.11275
"ken",2008,0.12193
"ken",2009,0.12422
"ken",2010,0.00394
"ken",2011,0.20496
"ken",2012,0.47358
"ken",2013,0.36048
"ken",2014,0.12225
"ken",2015,0.37807
"ken",2016,0.22252
"ken",2017,0.34307
"rwa",2005,0
"rwa",2006,0
"rwa",2007,0.33848
"rwa",2008,0
"rwa",2009,0
"rwa",2010,0
"rwa",2011,0
"rwa",2012,0
"rwa",2013,0.17719
"rwa",2014,0.04725
"rwa",2015,0.04172
"rwa",2016,0.56345
"rwa",2017,0.52824
"ssd",2014,-0.00455
"ssd",2015,-0.00944
"tza",2009,0
"tza",2010,0
"tza",2011,0
"tza",2012,0
"tza",2013,0
"tza",2014,0
"tza",2017,0
"uga",1995,0.05723
"uga",1996,-0.01701
"uga",2005,0
"uga",2006,0
"uga",2007,0
"uga",2008,0
"uga",2009,0.15879
"uga",2010,0.18435
"uga",2011,-0.05872
"uga",2012,0.20047
"uga",2013,-0.1919
"uga",2014,0.099
"uga",2015,0.00106
"uga",2016,0.00063
"uga",2017,0.0012
