"geo","time","forest_area_sq_km"
"bdi",1990,2890
"bdi",1991,2799
"bdi",1992,2708
"bdi",1993,2617
"bdi",1994,2526
"bdi",1995,2435
"bdi",1996,2344
"bdi",1997,2253
"bdi",1998,2162
"bdi",1999,2071
"bdi",2000,1980
"bdi",2001,1946
"bdi",2002,1912
"bdi",2003,1878
"bdi",2004,1844
"bdi",2005,1810
"bdi",2006,1954
"bdi",2007,2098
"bdi",2008,2242
"bdi",2009,2386
"bdi",2010,2530
"bdi",2011,2576
"bdi",2012,2622
"bdi",2013,2668
"bdi",2014,2714
"bdi",2015,2760
"cod",1990,1603630
"cod",1991,1600516
"cod",1992,1597402
"cod",1993,1594288
"cod",1994,1591174
"cod",1995,1588060
"cod",1996,1584946
"cod",1997,1581832
"cod",1998,1578718
"cod",1999,1575604
"cod",2000,1572490
"cod",2001,1569376
"cod",2002,1566262
"cod",2003,1563148
"cod",2004,1560034
"cod",2005,1556920
"cod",2006,1553806
"cod",2007,1550692
"cod",2008,1547578
"cod",2009,1544464
"cod",2010,1541350
"cod",2011,1538236
"cod",2012,1535122
"cod",2013,1532008
"cod",2014,1528894
"cod",2015,1525780
"ken",1990,47240
"ken",1991,46073
"ken",1992,44906
"ken",1993,43739
"ken",1994,42572
"ken",1995,41405
"ken",1996,40238
"ken",1997,39071
"ken",1998,37904
"ken",1999,36737
"ken",2000,35570
"ken",2001,36550
"ken",2002,37530
"ken",2003,38510
"ken",2004,39490
"ken",2005,40470
"ken",2006,40836
"ken",2007,41202
"ken",2008,41568
"ken",2009,41934
"ken",2010,42300
"ken",2011,42666
"ken",2012,43032
"ken",2013,43398
"ken",2014,43764
"ken",2015,44130
"rwa",1990,3180
"rwa",1991,3206
"rwa",1992,3232
"rwa",1993,3258
"rwa",1994,3284
"rwa",1995,3310
"rwa",1996,3336
"rwa",1997,3362
"rwa",1998,3388
"rwa",1999,3414
"rwa",2000,3440
"rwa",2001,3522
"rwa",2002,3604
"rwa",2003,3686
"rwa",2004,3768
"rwa",2005,3850
"rwa",2006,3972
"rwa",2007,4094
"rwa",2008,4216
"rwa",2009,4338
"rwa",2010,4460
"rwa",2011,4528
"rwa",2012,4596
"rwa",2013,4664
"rwa",2014,4732
"rwa",2015,4800
"ssd",2011,71570
"ssd",2012,71570
"ssd",2013,71570
"ssd",2014,71570
"ssd",2015,71570
"tza",1990,559200
"tza",1991,555200
"tza",1992,551200
"tza",1993,547200
"tza",1994,543200
"tza",1995,539200
"tza",1996,535200
"tza",1997,531200
"tza",1998,527200
"tza",1999,523200
"tza",2000,519200
"tza",2001,515200
"tza",2002,511200
"tza",2003,507200
"tza",2004,503200
"tza",2005,499200
"tza",2006,495200
"tza",2007,491200
"tza",2008,487200
"tza",2009,483200
"tza",2010,479200
"tza",2011,475480
"tza",2012,471760
"tza",2013,468040
"tza",2014,464320
"tza",2015,460600
"uga",1990,47510
"uga",1991,46628
"uga",1992,45746
"uga",1993,44864
"uga",1994,43982
"uga",1995,43100
"uga",1996,42218
"uga",1997,41336
"uga",1998,40454
"uga",1999,39572
"uga",2000,38690
"uga",2001,37810
"uga",2002,36930
"uga",2003,36050
"uga",2004,35170
"uga",2005,34290
"uga",2006,32938
"uga",2007,31586
"uga",2008,30234
"uga",2009,28882
"uga",2010,27530
"uga",2011,26178
"uga",2012,24826
"uga",2013,23474
"uga",2014,22122
"uga",2015,20770
