"geo","time","forest_coverage_percent"
"bdi",1990,11.25
"bdi",1991,10.9
"bdi",1992,10.55
"bdi",1993,10.19
"bdi",1994,9.84
"bdi",1995,9.48
"bdi",1996,9.13
"bdi",1997,8.77
"bdi",1998,8.42
"bdi",1999,8.06
"bdi",2000,7.71
"bdi",2001,7.58
"bdi",2002,7.45
"bdi",2003,7.31
"bdi",2004,7.18
"bdi",2005,7.05
"bdi",2006,7.61
"bdi",2007,8.17
"bdi",2008,8.73
"bdi",2009,9.29
"bdi",2010,9.85
"bdi",2011,10.03
"bdi",2012,10.21
"bdi",2013,10.39
"bdi",2014,10.57
"bdi",2015,10.75
"cod",1990,70.74
"cod",1991,70.6
"cod",1992,70.46
"cod",1993,70.32
"cod",1994,70.19
"cod",1995,70.05
"cod",1996,69.91
"cod",1997,69.77
"cod",1998,69.64
"cod",1999,69.5
"cod",2000,69.36
"cod",2001,69.23
"cod",2002,69.09
"cod",2003,68.95
"cod",2004,68.81
"cod",2005,68.68
"cod",2006,68.54
"cod",2007,68.4
"cod",2008,68.26
"cod",2009,68.13
"cod",2010,67.99
"cod",2011,67.85
"cod",2012,67.71
"cod",2013,67.58
"cod",2014,67.44
"cod",2015,67.3
"ken",1990,8.3
"ken",1991,8.1
"ken",1992,7.89
"ken",1993,7.69
"ken",1994,7.48
"ken",1995,7.28
"ken",1996,7.07
"ken",1997,6.86
"ken",1998,6.66
"ken",1999,6.45
"ken",2000,6.25
"ken",2001,6.42
"ken",2002,6.59
"ken",2003,6.77
"ken",2004,6.94
"ken",2005,7.11
"ken",2006,7.18
"ken",2007,7.24
"ken",2008,7.3
"ken",2009,7.37
"ken",2010,7.43
"ken",2011,7.5
"ken",2012,7.56
"ken",2013,7.63
"ken",2014,7.69
"ken",2015,7.75
"rwa",1990,12.89
"rwa",1991,13
"rwa",1992,13.1
"rwa",1993,13.21
"rwa",1994,13.31
"rwa",1995,13.42
"rwa",1996,13.52
"rwa",1997,13.63
"rwa",1998,13.73
"rwa",1999,13.84
"rwa",2000,13.94
"rwa",2001,14.28
"rwa",2002,14.61
"rwa",2003,14.94
"rwa",2004,15.27
"rwa",2005,15.61
"rwa",2006,16.1
"rwa",2007,16.6
"rwa",2008,17.09
"rwa",2009,17.58
"rwa",2010,18.08
"rwa",2011,18.35
"rwa",2012,18.63
"rwa",2013,18.91
"rwa",2014,19.18
"rwa",2015,19.46
"tza",1990,63.13
"tza",1991,62.68
"tza",1992,62.23
"tza",1993,61.77
"tza",1994,61.32
"tza",1995,60.87
"tza",1996,60.42
"tza",1997,59.97
"tza",1998,59.52
"tza",1999,59.07
"tza",2000,58.61
"tza",2001,58.16
"tza",2002,57.71
"tza",2003,57.26
"tza",2004,56.81
"tza",2005,56.36
"tza",2006,55.9
"tza",2007,55.45
"tza",2008,55
"tza",2009,54.55
"tza",2010,54.1
"tza",2011,53.68
"tza",2012,53.26
"tza",2013,52.84
"tza",2014,52.42
"tza",2015,52
"uga",1990,23.78
"uga",1991,23.34
"uga",1992,22.89
"uga",1993,22.45
"uga",1994,22.01
"uga",1995,21.57
"uga",1996,21.13
"uga",1997,20.69
"uga",1998,20.25
"uga",1999,19.8
"uga",2000,19.36
"uga",2001,18.92
"uga",2002,18.48
"uga",2003,18.04
"uga",2004,17.6
"uga",2005,17.16
"uga",2006,16.48
"uga",2007,15.81
"uga",2008,15.13
"uga",2009,14.45
"uga",2010,13.73
"uga",2011,13.06
"uga",2012,12.38
"uga",2013,11.71
"uga",2014,11.03
"uga",2015,10.36
