"geo","time","forest_land_total_area_ha"
"bdi",1990,289000
"bdi",1991,279900
"bdi",1992,270800
"bdi",1993,261700
"bdi",1994,252600
"bdi",1995,243500
"bdi",1996,234400
"bdi",1997,225300
"bdi",1998,216200
"bdi",1999,207100
"bdi",2000,198000
"bdi",2001,194600
"bdi",2002,191200
"bdi",2003,187800
"bdi",2004,184400
"bdi",2005,181000
"bdi",2006,195400
"bdi",2007,209800
"bdi",2008,224200
"bdi",2009,238600
"bdi",2010,253000
"bdi",2011,257600
"bdi",2012,262200
"bdi",2013,266800
"bdi",2014,271400
"bdi",2015,276000
"cod",1990,160363000
"cod",1991,160051600
"cod",1992,159740200
"cod",1993,159428800
"cod",1994,159117400
"cod",1995,158806000
"cod",1996,158494600
"cod",1997,158183200
"cod",1998,157871800
"cod",1999,157560400
"cod",2000,157249000
"cod",2001,156937600
"cod",2002,156626200
"cod",2003,156314800
"cod",2004,156003400
"cod",2005,155692000
"cod",2006,155380600
"cod",2007,155069200
"cod",2008,154757800
"cod",2009,154446400
"cod",2010,154135000
"cod",2011,153823600
"cod",2012,153512200
"cod",2013,153200800
"cod",2014,152889400
"cod",2015,152578000
"ken",1990,4724000
"ken",1991,4607300
"ken",1992,4490600
"ken",1993,4373900
"ken",1994,4257200
"ken",1995,4140500
"ken",1996,4023800
"ken",1997,3907100
"ken",1998,3790400
"ken",1999,3673700
"ken",2000,3557000
"ken",2001,3655000
"ken",2002,3753000
"ken",2003,3851000
"ken",2004,3949000
"ken",2005,4047000
"ken",2006,4083600
"ken",2007,4120200
"ken",2008,4156800
"ken",2009,4193400
"ken",2010,4230000
"ken",2011,4266600
"ken",2012,4303200
"ken",2013,4339800
"ken",2014,4376400
"ken",2015,4413000
"rwa",1990,318000
"rwa",1991,320600
"rwa",1992,323200
"rwa",1993,325800
"rwa",1994,328400
"rwa",1995,331000
"rwa",1996,333600
"rwa",1997,336200
"rwa",1998,338800
"rwa",1999,341400
"rwa",2000,344000
"rwa",2001,352200
"rwa",2002,360400
"rwa",2003,368600
"rwa",2004,376800
"rwa",2005,385000
"rwa",2006,397200
"rwa",2007,409400
"rwa",2008,421600
"rwa",2009,433800
"rwa",2010,446000
"rwa",2011,452800
"rwa",2012,459600
"rwa",2013,466400
"rwa",2014,473200
"rwa",2015,480000
"tza",1990,55920000
"tza",1991,55520000
"tza",1992,55120000
"tza",1993,54720000
"tza",1994,54320000
"tza",1995,53920000
"tza",1996,53520000
"tza",1997,53120000
"tza",1998,52720000
"tza",1999,52320000
"tza",2000,51920000
"tza",2001,51520000
"tza",2002,51120000
"tza",2003,50720000
"tza",2004,50320000
"tza",2005,49920000
"tza",2006,49520000
"tza",2007,49120000
"tza",2008,48720000
"tza",2009,48320000
"tza",2010,47920000
"tza",2011,47548000
"tza",2012,47176000
"tza",2013,46804000
"tza",2014,46432000
"tza",2015,46060000
"uga",1990,4751000
"uga",1991,4662800
"uga",1992,4574600
"uga",1993,4486400
"uga",1994,4398200
"uga",1995,4310000
"uga",1996,4221800
"uga",1997,4133600
"uga",1998,4045400
"uga",1999,3957200
"uga",2000,3869000
"uga",2001,3781000
"uga",2002,3693000
"uga",2003,3605000
"uga",2004,3517000
"uga",2005,3429000
"uga",2006,3293800
"uga",2007,3158600
"uga",2008,3023400
"uga",2009,2888200
"uga",2010,2753000
"uga",2011,2617800
"uga",2012,2482600
"uga",2013,2347400
"uga",2014,2212200
"uga",2015,2077000
