"geo","time","gapminder_gini"
"bdi",1800,35.1
"bdi",1801,35.1
"bdi",1802,35.1
"bdi",1803,35.1
"bdi",1804,35.1
"bdi",1805,35.1
"bdi",1806,35.1
"bdi",1807,35.1
"bdi",1808,35.1
"bdi",1809,35.1
"bdi",1810,35.1
"bdi",1811,35.1
"bdi",1812,35.1
"bdi",1813,35.1
"bdi",1814,35.1
"bdi",1815,35.1
"bdi",1816,35.1
"bdi",1817,35.1
"bdi",1818,35.1
"bdi",1819,35.1
"bdi",1820,35.1
"bdi",1821,35.1
"bdi",1822,35.1
"bdi",1823,35.1
"bdi",1824,35.1
"bdi",1825,35.1
"bdi",1826,35.1
"bdi",1827,35.1
"bdi",1828,35.1
"bdi",1829,35.1
"bdi",1830,35.1
"bdi",1831,35.1
"bdi",1832,35.1
"bdi",1833,35.1
"bdi",1834,35.1
"bdi",1835,35.1
"bdi",1836,35.1
"bdi",1837,35.1
"bdi",1838,35.1
"bdi",1839,35.1
"bdi",1840,35.1
"bdi",1841,35.1
"bdi",1842,35.1
"bdi",1843,35.1
"bdi",1844,35.1
"bdi",1845,35.1
"bdi",1846,35.1
"bdi",1847,35.1
"bdi",1848,35.1
"bdi",1849,35.1
"bdi",1850,35.1
"bdi",1851,35.1
"bdi",1852,35.1
"bdi",1853,35.1
"bdi",1854,35.1
"bdi",1855,35.1
"bdi",1856,35.1
"bdi",1857,35.1
"bdi",1858,35.1
"bdi",1859,35.1
"bdi",1860,35.1
"bdi",1861,35.1
"bdi",1862,35.1
"bdi",1863,35.1
"bdi",1864,35.1
"bdi",1865,35.1
"bdi",1866,35.1
"bdi",1867,35.1
"bdi",1868,35.1
"bdi",1869,35.1
"bdi",1870,35.1
"bdi",1871,35.1
"bdi",1872,35.1
"bdi",1873,35.1
"bdi",1874,35.1
"bdi",1875,35.1
"bdi",1876,35.1
"bdi",1877,35.1
"bdi",1878,35.1
"bdi",1879,35.1
"bdi",1880,35.1
"bdi",1881,35.1
"bdi",1882,35.1
"bdi",1883,35.1
"bdi",1884,35.1
"bdi",1885,35.1
"bdi",1886,35.1
"bdi",1887,35.1
"bdi",1888,35.1
"bdi",1889,35.1
"bdi",1890,35.1
"bdi",1891,35.1
"bdi",1892,35.1
"bdi",1893,35.1
"bdi",1894,35.1
"bdi",1895,35.1
"bdi",1896,35.1
"bdi",1897,35.1
"bdi",1898,35.1
"bdi",1899,35.1
"bdi",1900,35.1
"bdi",1901,35.1
"bdi",1902,35.1
"bdi",1903,35.1
"bdi",1904,35.1
"bdi",1905,35.1
"bdi",1906,35.2
"bdi",1907,35.2
"bdi",1908,35.3
"bdi",1909,35.3
"bdi",1910,35.4
"bdi",1911,35.5
"bdi",1912,35.6
"bdi",1913,35.7
"bdi",1914,35.9
"bdi",1915,36
"bdi",1916,36.2
"bdi",1917,36.3
"bdi",1918,36.5
"bdi",1919,36.7
"bdi",1920,36.9
"bdi",1921,37.1
"bdi",1922,37.3
"bdi",1923,37.4
"bdi",1924,37.6
"bdi",1925,37.7
"bdi",1926,37.9
"bdi",1927,38
"bdi",1928,38.1
"bdi",1929,38.1
"bdi",1930,38.2
"bdi",1931,38.2
"bdi",1932,38.2
"bdi",1933,38.2
"bdi",1934,38.2
"bdi",1935,38.1
"bdi",1936,38
"bdi",1937,38
"bdi",1938,37.9
"bdi",1939,37.8
"bdi",1940,37.7
"bdi",1941,37.6
"bdi",1942,37.5
"bdi",1943,37.4
"bdi",1944,37.3
"bdi",1945,37.2
"bdi",1946,37.1
"bdi",1947,37
"bdi",1948,37
"bdi",1949,36.9
"bdi",1950,36.8
"bdi",1951,36.7
"bdi",1952,36.6
"bdi",1953,36.5
"bdi",1954,36.4
"bdi",1955,36.3
"bdi",1956,36.2
"bdi",1957,36.1
"bdi",1958,36
"bdi",1959,36
"bdi",1960,35.9
"bdi",1961,35.8
"bdi",1962,35.7
"bdi",1963,35.6
"bdi",1964,35.5
"bdi",1965,35.4
"bdi",1966,35.3
"bdi",1967,35.2
"bdi",1968,35.1
"bdi",1969,35
"bdi",1970,34.9
"bdi",1971,34.8
"bdi",1972,34.7
"bdi",1973,34.6
"bdi",1974,34.5
"bdi",1975,34.4
"bdi",1976,34.4
"bdi",1977,34.3
"bdi",1978,34.2
"bdi",1979,34.1
"bdi",1980,34
"bdi",1981,33.9
"bdi",1982,33.8
"bdi",1983,33.7
"bdi",1984,33.6
"bdi",1985,33.5
"bdi",1986,33.4
"bdi",1987,33.4
"bdi",1988,33.3
"bdi",1989,33.2
"bdi",1990,33.2
"bdi",1991,33.5
"bdi",1992,34
"bdi",1993,34.9
"bdi",1994,35.9
"bdi",1995,37.2
"bdi",1996,38.5
"bdi",1997,39.8
"bdi",1998,40.5
"bdi",1999,40.8
"bdi",2000,40.6
"bdi",2001,39.8
"bdi",2002,38.5
"bdi",2003,37.2
"bdi",2004,35.9
"bdi",2005,35
"bdi",2006,34.5
"bdi",2007,34.4
"bdi",2008,34.7
"bdi",2009,35.3
"bdi",2010,36
"bdi",2011,36.6
"bdi",2012,37.3
"bdi",2013,37.8
"bdi",2014,38.2
"bdi",2015,38.5
"bdi",2016,38.6
"bdi",2017,38.6
"bdi",2018,38.6
"bdi",2019,38.6
"bdi",2020,38.6
"bdi",2021,38.6
"bdi",2022,38.6
"bdi",2023,38.6
"bdi",2024,38.6
"bdi",2025,38.6
"bdi",2026,38.6
"bdi",2027,38.6
"bdi",2028,38.6
"bdi",2029,38.6
"bdi",2030,38.6
"bdi",2031,38.6
"bdi",2032,38.6
"bdi",2033,38.6
"bdi",2034,38.6
"bdi",2035,38.6
"bdi",2036,38.6
"bdi",2037,38.6
"bdi",2038,38.6
"bdi",2039,38.6
"bdi",2040,38.6
"cod",1800,40.4
"cod",1801,40.4
"cod",1802,40.4
"cod",1803,40.4
"cod",1804,40.4
"cod",1805,40.4
"cod",1806,40.4
"cod",1807,40.4
"cod",1808,40.4
"cod",1809,40.4
"cod",1810,40.4
"cod",1811,40.4
