"geo","time","gdp_total_yearly_growth"
"bdi",1801,0.07778
"bdi",1802,0.07778
"bdi",1803,0.07778
"bdi",1804,0.07778
"bdi",1805,0.07778
"bdi",1806,0.07778
"bdi",1807,0.07778
"bdi",1808,0.07778
"bdi",1809,0.07778
"bdi",1810,0.07778
"bdi",1811,0.07778
"bdi",1812,0.07778
"bdi",1813,0.07778
"bdi",1814,0.07778
"bdi",1815,0.07778
"bdi",1816,0.07778
"bdi",1817,0.07778
"bdi",1818,0.07778
"bdi",1819,0.07778
"bdi",1820,0.07778
"bdi",1821,0.8545
"bdi",1822,0.8545
"bdi",1823,0.8544
"bdi",1824,0.8545
"bdi",1825,0.8545
"bdi",1826,0.8545
"bdi",1827,0.8545
"bdi",1828,0.8544
"bdi",1829,0.8545
"bdi",1830,0.8545
"bdi",1831,0.8545
"bdi",1832,0.8545
"bdi",1833,0.8545
"bdi",1834,0.8544
"bdi",1835,0.8545
"bdi",1836,0.8545
"bdi",1837,0.8544
"bdi",1838,0.8545
"bdi",1839,0.8545
"bdi",1840,0.8544
"bdi",1841,0.8545
"bdi",1842,0.8545
"bdi",1843,0.8544
"bdi",1844,0.8545
"bdi",1845,0.8544
"bdi",1846,0.8545
"bdi",1847,0.8544
"bdi",1848,0.8544
"bdi",1849,0.8545
"bdi",1850,0.8544
"bdi",1851,0.8545
"bdi",1852,0.8545
"bdi",1853,0.8544
"bdi",1854,0.8545
"bdi",1855,0.8544
"bdi",1856,0.8545
"bdi",1857,0.8545
"bdi",1858,0.8545
"bdi",1859,0.8544
"bdi",1860,0.8545
"bdi",1861,0.8544
"bdi",1862,0.8545
"bdi",1863,0.8545
"bdi",1864,0.8544
"bdi",1865,0.8545
"bdi",1866,0.8545
"bdi",1867,0.8545
"bdi",1868,0.8545
"bdi",1869,0.8545
"bdi",1870,0.8545
"bdi",1871,0.8544
"bdi",1872,0.8545
"bdi",1873,0.8545
"bdi",1874,0.8544
"bdi",1875,0.8545
"bdi",1876,0.8544
"bdi",1877,0.8545
"bdi",1878,0.8545
"bdi",1879,0.8544
"bdi",1880,0.8545
"bdi",1881,0.8545
"bdi",1882,0.8545
"bdi",1883,0.8545
"bdi",1884,0.8545
"bdi",1885,0.8544
"bdi",1886,0.8544
"bdi",1887,0.8545
"bdi",1888,0.8545
"bdi",1889,0.8545
"bdi",1890,0.8545
"bdi",1891,0.8545
"bdi",1892,0.8545
"bdi",1893,0.8544
"bdi",1894,0.8545
"bdi",1895,0.8544
"bdi",1896,0.8544
"bdi",1897,0.8545
"bdi",1898,0.8545
"bdi",1899,0.8545
"bdi",1900,0.8544
"bdi",1901,0.8545
"bdi",1902,0.8545
"bdi",1903,0.8545
"bdi",1904,0.8544
"bdi",1905,0.8545
"bdi",1906,0.8545
"bdi",1907,0.8545
"bdi",1908,0.8544
"bdi",1909,0.8545
"bdi",1910,0.8545
"bdi",1911,0.8544
"bdi",1912,0.8545
"bdi",1913,0.8545
"bdi",1914,0.8544
"bdi",1915,0.8545
"bdi",1916,0.8545
"bdi",1917,0.8545
"bdi",1918,0.8544
"bdi",1919,0.8545
"bdi",1920,0.8544
"bdi",1921,0.8545
"bdi",1922,0.8545
"bdi",1923,0.8544
"bdi",1924,0.8545
"bdi",1925,0.8545
"bdi",1926,0.8545
"bdi",1927,0.8545
"bdi",1928,0.8544
"bdi",1929,0.8545
"bdi",1930,0.8545
"bdi",1931,0.8545
"bdi",1932,0.8545
"bdi",1933,0.8545
"bdi",1934,0.8545
"bdi",1935,0.8545
"bdi",1936,0.8545
"bdi",1937,0.8545
"bdi",1938,0.8545
"bdi",1939,0.8545
"bdi",1940,0.8545
"bdi",1941,0.8545
"bdi",1942,0.8545
"bdi",1943,0.8544
"bdi",1944,0.8545
"bdi",1945,0.8545
"bdi",1946,0.8545
"bdi",1947,0.8544
"bdi",1948,0.8545
"bdi",1949,0.8545
"bdi",1950,0.8545
"bdi",1951,5.95
