"geo","time","gdppercapita_growth_over_next_10_years"
"bdi",1800,0.07778
"bdi",1801,0.07778
"bdi",1802,0.07778
"bdi",1803,0.07778
"bdi",1804,0.07778
"bdi",1805,0.07778
"bdi",1806,0.07778
"bdi",1807,0.07778
"bdi",1808,0.07778
"bdi",1809,0.07778
"bdi",1810,0.07778
"bdi",1811,0.07778
"bdi",1812,0.07778
"bdi",1813,0.07778
"bdi",1814,0.07778
"bdi",1815,0.07778
"bdi",1816,0.07778
"bdi",1817,0.07778
"bdi",1818,0.07778
"bdi",1819,0.07778
"bdi",1820,0.07778
"bdi",1821,0.07778
"bdi",1822,0.07778
"bdi",1823,0.07778
"bdi",1824,0.07778
"bdi",1825,0.07778
"bdi",1826,0.07778
"bdi",1827,0.07778
"bdi",1828,0.07778
"bdi",1829,0.07778
"bdi",1830,0.07778
"bdi",1831,0.07778
"bdi",1832,0.07778
"bdi",1833,0.07778
"bdi",1834,0.07778
"bdi",1835,0.07778
"bdi",1836,0.07778
"bdi",1837,0.07778
"bdi",1838,0.07778
"bdi",1839,0.07778
"bdi",1840,0.07778
"bdi",1841,0.07778
"bdi",1842,0.07778
"bdi",1843,0.07778
"bdi",1844,0.07778
"bdi",1845,0.07778
"bdi",1846,0.07778
"bdi",1847,0.07778
"bdi",1848,0.07778
"bdi",1849,0.07778
"bdi",1850,0.07778
"bdi",1851,0.07778
"bdi",1852,0.07778
"bdi",1853,0.07778
"bdi",1854,0.07778
"bdi",1855,0.07778
"bdi",1856,0.07778
"bdi",1857,0.07778
"bdi",1858,0.07778
"bdi",1859,0.07778
"bdi",1860,0.07778
"bdi",1861,0.07778
"bdi",1862,0.07778
"bdi",1863,0.07778
"bdi",1864,0.07778
"bdi",1865,0.07778
"bdi",1866,0.07778
"bdi",1867,0.07778
"bdi",1868,0.07778
"bdi",1869,0.07778
"bdi",1870,0.07778
"bdi",1871,0.07778
"bdi",1872,0.07778
"bdi",1873,0.07778
"bdi",1874,0.07778
"bdi",1875,0.07778
"bdi",1876,0.07778
"bdi",1877,0.07778
"bdi",1878,0.07778
"bdi",1879,0.07778
"bdi",1880,0.07778
"bdi",1881,0.07778
"bdi",1882,0.07778
"bdi",1883,0.07778
"bdi",1884,0.07778
"bdi",1885,0.07778
"bdi",1886,0.07778
"bdi",1887,0.07778
"bdi",1888,0.07778
"bdi",1889,0.07778
"bdi",1890,0.07778
"bdi",1891,0.07778
"bdi",1892,0.07778
"bdi",1893,0.07778
"bdi",1894,0.07778
"bdi",1895,0.07778
"bdi",1896,0.07778
"bdi",1897,0.07778
"bdi",1898,0.07778
"bdi",1899,0.07778
"bdi",1900,0.07778
"bdi",1901,0.07778
"bdi",1902,0.07778
"bdi",1903,0.07778
"bdi",1904,0.07778
"bdi",1905,0.07778
"bdi",1906,0.07778
"bdi",1907,0.07778
"bdi",1908,0.07778
"bdi",1909,0.07778
"bdi",1910,0.07778
"bdi",1911,0.07778
"bdi",1912,0.07778
"bdi",1913,0.07778
"bdi",1914,0.07778
"bdi",1915,0.07778
"bdi",1916,0.07778
"bdi",1917,0.07778
"bdi",1918,0.07778
"bdi",1919,0.07778
"bdi",1920,0.07778
"bdi",1921,0.07778
"bdi",1922,0.07778
"bdi",1923,0.07778
"bdi",1924,0.07778
"bdi",1925,0.07778
"bdi",1926,0.07778
"bdi",1927,0.07778
"bdi",1928,0.07778
"bdi",1929,0.07778
"bdi",1930,0.07778
"bdi",1931,0.07778
"bdi",1932,0.07778
"bdi",1933,0.07778
"bdi",1934,0.07778
"bdi",1935,0.07778
"bdi",1936,0.07778
"bdi",1937,0.07778
"bdi",1938,0.07778
"bdi",1939,0.07778
"bdi",1940,0.07778
"bdi",1941,0.4526
"bdi",1942,0.58
"bdi",1943,0.7962
"bdi",1944,1.151
"bdi",1945,1.284
"bdi",1946,1.478
"bdi",1947,1.675
"bdi",1948,1.769
"bdi",1949,2.15
"bdi",1950,2.107
"bdi",1951,-0.04473
"bdi",1952,0.4592
"bdi",1953,0.4851
"bdi",1954,0.4494
"bdi",1955,0.4154
"bdi",1956,0.4081
"bdi",1957,0.8473
"bdi",1958,0.426
"bdi",1959,-0.2592
"bdi",1960,1.988
"bdi",1961,4.357
"bdi",1962,2.71
"bdi",1963,3.141
"bdi",1964,2.565
"bdi",1965,2.331
"bdi",1966,2.709
"bdi",1967,3.02
"bdi",1968,2.98
"bdi",1969,3.009
"bdi",1970,1.112
"bdi",1971,1.188
"bdi",1972,1.889
"bdi",1973,1.278
"bdi",1974,1.27
"bdi",1975,2.302
"bdi",1976,1.914
"bdi",1977,1.123
"bdi",1978,1.595
"bdi",1979,1.789
"bdi",1980,1.563
"bdi",1981,1.188
"bdi",1982,1.219
"bdi",1983,0.8497
"bdi",1984,0.6277
"bdi",1985,-1.681
"bdi",1986,-2.753
"bdi",1987,-2.904
"bdi",1988,-2.789
"bdi",1989,-3.089
"bdi",1990,-3.45
"bdi",1991,-3.764
"bdi",1992,-3.412
"bdi",1993,-3.549
"bdi",1994,-2.995
