"geo","time","gdppercapita_growth_percent_per_year"
"bdi",1961,-15.373
"bdi",1962,7.02777
"bdi",1963,2.14948
"bdi",1964,4.12231
"bdi",1965,1.70347
"bdi",1966,2.12944
"bdi",1967,10.96016
"bdi",1968,-2.76952
"bdi",1969,-3.65362
"bdi",1970,19.0838
"bdi",1971,1.28758
"bdi",1972,-7.42485
"bdi",1973,5.86024
"bdi",1974,-1.82682
"bdi",1975,-0.75321
"bdi",1976,5.97513
"bdi",1977,9.09097
"bdi",1978,-3.28367
"bdi",1979,-0.85664
"bdi",1980,-1.54811
"bdi",1981,9.338
"bdi",1982,-3.56965
"bdi",1983,1.0263
"bdi",1984,-2.52979
"bdi",1985,8.67426
"bdi",1986,0.27525
"bdi",1987,2.41121
"bdi",1988,1.9999
"bdi",1989,-1.41587
"bdi",1990,0.91222
"bdi",1991,2.59771
"bdi",1992,-1.11491
"bdi",1993,-8.03123
"bdi",1994,-5.47131
"bdi",1995,-9.31696
"bdi",1996,-9.20391
"bdi",1997,-2.73292
"bdi",1998,3.49268
"bdi",1999,-2.46969
"bdi",2000,-2.74295
"bdi",2001,-0.35902
"bdi",2002,1.56887
"bdi",2003,-4.22893
"bdi",2004,1.48628
"bdi",2005,-2.37356
"bdi",2006,1.92395
"bdi",2007,1.29848
"bdi",2008,1.55996
"bdi",2009,0.09506
"bdi",2010,0.49604
"bdi",2011,1.00513
"bdi",2012,0.93661
"bdi",2013,1.53827
"bdi",2014,1.57558
"bdi",2015,-6.81766
"bdi",2016,-3.63952
"bdi",2017,-2.62782
"cod",1961,-13.07176
"cod",1962,18.1518
"cod",1963,2.52536
"cod",1964,-4.99115
"cod",1965,-1.71198
"cod",1966,3.8344
"cod",1967,-3.76753
"cod",1968,1.38149
"cod",1969,6.26284
"cod",1970,-2.9921
"cod",1971,3.15457
"cod",1972,-2.49145
"cod",1973,5.29989
"cod",1974,0.39189
"cod",1975,-7.55971
"cod",1976,-7.94869
"cod",1977,-2.10018
"cod",1978,-8.02739
"cod",1979,-2.33772
"cod",1980,-0.50203
"cod",1981,-0.23102
"cod",1982,-2.89213
"cod",1983,-1.04296
"cod",1984,2.944
"cod",1985,-2.09389
"cod",1986,1.97905
"cod",1987,-0.07281
"cod",1988,-2.36105
"cod",1989,-4.27917
"cod",1990,-9.67007
"cod",1991,-11.73653
"cod",1992,-13.93017
"cod",1993,-16.78346
"cod",1994,-7.33634
"cod",1995,-2.50056
"cod",1996,-3.74182
"cod",1997,-7.89877
"cod",1998,-3.84084
"cod",1999,-6.47708
"cod",2000,-9.23976
"cod",2001,-4.76634
"cod",2002,-0.02983
"cod",2003,2.38465
"cod",2004,3.42924
"cod",2005,2.80626
"cod",2006,1.98394
"cod",2007,2.84974
"cod",2008,2.78428
"cod",2009,-0.50012
"cod",2010,3.59904
"cod",2011,3.36577
"cod",2012,3.57044
"cod",2013,4.92651
"cod",2014,5.89642
"cod",2015,3.4451
"cod",2016,-0.90338
"cod",2017,0.38121
"ken",1961,-10.59829
"ken",1962,6.06376
"ken",1963,5.36605
"ken",1964,1.63607
"ken",1965,-1.25944
"ken",1966,11.01665
"ken",1967,-0.018
"ken",1968,4.40706
"ken",1969,4.32866
"ken",1970,-7.91573
"ken",1971,17.92915
"ken",1972,12.95778
"ken",1973,2.12158
"ken",1974,0.32062
"ken",1975,-2.77585
"ken",1976,-1.56878
"ken",1977,5.44889
"ken",1978,2.98062
"ken",1979,3.63118
"ken",1980,1.65791
"ken",1981,-0.11105
"ken",1982,-2.29582
"ken",1983,-2.4678
"ken",1984,-1.99703
"ken",1985,0.51367
"ken",1986,3.35193
"ken",1987,2.2217
"ken",1988,2.55103
"ken",1989,1.16762
"ken",1990,0.76617
"ken",1991,-1.82171
"ken",1992,-3.91632
"ken",1993,-2.72574
"ken",1994,-0.43815
"ken",1995,1.35964
"ken",1996,1.1821
