"geo","time","gdppercapita_us_inflation_adjusted"
"bdi",1960,214.13695
"bdi",1961,181.21768
"bdi",1962,193.95324
"bdi",1963,198.12222
"bdi",1964,206.28944
"bdi",1965,209.80351
"bdi",1966,214.27114
"bdi",1967,237.7556
"bdi",1968,231.17092
"bdi",1969,222.72481
"bdi",1970,265.22918
"bdi",1971,268.64421
"bdi",1972,248.69779
"bdi",1973,263.27208
"bdi",1974,258.46259
"bdi",1975,256.51582
"bdi",1976,271.84296
"bdi",1977,296.55611
"bdi",1978,286.81818
"bdi",1979,284.36119
"bdi",1980,279.95897
"bdi",1981,306.10152
"bdi",1982,295.17478
"bdi",1983,298.20417
"bdi",1984,290.66022
"bdi",1985,315.87285
"bdi",1986,316.74231
"bdi",1987,324.37964
"bdi",1988,330.86692
"bdi",1989,326.18228
"bdi",1990,329.15778
"bdi",1991,337.70835
"bdi",1992,333.94322
"bdi",1993,307.12348
"bdi",1994,290.31982
"bdi",1995,263.27085
"bdi",1996,239.03963
"bdi",1997,232.50687
"bdi",1998,240.6276
"bdi",1999,234.68485
"bdi",2000,228.24757
"bdi",2001,227.42811
"bdi",2002,230.99615
"bdi",2003,221.22748
"bdi",2004,224.51555
"bdi",2005,219.18655
"bdi",2006,223.40359
"bdi",2007,226.30444
"bdi",2008,229.8347
"bdi",2009,230.05317
"bdi",2010,231.19433
"bdi",2011,233.51813
"bdi",2012,235.70529
"bdi",2013,239.33107
"bdi",2014,243.10191
"bdi",2015,226.52806
"bdi",2016,218.28353
"bdi",2017,212.54742
"cod",1960,1038.93255
"cod",1961,903.12577
"cod",1962,1067.05938
"cod",1963,1094.00646
"cod",1964,1039.40291
"cod",1965,1021.60854
"cod",1966,1060.78109
"cod",1967,1020.81586
"cod",1968,1034.91831
"cod",1969,1099.73364
"cod",1970,1066.82856
"cod",1971,1100.48242
"cod",1972,1073.06448
"cod",1973,1129.93568
"cod",1974,1134.36376
"cod",1975,1048.60913
"cod",1976,965.25848
"cod",1977,944.98628
"cod",1978,869.12856
"cod",1979,848.8108
"cod",1980,844.54953
"cod",1981,842.59842
"cod",1982,818.22934
"cod",1983,809.69551
"cod",1984,833.53298
"cod",1985,816.0797
"cod",1986,832.2303
"cod",1987,831.62437
"cod",1988,811.98931
"cod",1989,777.24287
"cod",1990,702.08295
"cod",1991,619.68274
"cod",1992,533.35988
"cod",1993,443.84366
"cod",1994,411.28179
"cod",1995,400.99743
"cod",1996,385.99283
"cod",1997,355.50414
"cod",1998,341.8498
"cod",1999,319.70793
"cod",2000,290.16769
"cod",2001,276.33733
"cod",2002,276.25489
"cod",2003,282.84261
"cod",2004,292.54195
"cod",2005,300.75145
"cod",2006,306.71818
"cod",2007,315.45883
"cod",2008,324.24209
"cod",2009,322.62049
"cod",2010,334.23174
"cod",2011,345.48122
"cod",2012,357.81641
"cod",2013,375.44427
"cod",2014,397.58202
"cod",2015,411.27914
"cod",2016,407.56371
"cod",2017,409.11737
"ken",1960,538.43177
"ken",1961,481.36724
"ken",1962,510.55621
"ken",1963,537.95292
"ken",1964,546.75419
"ken",1965,539.86814
"ken",1966,599.34353
"ken",1967,599.23563
"ken",1968,625.64429
"ken",1969,652.72629
"ken",1970,601.05825
"ken",1971,708.8229
"ken",1972,800.67059
"ken",1973,817.65746
"ken",1974,820.27903
"ken",1975,797.5093
"ken",1976,784.99812
"ken",1977,827.77183
"ken",1978,852.44453
"ken",1979,883.39832
"ken",1980,898.04425
"ken",1981,897.04696
"ken",1982,876.45238
"ken",1983,854.82328
"ken",1984,837.75217
"ken",1985,842.05544
"ken",1986,870.28052
"ken",1987,889.61559
"ken",1988,912.30991
"ken",1989,922.96219
"ken",1990,930.03364
"ken",1991,913.09114
"ken",1992,877.33153
"ken",1993,853.41779
"ken",1994,849.67856
"ken",1995,861.23114
