"geo","time","gdpperemployee_us_inflation_adjusted"
"bdi",1991,734.797
"bdi",1992,738.408
"bdi",1993,688.64
"bdi",1994,659.261
"bdi",1995,604.591
"bdi",1996,555.09
"bdi",1997,545.725
"bdi",1998,570.495
"bdi",1999,559.725
"bdi",2000,547.379
"bdi",2001,541.092
"bdi",2002,545.095
"bdi",2003,517.887
"bdi",2004,521.861
"bdi",2005,506.474
"bdi",2006,514.524
"bdi",2007,519.913
"bdi",2008,527.282
"bdi",2009,527.346
"bdi",2010,529.833
"bdi",2011,538.731
"bdi",2012,546.93
"bdi",2013,558.39
"bdi",2014,570.41
"bdi",2015,530.394
"bdi",2016,510.221
"bdi",2017,493.449
"bdi",2018,478.387
"bdi",2019,484.953
"bdi",2020,493.847
"bdi",2021,503.646
"bdi",2022,515.924
"cod",1991,1554.657
"cod",1992,1338.196
"cod",1993,1113.14
"cod",1994,1031.66
"cod",1995,1006.31
"cod",1996,969.513
"cod",1997,892.897
"cod",1998,858.793
"cod",1999,802.787
"cod",2000,727.971
"cod",2001,694.186
"cod",2002,695.003
"cod",2003,712.403
"cod",2004,737.471
"cod",2005,758.511
"cod",2006,774.837
"cod",2007,798.029
"cod",2008,821.019
"cod",2009,817.024
"cod",2010,847.05
"cod",2011,876.735
"cod",2012,909.575
"cod",2013,955.409
"cod",2014,1012.557
"cod",2015,1046.769
"cod",2016,1035.059
"cod",2017,1033.294
"cod",2018,1035.801
"cod",2019,1046.253
"cod",2020,1065.474
"cod",2021,1090.003
"cod",2022,1119.08
"ken",1991,2690.511
"ken",1992,2569.912
"ken",1993,2483.786
"ken",1994,2457.93
"ken",1995,2476.946
"ken",1996,2497.136
"ken",1997,2429.747
"ken",1998,2436.057
"ken",1999,2415.815
"ken",2000,2387.797
"ken",2001,2449.972
"ken",2002,2428.09
"ken",2003,2467.374
"ken",2004,2563.768
"ken",2005,2689.275
"ken",2006,2778.052
"ken",2007,2881.568
"ken",2008,2794.667
"ken",2009,2803.792
"ken",2010,2943.829
"ken",2011,3018.673
"ken",2012,3049.27
"ken",2013,3122.162
"ken",2014,3180.933
"ken",2015,3255.46
"ken",2016,3336.733
"ken",2017,3403.561
"ken",2018,3510.734
"ken",2019,3644.081
"ken",2020,3770.577
"ken",2021,3896.193
"ken",2022,4029.106
"rwa",1991,789.747
"rwa",1992,866.148
"rwa",1993,827.077
"rwa",1994,420.543
"rwa",1995,566.924
"rwa",1996,618.586
"rwa",1997,663.196
"rwa",1998,672.995
"rwa",1999,658.402
"rwa",2000,678.454
"rwa",2001,707.44
"rwa",2002,777.034
"rwa",2003,776.114
"rwa",2004,816.713
"rwa",2005,873.955
"rwa",2006,931.157
"rwa",2007,977.544
"rwa",2008,1059.787
"rwa",2009,1097.559
"rwa",2010,1147.905
"rwa",2011,1207.397
"rwa",2012,1281.714
"rwa",2013,1289.521
"rwa",2014,1334.194
"rwa",2015,1413.29
"rwa",2016,1456.011
"rwa",2017,1509.987
"rwa",2018,1575.78
"rwa",2019,1648.54
"rwa",2020,1727.838
"rwa",2021,1812.674
"rwa",2022,1900.719
"ssd",1991,2072.512
"ssd",1992,1962.956
"ssd",1993,3381.438
"ssd",1994,3272.973
"ssd",1995,3371.708
"ssd",1996,3461.283
"ssd",1997,3618.223
"ssd",1998,3638.377
"ssd",1999,3654.782
"ssd",2000,3660.066
"ssd",2001,3701.282
"ssd",2002,3799.59
"ssd",2003,3796.667
"ssd",2004,3889.401
"ssd",2005,3977.977
"ssd",2006,4052.566
"ssd",2007,4158.17
"ssd",2008,4222.626
"ssd",2009,4235.228
"ssd",2010,4280.333
"ssd",2011,3941.518
"ssd",2012,2057.25
"ssd",2013,2220.712
"ssd",2014,2229.729
"ssd",2015,2022.256
"ssd",2016,1684.45
"ssd",2017,1445.423
"ssd",2018,1344.281
"ssd",2019,1267.786
"ssd",2020,1196.63
"ssd",2021,1146.763
"ssd",2022,1099.743
"tza",1991,1091.394
"tza",1992,1062.508
"tza",1993,1040.478
"tza",1994,1023.326
"tza",1995,1027.838
"tza",1996,1046.794
"tza",1997,1056.191
"tza",1998,1068.106
"tza",1999,1091.92
"tza",2000,1116.501
"tza",2001,1153.241
"tza",2002,1183.446
"tza",2003,1233.362
"tza",2004,1296.026
"tza",2005,1364.761
"tza",2006,1389.936
"tza",2007,1453.094
"tza",2008,1477.223
"tza",2009,1490.666
"tza",2010,1543.263
"tza",2011,1621.777
"tza",2012,1644.177
"tza",2013,1703.187
"tza",2014,1751.644
"tza",2015,1814.67
"tza",2016,1879.41
"tza",2017,1943.804
"tza",2018,2014.264
"tza",2019,2091.048
"tza",2020,2168.438
"tza",2021,2239.139
"tza",2022,2309.886
"uga",1991,862.485
"uga",1992,866.264
"uga",1993,913.57
"uga",1994,945.934
"uga",1995,1025.996
"uga",1996,1092.656
"uga",1997,1119.839
"uga",1998,1144.31
"uga",1999,1202.882
"uga",2000,1204.739
"uga",2001,1230.499
"uga",2002,1296.712
"uga",2003,1329.336
"uga",2004,1360.658
"uga",2005,1385.38
"uga",2006,1488.375
"uga",2007,1563.53
"uga",2008,1645.824
"uga",2009,1699.815
"uga",2010,1724.692
"uga",2011,1813.103
"uga",2012,1805.155
"uga",2013,1772.301
"uga",2014,1798.363
"uga",2015,1820.702
"uga",2016,1837.977
"uga",2017,1890.379
"uga",2018,1937.822
"uga",2019,1997.644
"uga",2020,2060.823
"uga",2021,2129.058
"uga",2022,2180.378
