"geo","time","gnipercapita_atlasmethod_current_us"
"bdi",1962,70
"bdi",1963,80
"bdi",1964,80
"bdi",1965,70
"bdi",1966,60
"bdi",1967,60
"bdi",1968,50
"bdi",1969,50
"bdi",1970,70
"bdi",1971,70
"bdi",1972,70
"bdi",1973,80
"bdi",1974,100
"bdi",1975,110
"bdi",1976,120
"bdi",1977,140
"bdi",1978,150
"bdi",1979,180
"bdi",1980,220
"bdi",1981,250
"bdi",1982,240
"bdi",1983,230
"bdi",1984,220
"bdi",1985,240
"bdi",1986,250
"bdi",1987,260
"bdi",1988,250
"bdi",1989,230
"bdi",1990,220
"bdi",1991,220
"bdi",1992,210
"bdi",1993,180
"bdi",1994,160
"bdi",1995,150
"bdi",1996,140
"bdi",1997,150
"bdi",1998,150
"bdi",1999,140
"bdi",2000,130
"bdi",2001,130
"bdi",2002,130
"bdi",2003,120
"bdi",2004,120
"bdi",2005,130
"bdi",2006,150
"bdi",2007,170
"bdi",2008,190
"bdi",2009,190
"bdi",2010,210
"bdi",2011,230
"bdi",2012,260
"bdi",2013,280
"bdi",2014,290
"bdi",2015,280
"bdi",2016,280
"bdi",2017,290
"cod",1984,950
"cod",1985,350
"cod",1986,260
"cod",1987,230
"cod",1988,260
"cod",1989,250
"cod",1990,240
"cod",1991,290
"cod",1992,610
"cod",1994,380
"cod",1995,180
"cod",1996,130
"cod",1997,120
"cod",1998,120
"cod",1999,110
"cod",2000,130
"cod",2001,140
"cod",2002,190
"cod",2003,170
"cod",2004,190
"cod",2005,210
"cod",2006,230
"cod",2007,260
"cod",2008,290
"cod",2009,300
"cod",2010,320
"cod",2011,340
"cod",2012,380
"cod",2013,410
"cod",2014,440
"cod",2015,460
"cod",2016,460
"cod",2017,450
"ken",1962,100
"ken",1963,100
"ken",1964,110
"ken",1965,110
"ken",1966,120
"ken",1967,120
"ken",1968,130
"ken",1969,140
"ken",1970,130
"ken",1971,160
"ken",1972,190
"ken",1973,200
"ken",1974,230
"ken",1975,250
"ken",1976,250
"ken",1977,280
"ken",1978,330
"ken",1979,400
"ken",1980,460
"ken",1981,450
"ken",1982,400
"ken",1983,340
"ken",1984,320
"ken",1985,310
"ken",1986,340
"ken",1987,380
"ken",1988,410
"ken",1989,400
"ken",1990,380
"ken",1991,350
"ken",1992,330
"ken",1993,270
"ken",1994,260
"ken",1995,270
"ken",1996,340
"ken",1997,390
"ken",1998,440
"ken",1999,430
"ken",2000,420
"ken",2001,400
"ken",2002,390
"ken",2003,410
"ken",2004,460
"ken",2005,520
"ken",2006,590
"ken",2007,710
"ken",2008,840
"ken",2009,910
"ken",2010,980
"ken",2011,1010
"ken",2012,1070
"ken",2013,1150
"ken",2014,1260
"ken",2015,1310
"ken",2016,1380
"ken",2017,1440
"rwa",1962,40
"rwa",1963,40
"rwa",1964,40
"rwa",1965,40
"rwa",1966,40
"rwa",1967,50
"rwa",1968,50
"rwa",1969,50
"rwa",1970,60
"rwa",1971,60
"rwa",1972,60
"rwa",1973,70
"rwa",1974,80
"rwa",1975,100
"rwa",1976,130
"rwa",1977,160
"rwa",1978,180
"rwa",1979,230
"rwa",1980,270
"rwa",1981,280
"rwa",1982,270
"rwa",1983,260
"rwa",1984,250
"rwa",1985,260
"rwa",1986,300
"rwa",1987,320
"rwa",1988,360
"rwa",1989,350
"rwa",1990,350
"rwa",1991,320
"rwa",1992,340
"rwa",1993,310
"rwa",1994,150
"rwa",1995,210
"rwa",1996,220
"rwa",1997,260
"rwa",1998,260
"rwa",1999,260
"rwa",2000,240
"rwa",2001,220
"rwa",2002,220
"rwa",2003,210
"rwa",2004,230
"rwa",2005,270
"rwa",2006,320
"rwa",2007,370
"rwa",2008,450
"rwa",2009,510
"rwa",2010,560
"rwa",2011,610
"rwa",2012,660
"rwa",2013,680
"rwa",2014,700
"rwa",2015,710
"rwa",2016,710
"rwa",2017,720
"ssd",2013,1100
"ssd",2014,1190
"ssd",2015,1020
"ssd",2016,390
"tza",1990,200
"tza",1991,180
"tza",1992,180
"tza",1993,170
"tza",1994,160
"tza",1995,170
"tza",1996,190
"tza",1997,210
"tza",1998,240
"tza",1999,280
"tza",2000,300
"tza",2001,300
"tza",2002,310
"tza",2003,320
"tza",2004,350
"tza",2005,400
"tza",2006,450
"tza",2007,510
"tza",2008,580
"tza",2009,630
"tza",2010,690
"tza",2011,730
"tza",2012,770
"tza",2013,840
"tza",2014,920
"tza",2015,910
"tza",2016,900
"tza",2017,910
"uga",1984,180
"uga",1985,190
"uga",1986,250
"uga",1987,310
"uga",1988,400
"uga",1989,400
"uga",1990,320
"uga",1991,240
"uga",1992,190
"uga",1993,180
"uga",1994,180
"uga",1995,230
"uga",1996,270
"uga",1997,290
"uga",1998,290
"uga",1999,280
"uga",2000,270
"uga",2001,240
"uga",2002,250
"uga",2003,250
"uga",2004,270
"uga",2005,300
"uga",2006,340
"uga",2007,370
"uga",2008,420
"uga",2009,490
"uga",2010,540
"uga",2011,600
"uga",2012,610
"uga",2013,620
"uga",2014,660
"uga",2015,670
"uga",2016,630
"uga",2017,600
