"geo","time","gnipercapita_constant_2010_us"
"bdi",1997,229.76047
"bdi",1998,238.6802
"bdi",1999,231.6931
"bdi",2000,231.96833
"bdi",2001,224.52488
"bdi",2002,227.48532
"bdi",2003,216.56184
"bdi",2004,218.17293
"bdi",2005,215.84632
"bdi",2006,222.13031
"bdi",2007,225.46163
"bdi",2008,229.38661
"bdi",2009,227.96112
"bdi",2010,229.81414
"bdi",2011,231.84672
"bdi",2012,234.94161
"bdi",2013,239.64618
"bdi",2014,242.6752
"bdi",2015,226.53526
"bdi",2016,218.35279
"cod",1993,420.24833
"cod",1994,367.79199
"cod",1995,350.84299
"cod",1996,365.5936
"cod",1997,334.94274
"cod",1998,323.91149
"cod",1999,292.39359
"cod",2000,285.3284
"cod",2001,263.38284
"cod",2002,267.96955
"cod",2003,276.43229
"cod",2004,284.52497
"cod",2005,288.72685
"cod",2006,297.47465
"cod",2007,303.73878
"cod",2008,303.74146
"cod",2009,309.79039
"cod",2010,320.1162
"cod",2011,326.91553
"cod",2012,335.68599
"cod",2013,337.64257
"cod",2014,359.40599
"cod",2015,378.32755
"cod",2016,399.38122
"cod",2017,401.3744
"ken",1964,528.31638
"ken",1965,523.89231
"ken",1966,579.50912
"ken",1967,578.34014
"ken",1968,605.81854
"ken",1969,640.11955
"ken",1970,591.4903
"ken",1971,697.97569
"ken",1972,786.92712
"ken",1973,783.98483
"ken",1974,792.29415
"ken",1975,775.65355
"ken",1976,753.36262
"ken",1977,797.10824
"ken",1978,822.10657
"ken",1979,851.7794
"ken",1980,872.27626
"ken",1981,871.96491
"ken",1982,846.76565
"ken",1983,831.48449
"ken",1984,813.5022
"ken",1985,818.02092
"ken",1986,845.09401
"ken",1987,862.85611
"ken",1988,882.07152
"ken",1989,900.81148
"ken",1990,897.19264
"ken",1991,876.97679
"ken",1992,844.21603
"ken",1993,803.73394
"ken",1994,807.99201
"ken",1995,832.18226
"ken",1996,855.97811
"ken",1997,840.43103
"ken",1998,847.48057
"ken",1999,840.07362
"ken",2000,824.8791
"ken",2001,832.26539
"ken",2002,815.88802
"ken",2003,815.80613
"ken",2004,836.29022
"ken",2005,868.57689
"ken",2006,897.63439
"ken",2007,931.50868
"ken",2008,911.50908
"ken",2009,915.85363
"ken",2010,963.78027
"ken",2011,999.06597
"ken",2012,1013.81505
"ken",2013,1037.00114
"ken",2014,1060.92655
"ken",2015,1096.26418
"ken",2016,1132.3185
"ken",2017,1156.66244
"rwa",1970,335.94627
"rwa",1971,329.87678
"rwa",1972,321.26917
"rwa",1973,320.29952
"rwa",1974,315.27341
"rwa",1975,300.0481
"rwa",1976,347.41891
"rwa",1977,343.13264
"rwa",1978,362.42644
"rwa",1979,392.79091
"rwa",1980,414.83003
"rwa",1981,424.6062
"rwa",1982,419.00386
"rwa",1983,428.06296
"rwa",1984,394.76418
"rwa",1985,394.4255
"rwa",1986,397.12624
"rwa",1987,377.69059
"rwa",1988,378.12807
"rwa",1989,368.72021
"rwa",1990,358.71158
"rwa",1991,358.38696
"rwa",1992,399.50612
"rwa",1993,389.63386
"rwa",1994,203.80626
"rwa",1995,281.35748
"rwa",1996,303.88772
"rwa",1997,324.56966
"rwa",1998,326.2095
"rwa",1999,317.00784
"rwa",2000,324.2045
"rwa",2001,337.39038
"rwa",2002,373.51622
"rwa",2003,373.78324
"rwa",2004,395.39035
"rwa",2005,426.3364
"rwa",2006,455.11487
"rwa",2007,479.77707
"rwa",2008,517.75602
"rwa",2009,535.31052
"rwa",2010,559.21742
"rwa",2011,587.77756
"rwa",2012,619.73182
"rwa",2013,629.36002
"rwa",2014,657.4421
"rwa",2015,696.64042
"rwa",2016,719.54403
"rwa",2017,747.36349
"tza",1990,475.39059
"tza",1991,471.89937
"tza",1992,458.13259
"tza",1993,449.6065
"tza",1994,443.44919
"tza",1995,449.23829
"tza",1996,462.18195
"tza",1997,463.74458
"tza",1998,470.87823
"tza",1999,481.86196
"tza",2000,491.06328
"tza",2001,497.3512
"tza",2002,529.8849
"tza",2003,546.29751
"tza",2004,571.60724
"tza",2005,598.27614
"tza",2006,619.38022
"tza",2007,643.43213
"tza",2008,659.28934
"tza",2009,673.75455
"tza",2010,694.231
"tza",2011,728.08921
"tza",2012,736.6421
"tza",2013,770.20195
"tza",2014,797.48197
"tza",2015,821.99631
"tza",2016,853.13313
"uga",1982,299.31824
"uga",1983,303.90569
"uga",1984,295.9264
"uga",1985,276.2593
"uga",1986,269.30197
"uga",1987,271.50517
"uga",1988,283.27133
"uga",1989,289.7233
"uga",1990,296.41919
"uga",1991,302.77267
"uga",1992,298.96195
"uga",1993,318.07485
"uga",1994,327.56115
"uga",1995,355.64336
"uga",1996,377.18258
"uga",1997,386.45999
"uga",1998,393.70409
"uga",1999,411.77776
"uga",2000,404.90144
"uga",2001,406.38772
"uga",2002,431.34428
"uga",2003,444.06366
"uga",2004,455.08542
"uga",2005,466.25612
"uga",2006,501.23666
"uga",2007,527.87039
"uga",2008,555.10177
"uga",2009,573.38197
"uga",2010,585.25845
"uga",2011,619.64524
"uga",2012,619.05651
"uga",2013,619.07573
"uga",2014,628.74853
"uga",2015,642.15658
"uga",2016,649.51615
"uga",2017,651.13317
