"geo","time","gnipercapita_ppp_current_international"
"bdi",1990,690
"bdi",1991,740
"bdi",1992,740
"bdi",1993,700
"bdi",1994,680
"bdi",1995,630
"bdi",1996,580
"bdi",1997,570
"bdi",1998,600
"bdi",1999,590
"bdi",2000,610
"bdi",2001,600
"bdi",2002,620
"bdi",2003,600
"bdi",2004,620
"bdi",2005,630
"bdi",2006,670
"bdi",2007,700
"bdi",2008,730
"bdi",2009,730
"bdi",2010,740
"bdi",2011,770
"bdi",2012,790
"bdi",2013,820
"bdi",2014,840
"bdi",2015,800
"bdi",2016,780
"bdi",2017,770
"cod",1990,820
"cod",1991,650
"cod",1992,650
"cod",1993,580
"cod",1994,510
"cod",1995,500
"cod",1996,530
"cod",1997,490
"cod",1998,480
"cod",1999,440
"cod",2000,450
"cod",2001,420
"cod",2002,430
"cod",2003,460
"cod",2004,480
"cod",2005,510
"cod",2006,540
"cod",2007,560
"cod",2008,570
"cod",2009,590
"cod",2010,620
"cod",2011,650
"cod",2012,680
"cod",2013,700
"cod",2014,760
"cod",2015,800
"cod",2016,850
"cod",2017,870
"ken",1990,1470
"ken",1991,1490
"ken",1992,1470
"ken",1993,1430
"ken",1994,1470
"ken",1995,1550
"ken",1996,1620
"ken",1997,1620
"ken",1998,1660
"ken",1999,1670
"ken",2000,1670
"ken",2001,1730
"ken",2002,1720
"ken",2003,1750
"ken",2004,1850
"ken",2005,1980
"ken",2006,2110
"ken",2007,2250
"ken",2008,2240
"ken",2009,2270
"ken",2010,2420
"ken",2011,2560
"ken",2012,2640
"ken",2013,2750
"ken",2014,2860
"ken",2015,2990
"ken",2016,3130
"ken",2017,3250
"rwa",1990,560
"rwa",1991,580
"rwa",1992,660
"rwa",1993,660
"rwa",1994,350
"rwa",1995,500
"rwa",1996,550
"rwa",1997,590
"rwa",1998,600
"rwa",1999,600
"rwa",2000,620
"rwa",2001,660
"rwa",2002,750
"rwa",2003,760
"rwa",2004,830
"rwa",2005,920
"rwa",2006,1010
"rwa",2007,1100
"rwa",2008,1210
"rwa",2009,1260
"rwa",2010,1330
"rwa",2011,1420
"rwa",2012,1530
"rwa",2013,1580
"rwa",2014,1680
"rwa",2015,1800
"rwa",2016,1880
"rwa",2017,1990
"ssd",2011,2130
"ssd",2012,1520
"ssd",2013,1870
"ssd",2014,1840
"ssd",2015,1830
"ssd",2016,1440
"tza",1990,910
"tza",1991,930
"tza",1992,930
"tza",1993,930
"tza",1994,940
"tza",1995,970
"tza",1996,1020
"tza",1997,1040
"tza",1998,1070
"tza",1999,1110
"tza",2000,1160
"tza",2001,1200
"tza",2002,1300
"tza",2003,1370
"tza",2004,1470
"tza",2005,1590
"tza",2006,1690
"tza",2007,1810
"tza",2008,1890
"tza",2009,1940
"tza",2010,2030
"tza",2011,2170
"tza",2012,2240
"tza",2013,2370
"tza",2014,2500
"tza",2015,2610
"tza",2016,2740
"tza",2017,2920
"uga",1990,490
"uga",1991,520
"uga",1992,520
"uga",1993,570
"uga",1994,600
"uga",1995,660
"uga",1996,710
"uga",1997,740
"uga",1998,770
"uga",1999,810
"uga",2000,820
"uga",2001,840
"uga",2002,900
"uga",2003,950
"uga",2004,1000
"uga",2005,1060
"uga",2006,1170
"uga",2007,1270
"uga",2008,1360
"uga",2009,1410
"uga",2010,1460
"uga",2011,1580
"uga",2012,1610
"uga",2013,1630
"uga",2014,1690
"uga",2015,1740
"uga",2016,1780
"uga",2017,1820
