"geo","time","government_health_spending_of_total_gov_spending_percent"
"bdi",1995,7.007
"bdi",1996,7.007
"bdi",1997,7.007
"bdi",1998,7.007
"bdi",1999,6.375
"bdi",2000,7.455
"bdi",2001,8.292
"bdi",2002,8.234
"bdi",2003,5.432
"bdi",2004,9.154
"bdi",2005,11.56
"bdi",2006,13.15
"bdi",2007,11.78
"bdi",2008,8.159
"bdi",2009,8.142
"bdi",2010,8.142
"cod",1995,2.164
"cod",1996,1.621
"cod",1997,2.446
"cod",1998,2.024
"cod",1999,2.602
"cod",2000,1.785
"cod",2001,2.794
"cod",2002,2.441
"cod",2003,10.74
"cod",2004,5.969
"cod",2005,7.41
"cod",2006,7.067
"cod",2007,8.474
"cod",2008,12.66
"cod",2009,12.48
"cod",2010,9.111
"ken",1995,6.37
"ken",1996,7.598
"ken",1997,7.258
"ken",1998,9.206
"ken",1999,7.375
"ken",2000,10.29
"ken",2001,8.453
"ken",2002,7.967
"ken",2003,7.757
"ken",2004,7.735
"ken",2005,8.06
"ken",2006,7.747
"ken",2007,7.694
"ken",2008,6.28
"ken",2009,7.312
"ken",2010,7.312
"rwa",1995,7.929
"rwa",1996,8.277
"rwa",1997,9.335
"rwa",1998,13.45
"rwa",1999,9.113
"rwa",2000,8.172
"rwa",2001,9.832
"rwa",2002,9.084
"rwa",2003,17.62
"rwa",2004,14.62
"rwa",2005,15.57
"rwa",2006,22.45
"rwa",2007,22.01
"rwa",2008,21.9
"rwa",2009,20.08
"rwa",2010,20.08
"tza",1995,10.21
"tza",1996,10.21
"tza",1997,10.21
"tza",1998,10.21
"tza",1999,10.21
"tza",2000,10.21
"tza",2001,11.17
"tza",2002,10.91
"tza",2003,11.29
"tza",2004,8.476
"tza",2005,9.273
"tza",2006,14.4
"tza",2007,13.67
"tza",2008,13.69
"tza",2009,12.93
"tza",2010,13.79
"uga",1995,9.848
"uga",1996,9.848
"uga",1997,9.848
"uga",1998,9.848
"uga",1999,11.34
"uga",2000,7.256
"uga",2001,9.693
"uga",2002,9.691
"uga",2003,9.951
"uga",2004,9.41
"uga",2005,11.21
"uga",2006,10.18
"uga",2007,9.775
"uga",2008,10.58
"uga",2009,13.62
"uga",2010,12.11
