"geo","time","government_health_spending_per_person_international_dollar"
"bdi",1995,5.922
"bdi",1996,6.075
"bdi",1997,4.578
"bdi",1998,5.126
"bdi",1999,5.07
"bdi",2000,5.674
"bdi",2001,7.244
"bdi",2002,7.094
"bdi",2003,6.189
"bdi",2004,12.46
"bdi",2005,14.72
"bdi",2006,18.31
"bdi",2007,19.73
"bdi",2008,18.07
"bdi",2009,16.37
"bdi",2010,18.05
"cod",1995,0.44
"cod",1996,0.32
"cod",1997,0.5487
"cod",1998,0.47
"cod",1999,0.6155
"cod",2000,0.46
"cod",2001,0.5137
"cod",2002,0.5785
"cod",2003,2.655
"cod",2004,3.105
"cod",2005,4.855
"cod",2006,5.552
"cod",2007,6.92
"cod",2008,11.19
"cod",2009,14.02
"cod",2010,11.59
"ken",1995,21.12
"ken",1996,18.32
"ken",1997,17.58
"ken",1998,22.38
"ken",1999,18.99
"ken",2000,24.65
"ken",2001,24.32
"ken",2002,22.75
"ken",2003,23.13
"ken",2004,22.66
"ken",2005,24.78
"ken",2006,26.85
"ken",2007,29.06
"ken",2008,26.24
"ken",2009,32.64
"ken",2010,34.43
"rwa",1995,7.813
"rwa",1996,9.848
"rwa",1997,10.37
"rwa",1998,14.41
"rwa",1999,11.24
"rwa",2000,9.685
"rwa",2001,13.28
"rwa",2002,15.21
"rwa",2003,23.41
"rwa",2004,25.33
"rwa",2005,30.97
"rwa",2006,46.2
"rwa",2007,43.44
"rwa",2008,47.7
"rwa",2009,53.82
"rwa",2010,60.59
"tza",1995,9.677
"tza",1996,8.857
"tza",1997,10.66
"tza",1998,9.7
"tza",1999,9.382
"tza",2000,10.95
"tza",2001,12.68
"tza",2002,12.81
"tza",2003,16.54
"tza",2004,14.7
"tza",2005,19.61
"tza",2006,42.82
"tza",2007,43.63
"tza",2008,42.92
"tza",2009,48.37
"tza",2010,56.17
"uga",1995,9.171
"uga",1996,10.02
"uga",1997,11.02
"uga",1998,10.03
"uga",1999,13.76
"uga",2000,12.22
"uga",2001,14.14
"uga",2002,17.02
"uga",2003,17.88
"uga",2004,16.45
"uga",2005,20.85
"uga",2006,20.91
"uga",2007,19.7
"uga",2008,20.08
"uga",2009,25.7
"uga",2010,27.04
