"geo","time","government_health_spending_per_person_us"
"bdi",1995,3.01
"bdi",1996,2.865
"bdi",1997,2.41
"bdi",1998,2.333
"bdi",1999,2.077
"bdi",2000,2.014
"bdi",2001,2.301
"bdi",2002,2.014
"bdi",2003,1.649
"bdi",2004,3.44
"bdi",2005,4.668
"bdi",2006,6.175
"bdi",2007,6.652
"bdi",2008,6.808
"bdi",2009,6.721
"bdi",2010,7.909
"cod",1995,0.19
"cod",1996,0.14
"cod",1997,0.27
"cod",1998,0.23
"cod",1999,0.6592
"cod",2000,0.5435
"cod",2001,0.31
"cod",2002,0.27
"cod",2003,1.156
"cod",2004,1.416
"cod",2005,2.195
"cod",2006,2.782
"cod",2007,3.697
"cod",2008,6.455
"cod",2009,7.48
"cod",2010,6.699
"ken",1995,6.519
"ken",1996,7.106
"ken",1997,7.248
"ken",1998,9.468
"ken",1999,7.079
"ken",2000,8.808
"ken",2001,8.369
"ken",2002,7.759
"ken",2003,8.505
"ken",2004,8.326
"ken",2005,9.685
"ken",2006,11.48
"ken",2007,13.61
"ken",2008,13.1
"ken",2009,15.4
"ken",2010,16.32
"rwa",1995,3.775
"rwa",1996,4.431
"rwa",1997,5.388
"rwa",1998,7.286
"rwa",1999,5.055
"rwa",2000,3.542
"rwa",2001,4.225
"rwa",2002,4.21
"rwa",2003,6.971
"rwa",2004,7.726
"rwa",2005,10.34
"rwa",2006,16.48
"rwa",2007,17.16
"rwa",2008,20.89
"rwa",2009,25.05
"rwa",2010,27.8
"tza",1995,2.691
"tza",1996,2.861
"tza",1997,3.861
"tza",1998,4.063
"tza",1999,3.833
"tza",2000,4.382
"tza",2001,4.773
"tza",2002,4.608
"tza",2003,5.879
"tza",2004,5.183
"tza",2005,6.871
"tza",2006,13.8
"tza",2007,14.96
"tza",2008,16.51
"tza",2009,17.94
"tza",2010,20.81
"uga",1995,4.472
"uga",1996,4.65
"uga",1997,4.996
"uga",1998,4.261
"uga",1999,4.905
"uga",2000,4.192
"uga",2001,4.643
"uga",2002,5.2
"uga",2003,5.278
"uga",2004,5.923
"uga",2005,7.257
"uga",2006,7.016
"uga",2007,7.325
"uga",2008,7.785
"uga",2009,9.585
"uga",2010,10.16
