"geo","time","hdi_human_development_index"
"bdi",1990,0.27
"bdi",1991,0.273
"bdi",1992,0.271
"bdi",1993,0.271
"bdi",1994,0.27
"bdi",1995,0.266
"bdi",1996,0.262
"bdi",1997,0.264
"bdi",1998,0.268
"bdi",1999,0.268
"bdi",2000,0.268
"bdi",2001,0.268
"bdi",2002,0.276
"bdi",2003,0.279
"bdi",2004,0.286
"bdi",2005,0.29
"bdi",2006,0.309
"bdi",2007,0.319
"bdi",2008,0.336
"bdi",2009,0.361
"bdi",2010,0.385
"bdi",2011,0.393
"bdi",2012,0.398
"bdi",2013,0.404
"bdi",2014,0.406
"bdi",2015,0.404
"cod",1990,0.356
"cod",1991,0.352
"cod",1992,0.346
"cod",1993,0.339
"cod",1994,0.333
"cod",1995,0.331
"cod",1996,0.33
"cod",1997,0.333
"cod",1998,0.334
"cod",1999,0.332
"cod",2000,0.331
"cod",2001,0.332
"cod",2002,0.339
"cod",2003,0.347
"cod",2004,0.355
"cod",2005,0.364
"cod",2006,0.37
"cod",2007,0.377
"cod",2008,0.389
"cod",2009,0.395
"cod",2010,0.398
"cod",2011,0.407
"cod",2012,0.412
"cod",2013,0.419
"cod",2014,0.425
"cod",2015,0.435
"ken",1990,0.473
"ken",1991,0.471
"ken",1992,0.468
"ken",1993,0.463
"ken",1994,0.46
"ken",1995,0.459
"ken",1996,0.456
"ken",1997,0.452
"ken",1998,0.45
"ken",1999,0.448
"ken",2000,0.447
"ken",2001,0.451
"ken",2002,0.45
"ken",2003,0.461
"ken",2004,0.474
"ken",2005,0.483
"ken",2006,0.494
"ken",2007,0.506
"ken",2008,0.514
"ken",2009,0.523
"ken",2010,0.53
"ken",2011,0.536
"ken",2012,0.541
"ken",2013,0.546
"ken",2014,0.55
"ken",2015,0.555
"rwa",1990,0.244
"rwa",1991,0.22
"rwa",1992,0.206
"rwa",1993,0.203
"rwa",1994,0.194
"rwa",1995,0.23
"rwa",1996,0.259
"rwa",1997,0.285
"rwa",1998,0.3
"rwa",1999,0.318
"rwa",2000,0.332
"rwa",2001,0.343
"rwa",2002,0.359
"rwa",2003,0.371
"rwa",2004,0.388
"rwa",2005,0.404
"rwa",2006,0.424
"rwa",2007,0.438
"rwa",2008,0.447
"rwa",2009,0.454
"rwa",2010,0.464
"rwa",2011,0.475
"rwa",2012,0.485
"rwa",2013,0.488
"rwa",2014,0.493
"rwa",2015,0.498
"ssd",2010,0.429
"ssd",2011,0.419
"ssd",2012,0.417
"ssd",2013,0.421
"ssd",2014,0.421
"ssd",2015,0.418
"tza",1990,0.37
"tza",1991,0.37
"tza",1992,0.368
"tza",1993,0.368
"tza",1994,0.367
"tza",1995,0.368
"tza",1996,0.369
"tza",1997,0.371
"tza",1998,0.377
"tza",1999,0.384
"tza",2000,0.391
"tza",2001,0.399
"tza",2002,0.41
"tza",2003,0.42
"tza",2004,0.432
"tza",2005,0.446
"tza",2006,0.457
"tza",2007,0.468
"tza",2008,0.478
"tza",2009,0.488
"tza",2010,0.498
"tza",2011,0.504
"tza",2012,0.513
"tza",2013,0.512
"tza",2014,0.519
"tza",2015,0.531
"uga",1990,0.309
"uga",1991,0.31
"uga",1992,0.303
"uga",1993,0.311
"uga",1994,0.314
"uga",1995,0.32
"uga",1996,0.336
"uga",1997,0.351
"uga",1998,0.366
"uga",1999,0.382
"uga",2000,0.396
"uga",2001,0.404
"uga",2002,0.418
"uga",2003,0.427
"uga",2004,0.429
"uga",2005,0.434
"uga",2006,0.442
"uga",2007,0.453
"uga",2008,0.464
"uga",2009,0.473
"uga",2010,0.477
"uga",2011,0.477
"uga",2012,0.478
"uga",2013,0.483
"uga",2014,0.488
"uga",2015,0.493
