"geo","time","hib3_immunized_percent_of_one_year_olds"
"bdi",2004,83
"bdi",2005,87
"bdi",2006,92
"bdi",2007,99
"bdi",2008,92
"bdi",2009,94
"bdi",2010,96
"bdi",2011,96
"cod",2009,72
"cod",2010,58
"cod",2011,70
"ken",2002,84
"ken",2003,73
"ken",2004,73
"ken",2005,76
"ken",2006,80
"ken",2007,81
"ken",2008,85
"ken",2009,84
"ken",2010,83
"ken",2011,88
"rwa",2002,88
"rwa",2003,96
"rwa",2004,89
"rwa",2005,95
"rwa",2006,99
"rwa",2007,97
"rwa",2008,97
"rwa",2009,97
"rwa",2010,97
"rwa",2011,97
"tza",2009,85
"tza",2010,91
"tza",2011,90
"uga",2002,29
"uga",2003,44
"uga",2004,62
"uga",2005,64
"uga",2006,64
"uga",2007,73
"uga",2008,71
"uga",2009,79
"uga",2010,80
"uga",2011,82
