"geo","time","hiv_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,195.44
"bdi",1991,269.85
"bdi",1992,356.14
"bdi",1993,451.76
"bdi",1994,553.2
"bdi",1995,656.56
"bdi",1996,754.43
"bdi",1997,841.13
"bdi",1998,911.84
"bdi",1999,964.03
"bdi",2000,998.36
"bdi",2001,1021.91
"bdi",2002,1030.29
"bdi",2003,1021.03
"bdi",2004,986.53
"bdi",2005,914.67
"bdi",2006,844
"bdi",2007,794.66
"bdi",2008,721.53
"bdi",2009,647.46
"bdi",2010,530.44
"bdi",2011,392.19
"bdi",2012,373.67
"bdi",2013,263.37
"bdi",2014,196.81
"bdi",2015,123.02
"bdi",2016,103.44
"cod",1990,1239.23
"cod",1991,1482.88
"cod",1992,1756.8
"cod",1993,2053.69
"cod",1994,2368.84
"cod",1995,2685.11
"cod",1996,2987.46
"cod",1997,3280.18
"cod",1998,3548.23
"cod",1999,3788.82
"cod",2000,3997.97
"cod",2001,4174.32
"cod",2002,4311.2
"cod",2003,4378.76
"cod",2004,4376.27
"cod",2005,4320.56
"cod",2006,4297.62
"cod",2007,4252.04
"cod",2008,4124.04
"cod",2009,3984.74
"cod",2010,3752.98
"cod",2011,3494.02
"cod",2012,3254.18
"cod",2013,2886.36
"cod",2014,2301.57
"cod",2015,1702.86
"cod",2016,1452.92
"ken",1990,2855.6
"ken",1991,4071.49
"ken",1992,5514.23
"ken",1993,7105.9
"ken",1994,8762.24
"ken",1995,10344.05
"ken",1996,11660.9
"ken",1997,12694.49
"ken",1998,13353.95
"ken",1999,13691.86
"ken",2000,13762.48
"ken",2001,13559.72
"ken",2002,13144.27
"ken",2003,12621.68
"ken",2004,11903.96
"ken",2005,10648.32
"ken",2006,8902.66
"ken",2007,7329.21
"ken",2008,5444.06
"ken",2009,4576.99
"ken",2010,3919.82
"ken",2011,3180.57
"ken",2012,2856.58
"ken",2013,2794.31
"ken",2014,2279.5
"ken",2015,2911.2
"ken",2016,3160.83
"rwa",1990,755.82
"rwa",1991,952.13
"rwa",1992,1130.21
"rwa",1993,1284.25
"rwa",1994,1415.34
"rwa",1995,1522.67
"rwa",1996,1618.65
"rwa",1997,1704.5
"rwa",1998,1783.12
"rwa",1999,1842.85
"rwa",2000,1874.97
"rwa",2001,1876.22
"rwa",2002,1848.79
"rwa",2003,1791.5
"rwa",2004,1577.16
"rwa",2005,1318.42
"rwa",2006,1112.16
"rwa",2007,927.62
"rwa",2008,763.14
"rwa",2009,672.48
"rwa",2010,622.21
"rwa",2011,398.43
"rwa",2012,267.43
"rwa",2013,200.98
"rwa",2014,133.11
"rwa",2015,83.99
"rwa",2016,56.68
"ssd",1990,156.41
"ssd",1991,205.35
"ssd",1992,260.04
"ssd",1993,318.52
"ssd",1994,379.74
"ssd",1995,442.63
"ssd",1996,510.7
"ssd",1997,585.36
"ssd",1998,667.17
"ssd",1999,752.43
"ssd",2000,840.11
"ssd",2001,918.68
"ssd",2002,992.62
"ssd",2003,1059.79
"ssd",2004,1123.83
"ssd",2005,1184.71
"ssd",2006,1237.83
"ssd",2007,1285.76
"ssd",2008,1329.52
"ssd",2009,1367.31
"ssd",2010,1379.91
"ssd",2011,1385.95
"ssd",2012,1407.59
"ssd",2013,1411.23
"ssd",2014,1423.87
"ssd",2015,1356.13
"ssd",2016,802.94
"tza",1990,2674.48
"tza",1991,3620.42
"tza",1992,4705.92
"tza",1993,5878.46
"tza",1994,7078.01
"tza",1995,8221.31
"tza",1996,9199.19
"tza",1997,9960.96
"tza",1998,10548.48
"tza",1999,10969.49
"tza",2000,11230.73
"tza",2001,11325.57
"tza",2002,11377.58
"tza",2003,11371.31
"tza",2004,11306.05
"tza",2005,10950.54
"tza",2006,10493.61
"tza",2007,9478.47
"tza",2008,8038.06
"tza",2009,7080.58
"tza",2010,5678.97
"tza",2011,4417.5
"tza",2012,3575.34
"tza",2013,3133
"tza",2014,2475.83
"tza",2015,2166.16
"tza",2016,1388.52
"uga",1990,6160.77
"uga",1991,7671.52
"uga",1992,9053.75
"uga",1993,10186.73
"uga",1994,10968.31
"uga",1995,11379.64
"uga",1996,11456.14
"uga",1997,11244.82
"uga",1998,10867.55
"uga",1999,10430.3
"uga",2000,9949.67
"uga",2001,9497.62
"uga",2002,9164.13
"uga",2003,8925.18
"uga",2004,8735.39
"uga",2005,8669.39
"uga",2006,8780.18
"uga",2007,8869.6
"uga",2008,8688.38
"uga",2009,8572.46
"uga",2010,8616.68
"uga",2011,7763.5
"uga",2012,5968.79
"uga",2013,4553.25
"uga",2014,3072.27
"uga",2015,1926.35
"uga",2016,1076.79
