"geo","time","hydro_power_generation_total"
"cod",1971,295500
"cod",1972,295500
"cod",1973,324000
"cod",1974,291800
"cod",1975,318700
"cod",1976,344600
"cod",1977,349500
"cod",1978,343900
"cod",1979,341300
"cod",1980,364800
"cod",1981,358500
"cod",1982,354500
"cod",1983,385100
"cod",1984,403700
"cod",1985,432200
"cod",1986,452200
"cod",1987,450700
"cod",1988,451200
"cod",1989,594600
"cod",1990,483700
"cod",1991,452200
"cod",1992,520600
"cod",1993,475300
"cod",1994,455200
"cod",1995,529600
"cod",1996,523700
"cod",1997,432000
"cod",1998,404900
"cod",1999,455700
"cod",2000,515600
"cod",2001,513700
"cod",2002,525400
"cod",2003,529700
"cod",2004,608600
"cod",2005,635400
"cod",2006,646600
"cod",2007,672400
"cod",2008,643100
"cod",2009,670300
"cod",2010,674900
"ken",1971,29150
"ken",1972,34480
"ken",1973,35080
"ken",1974,47030
"ken",1975,55800
"ken",1976,50130
"ken",1977,64400
"ken",1978,92260
"ken",1979,112500
"ken",1980,91140
"ken",1981,122100
"ken",1982,128400
"ken",1983,149600
"ken",1984,148200
"ken",1985,173300
"ken",1986,144500
"ken",1987,164300
"ken",1988,199700
"ken",1989,212300
"ken",1990,213000
"ken",1991,238200
"ken",1992,240400
"ken",1993,257400
"ken",1994,263800
"ken",1995,272000
"ken",1996,288400
"ken",1997,280200
"ken",1998,281500
"ken",1999,209400
"ken",2000,113900
"ken",2001,206600
"ken",2002,268200
"ken",2003,280300
"ken",2004,246700
"ken",2005,260200
"ken",2006,281900
"ken",2007,299900
"ken",2008,245000
"ken",2009,186600
"ken",2010,294700
"tza",1971,26570
"tza",1972,27600
"tza",1973,25450
"tza",1974,25280
"tza",1975,37060
"tza",1976,42990
"tza",1977,44710
"tza",1978,44710
"tza",1979,45140
"tza",1980,58810
"tza",1981,62170
"tza",1982,62510
"tza",1983,63540
"tza",1984,67240
"tza",1985,76100
"tza",1986,88910
"tza",1987,98970
"tza",1988,107700
"tza",1989,122000
"tza",1990,133200
"tza",1991,148400
"tza",1992,141900
"tza",1993,145900
"tza",1994,128900
"tza",1995,132300
"tza",1996,150300
"tza",1997,125400
"tza",1998,178700
"tza",1999,186200
"tza",2000,184200
"tza",2001,223700
"tza",2002,233900
"tza",2003,219200
"tza",2004,202700
"tza",2005,152900
"tza",2006,123500
"tza",2007,215900
"tza",2008,228200
"tza",2009,226100
"tza",2010,221300
