"geo","time","imports_percent_of_gdp"
"bdi",1960,13.39286
"bdi",1961,14.65517
"bdi",1962,16.39344
"bdi",1963,14.28571
"bdi",1964,12.08054
"bdi",1965,12.53429
"bdi",1966,12.99218
"bdi",1967,11.88578
"bdi",1968,13.36681
"bdi",1969,12.09457
"bdi",1970,11.62102
"bdi",1971,14.17168
"bdi",1972,15.07497
"bdi",1973,13.33273
"bdi",1974,15.53394
"bdi",1975,19.00177
"bdi",1976,16.65288
"bdi",1977,17.29142
"bdi",1978,20.2264
"bdi",1979,22.72214
"bdi",1980,23.29207
"bdi",1981,22.0377
"bdi",1982,26.90745
"bdi",1983,24.74776
"bdi",1984,23.55231
"bdi",1985,20.7869
"bdi",1986,22.31563
"bdi",1987,25.73863
"bdi",1988,25.95318
"bdi",1989,22.94357
"bdi",1990,27.77515
"bdi",1991,28.50518
"bdi",1992,29.47695
"bdi",1993,27.16104
"bdi",1994,28.48176
"bdi",1995,27.27828
"bdi",1996,15.7534
"bdi",1997,14.43991
"bdi",1998,19.44028
"bdi",1999,15.96399
"bdi",2000,16.23475
"bdi",2001,15.78484
"bdi",2002,16.98803
"bdi",2003,20.9949
"bdi",2004,24.62337
"bdi",2005,33.44431
"bdi",2006,46.86974
"bdi",2007,34.22384
"bdi",2008,37.92616
"bdi",2009,43.12351
"bdi",2010,39.17905
"bdi",2011,37.66549
"bdi",2012,37.46885
"bdi",2013,34.24535
"bdi",2014,33.53882
"bdi",2015,29.74058
"bdi",2016,31.91536
"cod",1960,19.41666
"cod",1961,9.38717
"cod",1962,7.44127
"cod",1963,31.68264
"cod",1964,37.30448
"cod",1965,27.23323
"cod",1966,38.02089
"cod",1967,16.37136
"cod",1968,15.30187
"cod",1969,14.22881
"cod",1970,18.22372
"cod",1971,18.53598
"cod",1972,15.77741
"cod",1973,15.87628
"cod",1974,19.03048
"cod",1975,15.09093
"cod",1976,19.64917
"cod",1977,19.67275
"cod",1978,9.19737
"cod",1979,10.04147
"cod",1980,16.35191
"cod",1981,17.14198
"cod",1982,13.9526
"cod",1983,17.29085
