"geo","time","imports_unit_value_index_2000100"
"bdi",1980,113.57591
"bdi",1981,109.00824
"bdi",1982,143.92498
"bdi",1983,122.78225
"bdi",1984,126.3919
"bdi",1985,125.82128
"bdi",1986,136.25202
"bdi",1987,143.05823
"bdi",1988,138.07882
"bdi",1989,126.23708
"bdi",1990,155.97361
"bdi",1991,172.57909
"bdi",1992,149.69745
"bdi",1993,132.48957
"bdi",1994,151.80145
"bdi",1995,158.34601
"bdi",1996,85.90958
"bdi",1997,82.08696
"bdi",1998,106.56214
"bdi",1999,79.84098
"bdi",2000,100
"bdi",2001,94.20657
"bdi",2002,87.49028
"bdi",2003,105.87861
"bdi",2004,119.14353
"bdi",2005,182.02949
"bdi",2006,291.22163
"bdi",2007,215.74414
"bdi",2008,272.25389
"bdi",2009,271.94086
"bdi",2010,343.99327
"bdi",2011,508.6107
"bdi",2012,507.80345
"bdi",2013,548.44938
"bdi",2014,520.08465
"bdi",2015,488.45482
"bdi",2016,416.38191
"cod",1980,146.76328
"cod",1981,137.29469
"cod",1982,125.31401
"cod",1983,117.19807
"cod",1984,113.62319
"cod",1985,120.48309
"cod",1986,123.96135
"cod",1987,171.40097
"cod",1988,155.55556
"cod",1989,185.99034
"cod",1990,168.01932
"cod",1991,125.99034
"cod",1992,90.33816
"cod",1993,59.32367
"cod",1994,64.44444
"cod",1995,127.56298
"cod",1996,159.49033
"cod",1997,112.77094
"cod",1998,161.39426
"cod",1999,83.18688
"cod",2000,100
"cod",2001,115.62683
"cod",2002,158.24546
"cod",2003,218.89279
"cod",2004,300.43937
"cod",2005,394.0246
"cod",2006,423.49151
"cod",2007,497.94962
"cod",2008,629.75981
"cod",2009,571.1775
"cod",2010,659.05097
"cod",2011,805.50674
"cod",2012,893.3802
"cod",2013,922.67135
"cod",2014,951.96251
"cod",2015,908.02578
"cod",2016,827.24309
"ken",1980,68.41799
"ken",1981,62.4482
"ken",1982,52.95108
"ken",1983,42.94294
"ken",1984,47.30492
"ken",1985,46.24324
"ken",1986,51.9464
"ken",1987,55.96512
"ken",1988,64.00255
"ken",1989,70.00937
"ken",1990,71.57725
"ken",1991,62.31843
"ken",1992,59.28861
"ken",1993,57.12565
"ken",1994,67.31702
"ken",1995,96.30909
"ken",1996,94.95664
"ken",1997,105.57565
"ken",1998,102.96219
"ken",1999,91.20326
"ken",2000,100
"ken",2001,102.78637
"ken",2002,104.48789
"ken",2003,119.9593
"ken",2004,146.6039
"ken",2005,188.25389
"ken",2006,232.9099
"ken",2007,289.46543
"ken",2008,358.32956
"ken",2009,328.51713
"ken",2010,389.40727
"ken",2011,476.01349
"ken",2012,524.55297
"ken",2013,526.75839
"ken",2014,592.38372
"ken",2015,518.21983
"ken",2016,454.22814
"rwa",1980,124.30741
"rwa",1981,129.84053
"rwa",1982,130.95028
"rwa",1983,125.49064
"rwa",1984,131.80073
"rwa",1985,141.4998
"rwa",1986,165.30567
"rwa",1987,167.35641
"rwa",1988,175.22138
"rwa",1989,157.39424
"rwa",1990,135.89605
"rwa",1991,145.05802
"rwa",1992,135.71686
"rwa",1993,157.4516
"rwa",1994,57.36011
"rwa",1995,111.48602
"rwa",1996,120.45665
"rwa",1997,139.43585
"rwa",1998,133.7836
"rwa",1999,118.58194
"rwa",2000,100
"rwa",2001,131.7968
"rwa",2002,116.31888
"rwa",2003,121.47819
"rwa",2004,133.08053
"rwa",2005,201.85547
"rwa",2006,257.05535
"rwa",2007,361.44217
"rwa",2008,550.62451
"rwa",2009,613.70405
"rwa",2010,671.19747
"rwa",2011,956.3898
"rwa",2012,1078.60436
"rwa",2013,1079.51896
"rwa",2014,1157.69651
"rwa",2015,1115.34893
"rwa",2016,1075.48064
"tza",1980,82.54831
"tza",1981,77.21133
"tza",1982,74.28915
"tza",1983,52.64722
"tza",1984,43.6419
"tza",1985,55.43091
"tza",1986,61.52876
"tza",1987,60.97393
"tza",1988,54.02935
"tza",1989,64.96049
"tza",1990,89.50522
"tza",1991,101.50572
"tza",1992,99.09945
"tza",1993,98.28161
"tza",1994,98.7752
"tza",1995,109.91257
"tza",1996,91.13632
"tza",1997,87.73695
"tza",1998,95.34237
"tza",1999,102.15685
"tza",2000,100
"tza",2001,112.37135
"tza",2002,108.97724
"tza",2003,139.49013
"tza",2004,178.94612
"tza",2005,215.75431
"tza",2006,278.71114
"tza",2007,350.31112
"tza",2008,505.40853
"tza",2009,420.79526
"tza",2010,516.84258
"tza",2011,708.84531
"tza",2012,744.72275
"tza",2013,793.6536
"tza",2014,787.21977
"tza",2015,708.15588
"tza",2016,622.73773
"uga",1980,19.087
"uga",1981,22.46628
"uga",1982,24.56456
"uga",1983,24.56456
"uga",1984,22.39709
"uga",1985,21.31336
"uga",1986,19.9916
"uga",1987,55.20542
"uga",1988,57.71518
"uga",1989,27.55728
"uga",1990,18.72556
"uga",1991,12.75918
"uga",1992,32.87804
"uga",1993,39.88831
"uga",1994,56.92351
"uga",1995,68.75
"uga",1996,77.53906
"uga",1997,85.67708
"uga",1998,92.1875
"uga",1999,87.36979
"uga",2000,100
"uga",2001,103.77604
"uga",2002,68.55469
"uga",2003,89.51823
"uga",2004,112.36979
"uga",2005,133.73288
"uga",2006,166.49134
"uga",2007,227.4319
"uga",2008,294.65228
"uga",2009,276.52155
"uga",2010,303.66784
"uga",2011,366.59342
"uga",2012,393.49915
"uga",2013,378.74414
"uga",2014,395.41191
"uga",2015,359.90345
"uga",2016,331.99531
