"geo","time","income_per_person_gdppercapita_ppp_inflation_adjusted"
"bdi",1800,418
"bdi",1801,418
"bdi",1802,419
"bdi",1803,419
"bdi",1804,420
"bdi",1805,420
"bdi",1806,420
"bdi",1807,421
"bdi",1808,421
"bdi",1809,422
"bdi",1810,422
"bdi",1811,422
"bdi",1812,423
"bdi",1813,423
"bdi",1814,423
"bdi",1815,424
"bdi",1816,424
"bdi",1817,425
"bdi",1818,425
"bdi",1819,425
"bdi",1820,426
"bdi",1821,426
"bdi",1822,427
"bdi",1823,427
"bdi",1824,427
"bdi",1825,428
"bdi",1826,428
"bdi",1827,429
"bdi",1828,429
"bdi",1829,429
"bdi",1830,430
"bdi",1831,430
"bdi",1832,431
"bdi",1833,431
"bdi",1834,431
"bdi",1835,432
"bdi",1836,432
"bdi",1837,433
"bdi",1838,433
"bdi",1839,433
"bdi",1840,434
"bdi",1841,434
"bdi",1842,435
"bdi",1843,435
"bdi",1844,435
"bdi",1845,436
"bdi",1846,436
"bdi",1847,437
"bdi",1848,437
"bdi",1849,437
"bdi",1850,438
"bdi",1851,438
"bdi",1852,439
"bdi",1853,439
"bdi",1854,439
"bdi",1855,440
"bdi",1856,440
"bdi",1857,441
"bdi",1858,441
"bdi",1859,441
"bdi",1860,442
"bdi",1861,442
"bdi",1862,443
"bdi",1863,443
"bdi",1864,444
"bdi",1865,444
"bdi",1866,444
"bdi",1867,445
"bdi",1868,445
"bdi",1869,446
"bdi",1870,446
"bdi",1871,446
"bdi",1872,447
"bdi",1873,447
"bdi",1874,448
"bdi",1875,448
"bdi",1876,448
"bdi",1877,449
"bdi",1878,449
"bdi",1879,450
"bdi",1880,450
"bdi",1881,451
"bdi",1882,451
"bdi",1883,451
"bdi",1884,452
"bdi",1885,452
"bdi",1886,453
"bdi",1887,453
"bdi",1888,453
"bdi",1889,454
"bdi",1890,454
"bdi",1891,455
"bdi",1892,455
"bdi",1893,456
"bdi",1894,456
"bdi",1895,456
"bdi",1896,457
"bdi",1897,457
"bdi",1898,458
"bdi",1899,458
"bdi",1900,459
"bdi",1901,459
"bdi",1902,459
"bdi",1903,460
"bdi",1904,460
"bdi",1905,461
"bdi",1906,461
"bdi",1907,462
"bdi",1908,462
"bdi",1909,462
"bdi",1910,463
"bdi",1911,463
"bdi",1912,464
"bdi",1913,464
"bdi",1914,465
"bdi",1915,465
"bdi",1916,465
"bdi",1917,466
"bdi",1918,466
"bdi",1919,467
"bdi",1920,467
"bdi",1921,469
"bdi",1922,470
"bdi",1923,472
"bdi",1924,473
"bdi",1925,475
"bdi",1926,476
"bdi",1927,478
"bdi",1928,479
"bdi",1929,481
"bdi",1930,482
"bdi",1931,484
"bdi",1932,485
"bdi",1933,487
"bdi",1934,488
"bdi",1935,490
"bdi",1936,491
"bdi",1937,493
"bdi",1938,494
"bdi",1939,496
"bdi",1940,497
"bdi",1941,499
"bdi",1942,500
"bdi",1943,502
"bdi",1944,504
"bdi",1945,505
"bdi",1946,507
"bdi",1947,508
"bdi",1948,510
"bdi",1949,511
"bdi",1950,513
"bdi",1951,534
"bdi",1952,542
"bdi",1953,556
"bdi",1954,577
"bdi",1955,586
"bdi",1956,600
"bdi",1957,613
"bdi",1958,621
"bdi",1959,646
"bdi",1960,645
"bdi",1961,543
"bdi",1962,580
"bdi",1963,596
"bdi",1964,616
"bdi",1965,624
"bdi",1966,638
"bdi",1967,681
"bdi",1968,661
"bdi",1969,643
"bdi",1970,802
"bdi",1971,849
"bdi",1972,773
"bdi",1973,828
"bdi",1974,810
"bdi",1975,802
"bdi",1976,850
"bdi",1977,936
"bdi",1978,905
"bdi",1979,882
"bdi",1980,914
"bdi",1981,974
"bdi",1982,951
"bdi",1983,959
"bdi",1984,937
"bdi",1985,1027
"bdi",1986,1048
"bdi",1987,1067
"bdi",1988,1080
"bdi",1989,1073
"bdi",1990,1087
"bdi",1991,1116
"bdi",1992,1103
"bdi",1993,1015
"bdi",1994,959
"bdi",1995,870
"bdi",1996,790
"bdi",1997,768
"bdi",1998,795
"bdi",1999,775
"bdi",2000,754
"bdi",2001,751
"bdi",2002,763
"bdi",2003,731
"bdi",2004,742
"bdi",2005,724
"bdi",2006,738
"bdi",2007,748
"bdi",2008,759
"bdi",2009,760
"bdi",2010,764
"bdi",2011,772
"bdi",2012,779
"bdi",2013,791
"bdi",2014,803
"bdi",2015,749
"bdi",2016,721
"bdi",2017,705
"bdi",2018,691
"bdi",2019,678
"bdi",2020,664
"bdi",2021,652
"bdi",2022,643
"bdi",2023,638
"bdi",2024,638
"bdi",2025,642
"bdi",2026,650
"bdi",2027,661
"bdi",2028,674
"bdi",2029,688
"bdi",2030,703
"bdi",2031,718
"bdi",2032,734
"bdi",2033,750
"bdi",2034,767
"bdi",2035,784
"bdi",2036,801
"bdi",2037,819
