"geo","time","income_per_person_long_series"
"bdi",1800,440
"bdi",1801,440.3
"bdi",1802,440.7
"bdi",1803,441
"bdi",1804,441.4
"bdi",1805,441.7
"bdi",1806,442.1
"bdi",1807,442.4
"bdi",1808,442.7
"bdi",1809,443.1
"bdi",1810,443.4
"bdi",1811,443.8
"bdi",1812,444.1
"bdi",1813,444.5
"bdi",1814,444.8
"bdi",1815,445.2
"bdi",1816,445.5
"bdi",1817,445.9
"bdi",1818,446.2
"bdi",1819,446.5
"bdi",1820,446.9
"bdi",1821,447.2
"bdi",1822,447.6
"bdi",1823,447.9
"bdi",1824,448.3
"bdi",1825,448.6
"bdi",1826,449
"bdi",1827,449.3
"bdi",1828,449.7
"bdi",1829,450
"bdi",1830,450.4
"bdi",1831,450.7
"bdi",1832,451.1
"bdi",1833,451.4
"bdi",1834,451.8
"bdi",1835,452.1
"bdi",1836,452.5
"bdi",1837,452.8
"bdi",1838,453.2
"bdi",1839,453.5
"bdi",1840,453.9
"bdi",1841,454.3
"bdi",1842,454.6
"bdi",1843,455
"bdi",1844,455.3
"bdi",1845,455.7
"bdi",1846,456
"bdi",1847,456.4
"bdi",1848,456.7
"bdi",1849,457.1
"bdi",1850,457.4
"bdi",1851,457.8
"bdi",1852,458.2
"bdi",1853,458.5
"bdi",1854,458.9
"bdi",1855,459.2
"bdi",1856,459.6
"bdi",1857,459.9
"bdi",1858,460.3
"bdi",1859,460.7
"bdi",1860,461
"bdi",1861,461.4
"bdi",1862,461.7
"bdi",1863,462.1
"bdi",1864,462.4
"bdi",1865,462.8
"bdi",1866,463.2
"bdi",1867,463.5
"bdi",1868,463.9
"bdi",1869,464.2
"bdi",1870,464.6
"bdi",1871,465
"bdi",1872,465.3
"bdi",1873,465.7
"bdi",1874,466.1
"bdi",1875,466.4
"bdi",1876,466.8
"bdi",1877,467.1
"bdi",1878,467.5
"bdi",1879,467.9
"bdi",1880,468.2
"bdi",1881,468.6
"bdi",1882,469
"bdi",1883,469.3
"bdi",1884,469.7
"bdi",1885,470.1
"bdi",1886,470.4
"bdi",1887,470.8
"bdi",1888,471.2
"bdi",1889,471.5
"bdi",1890,471.9
"bdi",1891,472.3
"bdi",1892,472.6
"bdi",1893,473
"bdi",1894,473.4
"bdi",1895,473.7
"bdi",1896,474.1
"bdi",1897,474.5
"bdi",1898,474.8
"bdi",1899,475.2
"bdi",1900,475.6
"bdi",1901,475.9
"bdi",1902,476.3
"bdi",1903,476.7
"bdi",1904,477.1
"bdi",1905,477.4
"bdi",1906,477.8
"bdi",1907,478.2
"bdi",1908,478.5
"bdi",1909,478.9
"bdi",1910,479.3
"bdi",1911,479.7
"bdi",1912,480
"bdi",1913,480.4
"bdi",1914,480.8
"bdi",1915,481.2
"bdi",1916,481.5
"bdi",1917,481.9
"bdi",1918,482.3
"bdi",1919,482.7
"bdi",1920,483
"bdi",1921,483.4
"bdi",1922,483.8
"bdi",1923,484.2
"bdi",1924,484.5
"bdi",1925,484.9
"bdi",1926,485.3
"bdi",1927,485.7
"bdi",1928,486
"bdi",1929,486.4
"bdi",1930,486.8
"bdi",1931,487.2
"bdi",1932,487.6
"bdi",1933,487.9
"bdi",1934,488.3
"bdi",1935,488.7
"bdi",1936,489.1
"bdi",1937,489.5
"bdi",1938,489.8
"bdi",1939,490.2
"bdi",1940,490.6
"bdi",1941,491
"bdi",1942,491.4
"bdi",1943,491.7
"bdi",1944,492.1
"bdi",1945,492.5
"bdi",1946,492.9
"bdi",1947,493.3
"bdi",1948,493.7
"bdi",1949,494
"bdi",1950,494.4
"bdi",1951,513.7
"bdi",1952,520.6
"bdi",1953,532.3
"bdi",1954,551.8
"bdi",1955,559.5
"bdi",1956,570.8
"bdi",1957,582.4
"bdi",1958,588.2
"bdi",1959,611.2
"bdi",1960,609.1
"bdi",1961,511.4
"bdi",1962,545
"bdi",1963,558.7
"bdi",1964,577.1
"bdi",1965,583.2
"bdi",1966,594.5
"bdi",1967,633.7
"bdi",1968,613.8
"bdi",1969,595.5
"bdi",1970,741.6
"bdi",1971,783.3
"bdi",1972,712.1
"bdi",1973,761.2
"bdi",1974,743.4
"bdi",1975,734.3
"bdi",1976,776.7
"bdi",1977,853.3
"bdi",1978,823.3
"bdi",1979,801
"bdi",1980,828.3
"bdi",1981,881.5
"bdi",1982,858.6
"bdi",1983,864.3
"bdi",1984,843.4
"bdi",1985,922
"bdi",1986,938.9
"bdi",1987,954.1
"bdi",1988,964.5
"bdi",1989,956.3
"bdi",1990,967.3
"bdi",1991,992
"bdi",1992,969.3
"bdi",1993,940.6
"bdi",1994,897.9
"bdi",1995,778.2
"bdi",1996,710.2
"bdi",1997,710.6
"bdi",1998,726.8
"bdi",1999,698.8
"bdi",2000,680.9
"bdi",2001,675.9
"bdi",2002,685
"bdi",2003,655.4
"bdi",2004,662.5
"bdi",2005,644.6
"bdi",2006,666
"bdi",2007,684.1
"bdi",2008,701.8
"bdi",2009,709.2
"bdi",2010,718.8
"bdi",2011,731.3
"bdi",2012,742.9
"bdi",2013,757.9
"bdi",2014,775.2
"bdi",2015,793.4
"bdi",2016,813.5
"bdi",2017,835.7
"bdi",2018,860.2
"bdi",2019,885
"cod",1800,510
"cod",1801,512
"cod",1802,514.1
"cod",1803,516.1
"cod",1804,518.2
"cod",1805,520.3
"cod",1806,522.3
"cod",1807,524.4
"cod",1808,526.5
"cod",1809,528.6
"cod",1810,530.7
"cod",1811,532.8
"cod",1812,535
"cod",1813,537.1
"cod",1814,539.3
"cod",1815,541.4
"cod",1816,543.6
"cod",1817,545.7
"cod",1818,547.9
"cod",1819,550.1
"cod",1820,552.3
"cod",1821,554.5
"cod",1822,556.7
"cod",1823,558.9
"cod",1824,561.2
"cod",1825,563.4
"cod",1826,565.7
"cod",1827,567.9
"cod",1828,570.2
"cod",1829,572.5
"cod",1830,574.7
"cod",1831,577
"cod",1832,579.3
"cod",1833,581.7
"cod",1834,584
"cod",1835,586.3
"cod",1836,588.7
"cod",1837,591
"cod",1838,593.4
"cod",1839,595.7
"cod",1840,598.1
"cod",1841,600.5
"cod",1842,602.9
"cod",1843,605.3
"cod",1844,607.7
"cod",1845,610.1
"cod",1846,612.6
"cod",1847,615
"cod",1848,617.5
"cod",1849,619.9
"cod",1850,622.4
"cod",1851,624.9
"cod",1852,627.4
"cod",1853,629.9
"cod",1854,632.4
"cod",1855,634.9
"cod",1856,637.5
"cod",1857,640
"cod",1858,642.6
"cod",1859,645.1
"cod",1860,647.7
"cod",1861,650.3
"cod",1862,652.9
"cod",1863,655.5
"cod",1864,658.1
"cod",1865,660.8
"cod",1866,663.4
"cod",1867,666
"cod",1868,668.7
"cod",1869,671.4
"cod",1870,674
"cod",1871,676.7
"cod",1872,679.4
"cod",1873,682.1
"cod",1874,684.9
"cod",1875,687.6
"cod",1876,690.4
"cod",1877,693.1
"cod",1878,695.9
"cod",1879,698.7
"cod",1880,701.4
"cod",1881,704.2
"cod",1882,707.1
"cod",1883,709.9
"cod",1884,712.7
"cod",1885,715.6
"cod",1886,718.4
"cod",1887,721.3
"cod",1888,724.2
"cod",1889,727
"cod",1890,730
"cod",1891,732.9
"cod",1892,735.8
"cod",1893,738.7
"cod",1894,741.7
"cod",1895,744.6
"cod",1896,747.6
"cod",1897,750.6
"cod",1898,753.6
"cod",1899,756.6
"cod",1900,759.6
"cod",1901,762.7
"cod",1902,765.7
"cod",1903,768.8
"cod",1904,771.8
"cod",1905,774.9
"cod",1906,778
"cod",1907,781.1
"cod",1908,784.2
"cod",1909,787.4
"cod",1910,790.5
"cod",1911,793.7
"cod",1912,796.8
"cod",1913,800
"cod",1914,815.5
"cod",1915,831.4
"cod",1916,847.6
"cod",1917,864
"cod",1918,880.8
"cod",1919,897.9
"cod",1920,915.4
"cod",1921,933.2
"cod",1922,951.3
"cod",1923,969.8
"cod",1924,988.6
"cod",1925,1008
"cod",1926,1027
"cod",1927,1047
"cod",1928,1068
"cod",1929,1089
"cod",1930,1110
"cod",1931,1131
"cod",1932,1153
"cod",1933,1176
"cod",1934,1198
"cod",1935,1222
"cod",1936,1246
"cod",1937,1270
"cod",1938,1294
"cod",1939,1320
"cod",1940,1345
"cod",1941,1371
"cod",1942,1398
"cod",1943,1425
"cod",1944,1453
"cod",1945,1481
"cod",1946,1510
"cod",1947,1539
"cod",1948,1569
"cod",1949,1600
"cod",1950,1631
"cod",1951,1834
"cod",1952,1928
"cod",1953,2084
"cod",1954,2134
"cod",1955,2226
"cod",1956,2303
"cod",1957,2279
"cod",1958,2183
"cod",1959,2183
"cod",1960,2331
"cod",1961,2042
"cod",1962,2263
"cod",1963,2253
"cod",1964,2212
"cod",1965,2118
"cod",1966,2191
"cod",1967,2101
"cod",1968,2168
"cod",1969,2272
"cod",1970,2204
"cod",1971,2310
"cod",1972,2260
"cod",1973,2375
"cod",1974,2450
"cod",1975,2144
"cod",1976,1943
"cod",1977,1872
"cod",1978,1720
"cod",1979,1665
"cod",1980,1657
"cod",1981,1658
"cod",1982,1606
"cod",1983,1584
"cod",1984,1627
"cod",1985,1589
"cod",1986,1616
"cod",1987,1610
"cod",1988,1570
"cod",1989,1498
"cod",1990,1350
"cod",1991,1201
"cod",1992,1032
"cod",1993,857
"cod",1994,793.5
"cod",1995,773.4
"cod",1996,744.1
"cod",1997,687.6
"cod",1998,661.3
"cod",1999,619.2
"cod",2000,562.6
"cod",2001,536.1
"cod",2002,538.8
"cod",2003,553.1
"cod",2004,572.3
"cod",2005,599
"cod",2006,614.6
"cod",2007,635
"cod",2008,655.7
"cod",2009,655.7
"cod",2010,684
"cod",2011,712
"cod",2012,740.8
"cod",2013,780.2
"cod",2014,823.2
"cod",2015,867.5
"cod",2016,909.1
"cod",2017,946.7
"cod",2018,978.8
"cod",2019,1003
"ken",1800,898.5
"ken",1801,901.2
"ken",1802,903.9
"ken",1803,906.6
"ken",1804,909.3
"ken",1805,912
"ken",1806,914.7
"ken",1807,917.4
"ken",1808,920.2
"ken",1809,922.9
"ken",1810,925.7
"ken",1811,928.4
"ken",1812,931.2
"ken",1813,934
"ken",1814,936.8
"ken",1815,939.6
"ken",1816,942.4
"ken",1817,945.2
"ken",1818,948
"ken",1819,950.8
"ken",1820,953.7
"ken",1821,956.5
"ken",1822,959.4
"ken",1823,962.2
"ken",1824,965.1
"ken",1825,968
"ken",1826,970.9
"ken",1827,973.8
"ken",1828,976.7
"ken",1829,979.6
"ken",1830,982.5
"ken",1831,985.5
"ken",1832,988.4
"ken",1833,991.3
"ken",1834,994.3
"ken",1835,997.3
"ken",1836,1000
"ken",1837,1003
"ken",1838,1006
"ken",1839,1009
"ken",1840,1012
"ken",1841,1015
"ken",1842,1018
"ken",1843,1021
"ken",1844,1024
"ken",1845,1027
"ken",1846,1031
"ken",1847,1034
"ken",1848,1037
"ken",1849,1040
"ken",1850,1043
"ken",1851,1046
"ken",1852,1049
"ken",1853,1052
"ken",1854,1055
"ken",1855,1059
"ken",1856,1062
"ken",1857,1065
"ken",1858,1068
"ken",1859,1071
"ken",1860,1074
"ken",1861,1078
"ken",1862,1081
"ken",1863,1084
"ken",1864,1087
"ken",1865,1091
"ken",1866,1094
"ken",1867,1097
"ken",1868,1100
"ken",1869,1104
"ken",1870,1107
"ken",1871,1110
"ken",1872,1114
"ken",1873,1117
"ken",1874,1120
"ken",1875,1124
"ken",1876,1127
"ken",1877,1130
"ken",1878,1134
"ken",1879,1137
"ken",1880,1140
"ken",1881,1144
"ken",1882,1147
"ken",1883,1151
"ken",1884,1154
"ken",1885,1158
"ken",1886,1161
"ken",1887,1164
"ken",1888,1168
"ken",1889,1171
"ken",1890,1175
"ken",1891,1178
"ken",1892,1182
"ken",1893,1185
"ken",1894,1189
"ken",1895,1193
"ken",1896,1196
"ken",1897,1200
"ken",1898,1203
"ken",1899,1207
"ken",1900,1210
"ken",1901,1221
"ken",1902,1231
"ken",1903,1241
"ken",1904,1252
"ken",1905,1262
"ken",1906,1273
"ken",1907,1283
"ken",1908,1294
"ken",1909,1305
"ken",1910,1316
"ken",1911,1327
"ken",1912,1338
"ken",1913,1349
"ken",1914,1360
"ken",1915,1372
"ken",1916,1383
"ken",1917,1395
"ken",1918,1407
"ken",1919,1418
"ken",1920,1430
"ken",1921,1442
"ken",1922,1454
"ken",1923,1467
"ken",1924,1479
"ken",1925,1491
"ken",1926,1504
"ken",1927,1516
"ken",1928,1529
"ken",1929,1542
"ken",1930,1555
"ken",1931,1568
"ken",1932,1581
"ken",1933,1594
"ken",1934,1607
"ken",1935,1621
"ken",1936,1635
