"geo","time","income_per_person_with_projections"
"bdi",1800,447.6
"bdi",1820,447.6
"bdi",1913,353.8
"bdi",1950,322.2
"bdi",1951,334.8
"bdi",1952,339.3
"bdi",1953,346.9
"bdi",1954,359.6
"bdi",1955,364.6
"bdi",1956,372
"bdi",1957,379.6
"bdi",1958,383.4
"bdi",1959,398.3
"bdi",1960,396.9
"bdi",1961,333.3
"bdi",1962,355.2
"bdi",1963,364.1
"bdi",1964,376.1
"bdi",1965,380.1
"bdi",1966,387.5
"bdi",1967,413
"bdi",1968,400
"bdi",1969,388.1
"bdi",1970,483.3
"bdi",1971,510.5
"bdi",1972,464.1
"bdi",1973,496.1
"bdi",1974,484.5
"bdi",1975,478.6
"bdi",1976,506.2
"bdi",1977,556.1
"bdi",1978,536.6
"bdi",1979,522
"bdi",1980,539.9
"bdi",1981,574.5
"bdi",1982,559.6
"bdi",1983,563.3
"bdi",1984,549.7
"bdi",1985,600.9
"bdi",1986,611.9
"bdi",1987,621.8
"bdi",1988,628.6
"bdi",1989,623.3
"bdi",1990,630.4
"bdi",1991,646.5
"bdi",1992,631.7
"bdi",1993,613
"bdi",1994,585.2
"bdi",1995,507.2
"bdi",1996,462.8
"bdi",1997,463.1
"bdi",1998,473.7
"bdi",1999,455.4
"bdi",2000,443.8
"bdi",2001,440.5
"bdi",2002,446.4
"bdi",2003,427.1
"bdi",2004,431.8
"bdi",2005,420.1
"bdi",2006,434
"bdi",2007,445.9
"bdi",2008,457.4
"bdi",2009,462.2
"bdi",2010,468.4
"bdi",2011,476.6
"bdi",2012,484.1
"bdi",2013,493.9
"bdi",2014,506.9
"bdi",2015,522.2
"bdi",2016,537.9
"bdi",2017,554
"bdi",2018,570.8
"cod",1800,394
"cod",1820,394
"cod",1913,608.8
"cod",1950,665.4
"cod",1951,729.1
"cod",1952,780.5
"cod",1953,809
"cod",1954,841.4
"cod",1955,856.8
"cod",1956,896.4
"cod",1957,905.9
"cod",1958,861.5
"cod",1959,872.7
"cod",1960,873.5
"cod",1961,762.1
"cod",1962,896.3
"cod",1963,915
"cod",1964,872.8
"cod",1965,861.9
"cod",1966,897.1
"cod",1967,861.6
"cod",1968,871.2
"cod",1969,925.1
"cod",1970,897.4
"cod",1971,928.8
"cod",1972,904.9
"cod",1973,955.9
"cod",1974,962
"cod",1975,888.5
"cod",1976,814.5
"cod",1977,795.8
"cod",1978,727.8
"cod",1979,704
"cod",1980,698.7
"cod",1981,696.1
"cod",1982,673.7
"cod",1983,665.8
"cod",1984,683.5
"cod",1985,665.9
"cod",1986,676.4
"cod",1987,672.8
"cod",1988,655.3
"cod",1989,630.6
"cod",1990,595.6
"cod",1991,527.7
"cod",1992,465.1
"cod",1993,395.6
"cod",1994,373.4
"cod",1995,367.2
"cod",1996,362.2
"cod",1997,343.5
"cod",1998,335.9
"cod",1999,316.7
"cod",2000,292.5
"cod",2001,281.9
"cod",2002,287.4
"cod",2003,299.5
"cod",2004,314.5
"cod",2005,330
"cod",2006,338.3
"cod",2007,349
"cod",2008,359.7
"cod",2009,359.1
"cod",2010,373.6
"cod",2011,387.7
"cod",2012,403.2
"cod",2013,423.9
"cod",2014,438
"cod",2015,454.5
"cod",2016,471.2
"cod",2017,484.6
"cod",2018,492.1
"ken",1800,512.9
"ken",1820,512.9
"ken",1913,792.5
"ken",1950,832.3
"ken",1951,986.6
"ken",1952,853.5
"ken",1953,809.4
"ken",1954,878.6
"ken",1955,918.4
"ken",1956,941.5
"ken",1957,944.4
"ken",1958,926.8
"ken",1959,921.3
"ken",1960,928.1
"ken",1961,878.2
"ken",1962,897
"ken",1963,912.9
"ken",1964,970.1
"ken",1965,950.2
"ken",1966,1038
"ken",1967,1057
"ken",1968,1097
"ken",1969,1127
"ken",1970,1170
"ken",1971,1203
"ken",1972,1222
"ken",1973,1241
"ken",1974,1255
"ken",1975,1205
"ken",1976,1207
"ken",1977,1268
"ken",1978,1329
"ken",1979,1325
"ken",1980,1344
"ken",1981,1322
"ken",1982,1348
"ken",1983,1306
"ken",1984,1280
"ken",1985,1287
"ken",1986,1331
"ken",1987,1362
"ken",1988,1396
"ken",1989,1414
"ken",1990,1429
"ken",1991,1403
"ken",1992,1342
"ken",1993,1306
"ken",1994,1310
"ken",1995,1336
"ken",1996,1361
"ken",1997,1360
"ken",1998,1355
"ken",1999,1347
"ken",2000,1318
"ken",2001,1304
"ken",2002,1288
"ken",2003,1291
"ken",2004,1317
"ken",2005,1359
"ken",2006,1403
"ken",2007,1457
"ken",2008,1436
"ken",2009,1432
"ken",2010,1471
"ken",2011,1492
"ken",2012,1518
"ken",2013,1561
"ken",2014,1612
"ken",2015,1666
"ken",2016,1728
"ken",2017,1778
"ken",2018,1835
"rwa",1800,369
"rwa",1820,369
"rwa",1913,438.9
"rwa",1950,470.3
"rwa",1951,487.8
"rwa",1952,493.3
"rwa",1953,502.1
"rwa",1954,519.6
"rwa",1955,524.7
