"geo","time","income_share_of_2nd_poorest_20percent"
"bdi",1992,12.1
"bdi",1998,10.3
"bdi",2006,11.9
"bdi",2013,11
"cod",2004,9.9
"cod",2012,10
"ken",1992,6.7
"ken",1994,10
"ken",1997,9.3
"ken",2005,9.1
"ken",2015,10.3
"rwa",1984,13.1
"rwa",2000,8.9
"rwa",2005,8.1
"rwa",2010,9.1
"rwa",2013,9.6
"ssd",2009,8.6
"tza",1991,12
"tza",2000,11.3
"tza",2007,10.6
"tza",2011,11.1
"uga",1989,9.3
"uga",1992,10.4
"uga",1996,10.8
"uga",1999,10
"uga",2002,9.6
"uga",2005,9.9
"uga",2009,9.8
"uga",2012,10.4
"uga",2016,9.8
