"geo","time","income_share_of_2nd_richest_20percent"
"bdi",1992,22
"bdi",1998,21.5
"bdi",2006,21
"bdi",2013,20.8
"cod",2004,21.6
"cod",2012,21.6
"ken",1992,17.3
"ken",1994,21.3
"ken",1997,20.2
"ken",2005,20.4
"ken",2015,21.5
"rwa",1984,21.6
"rwa",2000,18.4
"rwa",2005,17.6
"rwa",2010,18.5
"rwa",2013,19
"ssd",2009,22.8
"tza",1991,22.1
"tza",2000,21.9
"tza",2007,21.1
"tza",2011,20.7
"uga",1989,21.6
"uga",1992,20.6
"uga",1996,21.1
"uga",1999,20.3
"uga",2002,19.1
"uga",2005,20.4
"uga",2009,19.6
"uga",2012,20.6
"uga",2016,20.4
